,does,bskyb,carry,any,control,over,the,picture,quality,of,a,channel,?
however,0.4463717043399811,0.17380599677562714,0.29621994495391846,0.5002580285072327,0.294120192527771,0.45125138759613037,0.49814513325691223,0.13462871313095093,0.3141162693500519,0.3800618350505829,0.38150349259376526,0.18610820174217224,0.2152075469493866
",",0.28617382049560547,0.2852807641029358,0.1951419711112976,0.3237466514110565,0.20811550319194794,0.3301127254962921,0.4933079481124878,0.21603867411613464,0.23283851146697998,0.4946078956127167,0.427140474319458,0.18730267882347107,0.31091248989105225
even,0.4671286940574646,0.13559511303901672,0.2852514684200287,0.5437874794006348,0.23721618950366974,0.32891958951950073,0.37996912002563477,0.19457784295082092,0.3331829607486725,0.34735506772994995,0.3278432786464691,0.1229463666677475,0.30082517862319946
in,0.214483380317688,0.22606848180294037,0.19860897958278656,0.3135753571987152,0.24831421673297882,0.3605569899082184,0.6662389636039734,0.24315592646598816,0.18835508823394775,0.5696388483047485,0.539380669593811,0.210372194647789,0.20430970191955566
this,0.4166489243507385,0.22351965308189392,0.25506195425987244,0.5327546000480652,0.30516546964645386,0.3688461482524872,0.6274310946464539,0.3158009648323059,0.2950848340988159,0.45148900151252747,0.5422310829162598,0.20691324770450592,0.3155723512172699
case,0.2875708043575287,0.22479698061943054,0.2361340969800949,0.4125841557979584,0.1346568614244461,0.21582046151161194,0.31022098660469055,0.20919665694236755,0.189161479473114,0.24743439257144928,0.3104211390018463,0.16988295316696167,0.33232852816581726
",",0.28617382049560547,0.2852807641029358,0.1951419711112976,0.3237466514110565,0.20811550319194794,0.3301127254962921,0.4933079481124878,0.21603867411613464,0.23283851146697998,0.4946078956127167,0.427140474319458,0.18730267882347107,0.31091248989105225
bskyb,0.12919114530086517,1.0000001192092896,0.07972963154315948,0.13880807161331177,0.17727622389793396,0.1823693960905075,0.20915858447551727,0.20135881006717682,0.08746002614498138,0.16413870453834534,0.21951700747013092,0.17153316736221313,0.2979319989681244
does,1.0,0.12919114530086517,0.17188382148742676,0.5203019976615906,0.22912582755088806,0.24276040494441986,0.35928019881248474,0.1447986364364624,0.2673164904117584,0.3119818866252899,0.38201746344566345,0.17076775431632996,0.338003009557724
not,0.6355478763580322,0.1742992103099823,0.27368539571762085,0.5995424389839172,0.23944389820098877,0.2890527844429016,0.4310511648654938,0.192731112241745,0.32026931643486023,0.3307090103626251,0.3791346549987793,0.18109528720378876,0.41942933201789856
carry,0.17188382148742676,0.07972963154315948,0.9999998807907104,0.2971760332584381,0.23104514181613922,0.2725665867328644,0.26752355694770813,0.08052951097488403,0.19867104291915894,0.23692575097084045,0.2364719659090042,0.20794637501239777,0.17171701788902283
any,0.5203019976615906,0.13880807161331177,0.2971760332584381,1.0,0.22339946031570435,0.353973388671875,0.4525727927684784,0.23953662812709808,0.3214632272720337,0.3769088089466095,0.45031747221946716,0.16731774806976318,0.4113408327102661
