,in,what,theory,is,the,idea,of,a,number,exchanged,with,that,of,an,ideal,?
in,1.0,0.30808621644973755,0.16955126821994781,0.5394441485404968,0.6662389636039734,0.20288406312465668,0.5696388483047485,0.539380669593811,0.3024539053440094,0.2564951479434967,0.4080928862094879,0.435920387506485,0.5696388483047485,0.2605783939361572,0.23391234874725342,0.20430970191955566
ring,0.1902257651090622,0.19784773886203766,0.1542496532201767,0.18238547444343567,0.2354331910610199,0.16289930045604706,0.20323021709918976,0.2191324681043625,0.17269256711006165,0.23171532154083252,0.199721097946167,0.23785534501075745,0.20323021709918976,0.15591934323310852,0.18958741426467896,0.054174330085515976
theory,0.16955126821994781,0.297923743724823,0.9999999403953552,0.19279582798480988,0.2277156263589859,0.4957911968231201,0.23506702482700348,0.2233850657939911,0.24102473258972168,0.1814572960138321,0.21627245843410492,0.36183905601501465,0.23506702482700348,0.15698443353176117,0.34078192710876465,0.1387292891740799
",",0.5201468467712402,0.3087472915649414,0.18095813691616058,0.4691906273365021,0.4933079481124878,0.22699743509292603,0.4946078956127167,0.427140474319458,0.2535701394081116,0.2961842119693756,0.4120737314224243,0.4137537479400635,0.4946078956127167,0.3581022024154663,0.18452070653438568,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.2277156263589859,0.5823672413825989,1.0,0.2839161455631256,0.733189046382904,0.5829201340675354,0.35145696997642517,0.2898271083831787,0.4223487675189972,0.5473989248275757,0.733189046382904,0.4207492768764496,0.25375595688819885,0.22068053483963013
notion,0.1522059291601181,0.3655226528644562,0.49963071942329407,0.20868507027626038,0.23529204726219177,0.44473129510879517,0.23985852301120758,0.26435887813568115,0.21258878707885742,0.10333668440580368,0.1870182901620865,0.393069326877594,0.23985852301120758,0.216561958193779,0.3702218234539032,0.20487375557422638
of,0.5696388483047485,0.33290785551071167,0.23506702482700348,0.4854315221309662,0.733189046382904,0.2342950403690338,1.0,0.5052502155303955,0.2778518795967102,0.30008646845817566,0.41827285289764404,0.41498205065727234,1.0,0.32280945777893066,0.2763390839099884,0.1826142966747284
number,0.3024539053440094,0.23046229779720306,0.24102473258972168,0.22390379011631012,0.35145696997642517,0.23549161851406097,0.2778518795967102,0.2992287278175354,1.0,0.12514854967594147,0.2513769268989563,0.32951247692108154,0.2778518795967102,0.1875157356262207,0.2376459240913391,0.19256845116615295
is,0.5394441485404968,0.28837618231773376,0.19279582798480988,1.0,0.5823672413825989,0.21963010728359222,0.4854315221309662,0.658733606338501,0.22390379011631012,0.16608279943466187,0.3250955045223236,0.3995479643344879,0.4854315221309662,0.4654068350791931,0.2690519392490387,0.22961433231830597
generally,0.28190043568611145,0.40614598989486694,0.2930140197277069,0.4094115197658539,0.41466525197029114,0.34542176127433777,0.3127037584781647,0.37653425335884094,0.2672891914844513,0.16141250729560852,0.33641812205314636,0.4812265634536743,0.3127037584781647,0.26753097772598267,0.36857861280441284,0.23411904275417328
replaced,0.2068215310573578,0.12975038588047028,0.05980164185166359,0.20220594108104706,0.2645455598831177,0.18296471238136292,0.20067165791988373,0.20298108458518982,0.08680590242147446,0.2630690932273865,0.24342618882656097,0.2443014234304428,0.20067165791988373,0.1565866619348526,0.10369297116994858,0.14945141971111298
with,0.4080928862094879,0.2464839518070221,0.21627245843410492,0.3250955045223236,0.4223487675189972,0.24332615733146667,0.41827285289764404,0.3783375024795532,0.2513769268989563,0.3067288100719452,0.9999999403953552,0.4154358208179474,0.41827285289764404,0.2730048894882202,0.27428749203681946,0.2433311939239502
that,0.435920387506485,0.6297725439071655,0.36183905601501465,0.3995479643344879,0.5473989248275757,0.49277663230895996,0.41498205065727234,0.47537946701049805,0.32951247692108154,0.26526257395744324,0.4154358208179474,1.0,0.41498205065727234,0.365763783454895,0.3302164673805237,0.32716336846351624
of,0.5696388483047485,0.33290785551071167,0.23506702482700348,0.4854315221309662,0.733189046382904,0.2342950403690338,1.0,0.5052502155303955,0.2778518795967102,0.30008646845817566,0.41827285289764404,0.41498205065727234,1.0,0.32280945777893066,0.2763390839099884,0.1826142966747284
ideal,0.23391234874725342,0.31059911847114563,0.34078192710876465,0.2690519392490387,0.25375595688819885,0.4919416904449463,0.2763390839099884,0.3391351103782654,0.2376459240913391,0.17480100691318512,0.27428749203681946,0.3302164673805237,0.2763390839099884,0.2175319790840149,1.0,0.13358637690544128
.,0.5591574311256409,0.3567904531955719,0.18047811090946198,0.4569662809371948,0.5934505462646484,0.26084083318710327,0.5352458953857422,0.50484299659729,0.3256329298019409,0.17736324667930603,0.4446153938770294,0.4460422694683075,0.5352458953857422,0.3581749200820923,0.19029678404331207,0.4130953550338745
