,what,is,missing,a,theory,on,quantum,gravity,?
however,0.4480680823326111,0.33769986033439636,0.20929308235645294,0.38150349259376526,0.29465192556381226,0.3940407931804657,0.26572558283805847,0.24357494711875916,0.2152075469493866
",",0.3087472915649414,0.4691906273365021,0.2425287365913391,0.427140474319458,0.18095813691616058,0.49057599902153015,0.2181866616010666,0.18731217086315155,0.31091248989105225
while,0.35511791706085205,0.2713196575641632,0.24846039712429047,0.3733035624027252,0.11231737583875656,0.44084006547927856,0.13729149103164673,0.1660918891429901,0.21076419949531555
kinematics,0.28283601999282837,0.22472934424877167,0.20236589014530182,0.27038100361824036,0.4872543513774872,0.15543076395988464,0.5261901617050171,0.40159958600997925,0.17986103892326355
are,0.29724663496017456,0.5330929756164551,0.22625741362571716,0.265255331993103,0.1918308287858963,0.268924742937088,0.2200530767440796,0.20045295357704163,0.24591213464736938
well-described,0.2363564521074295,0.30747395753860474,0.14972460269927979,0.28793060779571533,0.29494473338127136,0.2023240625858307,0.30220016837120056,0.2538396716117859,0.1868298202753067
through,0.23167094588279724,0.27805060148239136,0.14250724017620087,0.3399752974510193,0.1415928453207016,0.32785001397132874,0.14202788472175598,0.2094729095697403,0.16913433372974396
reference,0.27632904052734375,0.2599010765552521,0.253691166639328,0.2766492962837219,0.22935950756072998,0.18574251234531403,0.16797146201133728,0.19911377131938934,0.2950310707092285
frame,0.21280157566070557,0.14981712400913239,0.132851243019104,0.20500081777572632,0.19133172929286957,0.1495739072561264,0.2606205940246582,0.2553230822086334,0.16998548805713654
analysis,0.2842639982700348,0.23970499634742737,0.20660462975502014,0.26785340905189514,0.41377854347229004,0.1807575523853302,0.3251204788684845,0.18770122528076172,0.15352053940296173
in,0.30808621644973755,0.5394441485404968,0.2340807020664215,0.539380669593811,0.16955126821994781,0.46853652596473694,0.1964065581560135,0.17083178460597992,0.20430970191955566
advanced,0.1988004893064499,0.14119109511375427,0.13904044032096863,0.2437601238489151,0.20465725660324097,0.19531726837158203,0.2434968501329422,0.15808868408203125,0.1806638389825821
physics,0.26464056968688965,0.16058161854743958,0.10940942168235779,0.1683787703514099,0.5034157633781433,0.13778355717658997,0.5938736200332642,0.42404571175575256,0.1470423936843872
",",0.3087472915649414,0.4691906273365021,0.2425287365913391,0.427140474319458,0.18095813691616058,0.49057599902153015,0.2181866616010666,0.18731217086315155,0.31091248989105225
there,0.35085538029670715,0.3904260993003845,0.3337051272392273,0.4214206337928772,0.22224178910255432,0.3521401882171631,0.19171248376369476,0.1916201263666153,0.29405656456947327
are,0.29724663496017456,0.5330929756164551,0.22625741362571716,0.265255331993103,0.1918308287858963,0.268924742937088,0.2200530767440796,0.20045295357704163,0.24591213464736938
still,0.4548931419849396,0.3574111759662628,0.19619207084178925,0.3478926122188568,0.22243186831474304,0.317820280790329,0.15779253840446472,0.19707494974136353,0.3039587736129761
deep,0.2200533002614975,0.23750139772891998,0.11789638549089432,0.20111636817455292,0.18363997340202332,0.21676947176456451,0.16159750521183014,0.22174076735973358,0.1765073984861374
questions,0.4857400059700012,0.2165350317955017,0.21048203110694885,0.2656060755252838,0.28569602966308594,0.2166581153869629,0.3035101294517517,0.16865640878677368,0.42967134714126587
that,0.6297725439071655,0.3995479643344879,0.30228644609451294,0.47537946701049805,0.36183905601501465,0.42569106817245483,0.2914109230041504,0.3047354817390442,0.32716336846351624
remain,0.29587244987487793,0.2643626928329468,0.1651056408882141,0.24084681272506714,0.14376941323280334,0.21348309516906738,0.14962346851825714,0.15590962767601013,0.1868363618850708
as,0.31749409437179565,0.43216490745544434,0.20531243085861206,0.39550232887268066,0.18675357103347778,0.36047765612602234,0.2451295405626297,0.1831320971250534,0.27043893933296204
to,0.455847829580307,0.42745086550712585,0.260368674993515,0.45503583550453186,0.21947365999221802,0.41031414270401,0.2208167314529419,0.23946231603622437,0.29463258385658264
what,0.9999998807907104,0.28837618231773376,0.2628587484359741,0.3320399522781372,0.297923743724823,0.34226128458976746,0.3095471262931824,0.259439080953598,0.5051238536834717
is,0.28837618231773376,1.0,0.14084705710411072,0.658733606338501,0.19279582798480988,0.3635730445384979,0.2059895545244217,0.2301630824804306,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,0.2549445927143097,0.5829201340675354,0.2277156263589859,0.5107308030128479,0.21868084371089935,0.22609853744506836,0.22068053483963013
proper,0.3295817971229553,0.27530837059020996,0.21660231053829193,0.3425057828426361,0.13521698117256165,0.16947226226329803,0.1976078450679779,0.13827013969421387,0.2291053831577301
definition,0.330344021320343,0.29006320238113403,0.23148708045482635,0.2941339910030365,0.3592175841331482,0.21725256741046906,0.3217208981513977,0.26821786165237427,0.2796523869037628
of,0.33290785551071167,0.4854315221309662,0.23175521194934845,0.5052502155303955,0.23506702482700348,0.3966929316520691,0.24717314541339874,0.17525646090507507,0.1826142966747284
mass,0.23905135691165924,0.21063528954982758,0.09437170624732971,0.21558082103729248,0.21673078835010529,0.18456357717514038,0.30142128467559814,0.45285552740097046,0.2076406031847
.,0.3567904531955719,0.4569662809371948,0.2528116703033447,0.50484299659729,0.18047811090946198,0.49257001280784607,0.1690797209739685,0.19336320459842682,0.4130953550338745
,what,is,missing,a,theory,on,quantum,gravity,?
general,0.24928055703639984,0.20144300162792206,0.08463415503501892,0.2157215178012848,0.23614253103733063,0.18019753694534302,0.21229706704616547,0.23165400326251984,0.1972234547138214
relativity,0.2980750799179077,0.1935991495847702,0.1671171486377716,0.21220099925994873,0.5565682053565979,0.14959938824176788,0.5842288732528687,0.584568977355957,0.26250147819519043
