,what,shape,are,some,of,the,buildings,in,the,parliament,complex,?
some,0.4491020441055298,0.2985425889492035,0.6331475377082825,0.9999999403953552,0.4300730526447296,0.4566698372364044,0.29162153601646423,0.4010399878025055,0.4566698372364044,0.18720398843288422,0.3198215067386627,0.2562315762042999
of,0.33290785551071167,0.2597946226596832,0.39081433415412903,0.4300730526447296,1.0,0.733189046382904,0.2829168736934662,0.5696388483047485,0.733189046382904,0.2885259687900543,0.24271073937416077,0.1826142966747284
the,0.42745697498321533,0.29087939858436584,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.25566717982292175,0.6662389636039734,1.0,0.26521381735801697,0.25326284766197205,0.22068053483963013
principal,0.1582305133342743,0.15885089337825775,0.1346859186887741,0.17982430756092072,0.25824129581451416,0.23882900178432465,0.17941440641880035,0.2094544768333435,0.23882900178432465,0.12936361134052277,0.1446249783039093,0.10016445070505142
features,0.20126673579216003,0.2766689956188202,0.30492109060287476,0.33731046319007874,0.2464914619922638,0.29863014817237854,0.28437668085098267,0.24970319867134094,0.29863014817237854,0.09194867312908173,0.206096351146698,0.23497378826141357
of,0.33290785551071167,0.2597946226596832,0.39081433415412903,0.4300730526447296,1.0,0.733189046382904,0.2829168736934662,0.5696388483047485,0.733189046382904,0.2885259687900543,0.24271073937416077,0.1826142966747284
the,0.42745697498321533,0.29087939858436584,0.40399202704429626,0.4566698372364044,0.733189046382904,1.0,0.25566717982292175,0.6662389636039734,1.0,0.26521381735801697,0.25326284766197205,0.22068053483963013
complex,0.2605343163013458,0.2623753845691681,0.33041873574256897,0.3198215067386627,0.24271073937416077,0.25326284766197205,0.32065993547439575,0.26918336749076843,0.25326284766197205,0.06845108419656754,0.9999998807907104,0.17752902209758759
include,0.1535889357328415,0.13883699476718903,0.5140694975852966,0.5271874070167542,0.37431180477142334,0.2951717972755432,0.19363263249397278,0.28694382309913635,0.2951717972755432,0.07932890951633453,0.18335464596748352,0.14925788342952728
leaf-shaped,0.23621536791324615,0.6192689538002014,0.3103732764720917,0.3342144787311554,0.3015254735946655,0.3638738691806793,0.26347842812538147,0.27466124296188354,0.3638738691806793,0.18701399862766266,0.2487034946680069,0.1336854249238968
buildings,0.17147983610630035,0.20912590622901917,0.27261707186698914,0.29162153601646423,0.2829168736934662,0.25566717982292175,1.0,0.3479180932044983,0.25566717982292175,0.24943777918815613,0.32065993547439575,0.11192528158426285
",",0.3087472915649414,0.224068284034729,0.4062570035457611,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.272444486618042,0.5201468467712402,0.4933079481124878,0.25442883372306824,0.2636418044567108,0.31091248989105225
a,0.3320399522781372,0.32737624645233154,0.265255331993103,0.34539633989334106,0.5052502155303955,0.5829201340675354,0.22776827216148376,0.539380669593811,0.5829201340675354,0.22951169312000275,0.26552852988243103,0.23916715383529663
