,an,igneous,rock,is,a,rock,that,crystallizes,from,what,?
when,0.33026179671287537,0.18175575137138367,0.21878400444984436,0.3471449911594391,0.44397395849227905,0.21878400444984436,0.5860282182693481,0.3171275556087494,0.405669629573822,0.4700249433517456,0.22841128706932068
a,0.44552403688430786,0.2195712924003601,0.25165656208992004,0.658733606338501,1.0,0.25165656208992004,0.47537946701049805,0.29000428318977356,0.322764128446579,0.3320399522781372,0.23916715383529663
rock,0.1764230579137802,0.4287784695625305,1.0,0.1981455236673355,0.25165656208992004,1.0,0.2285659909248352,0.34198763966560364,0.22637957334518433,0.1923677921295166,0.13172835111618042
crystallizes,0.18560998141765594,0.46931666135787964,0.34198763966560364,0.33820268511772156,0.29000428318977356,0.34198763966560364,0.23993192613124847,1.0,0.18630406260490417,0.2137613445520401,0.16379444301128387
from,0.20876385271549225,0.19451771676540375,0.22637957334518433,0.27355384826660156,0.322764128446579,0.22637957334518433,0.3477667272090912,0.18630406260490417,1.0,0.2737620174884796,0.19969791173934937
melt,0.13546457886695862,0.41589459776878357,0.2347245067358017,0.20880629122257233,0.20477457344532013,0.2347245067358017,0.3039259910583496,0.4846470355987549,0.22877644002437592,0.273470938205719,0.2257072627544403
(,0.286407470703125,0.1712808459997177,0.20426806807518005,0.35393038392066956,0.3206180930137634,0.20426806807518005,0.2264307141304016,0.1708645224571228,0.25806233286857605,0.2411840260028839,0.40561532974243164
magma,0.1505325585603714,0.5754569172859192,0.3681606948375702,0.19585885107517242,0.2196711152791977,0.3681606948375702,0.29843419790267944,0.4671524465084076,0.19194628298282623,0.22571711242198944,0.14903505146503448
and/or,0.1693057268857956,0.18005473911762238,0.12616796791553497,0.1926940530538559,0.2459508180618286,0.12616796791553497,0.2572968602180481,0.17467503249645233,0.20479846000671387,0.26439139246940613,0.24081800878047943
lava,0.13336464762687683,0.5160804986953735,0.28640395402908325,0.18404754996299744,0.178438201546669,0.28640395402908325,0.18395844101905823,0.38685575127601624,0.15981580317020416,0.17333997786045074,0.12033136188983917
),0.2873353958129883,0.17139993607997894,0.21000702679157257,0.37732169032096863,0.3640355169773102,0.21000702679157257,0.23478686809539795,0.164536714553833,0.2672361731529236,0.26259949803352356,0.42300865054130554
",",0.3581022024154663,0.22172565758228302,0.2775712311267853,0.4691906273365021,0.427140474319458,0.2775712311267853,0.4137537479400635,0.22855684161186218,0.39760664105415344,0.3087472915649414,0.31091248989105225
it,0.39472338557243347,0.21097543835639954,0.21446439623832703,0.6328473687171936,0.5452592968940735,0.21446439623832703,0.5921133160591125,0.28987452387809753,0.325604110956192,0.45803478360176086,0.25732165575027466
is,0.4654068350791931,0.24148809909820557,0.1981455236673355,1.0,0.658733606338501,0.1981455236673355,0.3995479643344879,0.33820268511772156,0.27355384826660156,0.28837618231773376,0.22961433231830597
an,1.0,0.162762850522995,0.1764230579137802,0.4654068350791931,0.44552403688430786,0.1764230579137802,0.365763783454895,0.18560998141765594,0.20876385271549225,0.2821882665157318,0.19793890416622162
igneous,0.162762850522995,1.0,0.4287784695625305,0.24148809909820557,0.2195712924003601,0.4287784695625305,0.24918879568576813,0.46931666135787964,0.19451771676540375,0.2625714838504791,0.18516020476818085
rock,0.1764230579137802,0.4287784695625305,1.0,0.1981455236673355,0.25165656208992004,1.0,0.2285659909248352,0.34198763966560364,0.22637957334518433,0.1923677921295166,0.13172835111618042
.,0.3581749200820923,0.18411651253700256,0.24835698306560516,0.4569662809371948,0.50484299659729,0.24835698306560516,0.4460422694683075,0.2206835150718689,0.41536515951156616,0.3567904531955719,0.4130953550338745
