,which,town,'s,massacre,did,genghis,khan,order,in,retribution,for,the,treatment,of,his,envoys,?
the,0.6521818041801453,0.2974243760108948,-0.01540423184633255,0.23870180547237396,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.3284194767475128,0.6662389636039734,0.23835326731204987,0.4739971458911896,1.0,0.2350214421749115,0.733189046382904,0.4394008219242096,0.2499753087759018,0.22068053483963013
mongol,0.22227831184864044,0.14201128482818604,-0.05976467952132225,0.23159515857696533,0.17534953355789185,0.6244974732398987,0.5576101541519165,0.23754975199699402,0.16958336532115936,0.16819235682487488,0.1556200236082077,0.2924198508262634,0.12253176420927048,0.22712039947509766,0.22059163451194763,0.3425631821155548,0.12849251925945282
army,0.14114242792129517,0.21864435076713562,0.03417222201824188,0.30879127979278564,0.21148359775543213,0.33970266580581665,0.2175215482711792,0.1918969452381134,0.25258398056030273,0.16504740715026855,0.17493335902690887,0.31011611223220825,0.18613846600055695,0.2669098675251007,0.26294445991516113,0.4294966161251068,0.180583193898201
quickly,0.3703140914440155,0.16623181104660034,0.04353427514433861,0.12310483306646347,0.25123196840286255,0.1880369484424591,0.13471412658691406,0.13031598925590515,0.24151866137981415,0.13051164150238037,0.22275635600090027,0.30366459488868713,0.2193976491689682,0.1989620476961136,0.25788843631744385,0.12290021032094955,0.18131443858146667
seized,0.18401435017585754,0.16096509993076324,-0.08240127563476562,0.2588261067867279,0.1632879078388214,0.3887489140033722,0.2461635172367096,0.18577389419078827,0.22288110852241516,0.20345178246498108,0.13466157019138336,0.23226270079612732,0.18099159002304077,0.28512418270111084,0.2819153070449829,0.3557214140892029,0.14393222332000732
the,0.6521818041801453,0.2974243760108948,-0.01540423184633255,0.23870180547237396,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.3284194767475128,0.6662389636039734,0.23835326731204987,0.4739971458911896,1.0,0.2350214421749115,0.733189046382904,0.4394008219242096,0.2499753087759018,0.22068053483963013
town,0.20332901179790497,1.0,-0.0385698527097702,0.23452888429164886,0.13636906445026398,0.21022172272205353,0.12669312953948975,0.1321708858013153,0.34975525736808777,0.038900282233953476,0.13830983638763428,0.2974243760108948,0.11357198655605316,0.26585668325424194,0.16107836365699768,0.21570585668087006,0.09902279824018478
of,0.5011631846427917,0.26585668325424194,-0.03817026689648628,0.20526865124702454,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.31287699937820435,0.5696388483047485,0.26131629943847656,0.4185989499092102,0.733189046382904,0.2632577419281006,1.0,0.38364991545677185,0.2508391737937927,0.1826142966747284
otrar,0.3055223226547241,0.20357608795166016,-0.0354817658662796,0.17254336178302765,0.0963868796825409,0.3915311098098755,0.32984599471092224,0.16324114799499512,0.28313326835632324,0.23386657238006592,0.18430699408054352,0.2740458846092224,0.20508447289466858,0.30378198623657227,0.23154708743095398,0.2938392162322998,0.17479901015758514
",",0.3658004403114319,0.27598801255226135,-0.0016132977325469255,0.22544804215431213,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.22478096187114716,0.5201468467712402,0.23781582713127136,0.4464869201183319,0.4933079481124878,0.2413949966430664,0.4946078956127167,0.3378419280052185,0.2467343658208847,0.31091248989105225
relying,0.40680748224258423,0.08389110863208771,-0.022861400619149208,0.18133336305618286,0.29476967453956604,0.12164337933063507,0.13702283799648285,0.24626664817333221,0.24007098376750946,0.32958585023880005,0.34560343623161316,0.33429455757141113,0.2773979902267456,0.306700199842453,0.2560182511806488,0.2079923450946808,0.2699472904205322
on,0.4245251417160034,0.18149195611476898,0.0026888418942689896,0.22087077796459198,0.2670976221561432,0.17695671319961548,0.13222354650497437,0.17813007533550262,0.46853652596473694,0.2072041928768158,0.36199691891670227,0.5107308030128479,0.21504230797290802,0.3966929316520691,0.32064297795295715,0.1933266967535019,0.2714994251728058
superior,0.2249314785003662,0.14413607120513916,0.011452760547399521,0.06302014738321304,0.2026989609003067,0.2681213617324829,0.10702525079250336,0.13556741178035736,0.18922103941440582,0.18072110414505005,0.1955835521221161,0.285393089056015,0.12140239775180817,0.3148541748523712,0.23224975168704987,0.14859816431999207,0.08769503235816956
strategy,0.24060368537902832,0.10498714447021484,0.0676657110452652,0.10866544395685196,0.20865093171596527,0.11400081217288971,0.1254570335149765,0.20102013647556305,0.2451205551624298,0.28036534786224365,0.30354321002960205,0.2895500361919403,0.235620379447937,0.27697277069091797,0.19803303480148315,0.20523948967456818,0.22400954365730286
and,0.506277859210968,0.2459200918674469,0.06895173341035843,0.1109970360994339,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.2671266496181488,0.4954058527946472,0.2314770519733429,0.5064792633056641,0.5171257257461548,0.2541726231575012,0.5116966962814331,0.4234102666378021,0.2647284269332886,0.20544172823429108
tactics,0.21309669315814972,0.1616085320711136,0.05116625875234604,0.19347088038921356,0.19288554787635803,0.26948270201683044,0.17054204642772675,0.21814098954200745,0.20936909317970276,0.1960974931716919,0.24239662289619446,0.2657136619091034,0.22140838205814362,0.20505864918231964,0.26001498103141785,0.24763555824756622,0.20052185654640198
.,0.45942068099975586,0.28254011273384094,-0.003708066651597619,0.17124898731708527,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.20712141692638397,0.5591574311256409,0.2031431943178177,0.4726039469242096,0.5934505462646484,0.27064111828804016,0.5352458953857422,0.3119256794452667,0.24696612358093262,0.4130953550338745
