,what,country,was,abhisit,vejjajiva,prime,minister,of,",",despite,having,been,born,in,newcastle,?
former,0.13598288595676422,0.1793801635503769,0.2544213533401489,0.25180119276046753,0.3871039152145386,0.28351688385009766,0.29841309785842896,0.30415382981300354,0.2738454341888428,0.15145666897296906,0.1433904618024826,0.15258827805519104,0.4917752742767334,0.2668642997741699,0.19742733240127563,0.10570605844259262
prime,0.15586113929748535,0.18498532474040985,0.21048103272914886,0.38635456562042236,0.44942373037338257,1.0,0.8818941116333008,0.23935265839099884,0.2565026581287384,0.15779858827590942,0.1670990288257599,0.13680292665958405,0.21779799461364746,0.18097394704818726,0.20364782214164734,0.11276303976774216
minister,0.1705908179283142,0.17683133482933044,0.26634681224823,0.3909945487976074,0.487326055765152,0.8818941116333008,0.9999998807907104,0.23343199491500854,0.24737542867660522,0.14918361604213715,0.16034308075904846,0.14663785696029663,0.2691085636615753,0.19794908165931702,0.21740101277828217,0.10825661569833755
of,0.33290785551071167,0.28866857290267944,0.4069072902202606,0.31458914279937744,0.3407420516014099,0.23935265839099884,0.23343199491500854,1.0,0.4946078956127167,0.33505672216415405,0.38889452815055847,0.31685134768486023,0.19769194722175598,0.5696388483047485,0.18781472742557526,0.1826142966747284
thailand,0.11758564412593842,0.25556766986846924,0.2121114432811737,0.3472566306591034,0.4691084921360016,0.30555397272109985,0.29450827836990356,0.24186524748802185,0.21077974140644073,0.11664321273565292,0.14972138404846191,0.2152087390422821,0.1310954988002777,0.21851105988025665,0.15262995660305023,0.20348422229290009
abhisit,0.24426794052124023,0.2380496710538864,0.2091524600982666,1.0000001192092896,0.6417369842529297,0.38635456562042236,0.3909945487976074,0.31458914279937744,0.2501976490020752,0.15915751457214355,0.1719931960105896,0.18239711225032806,0.2830599546432495,0.2167058140039444,0.2200378030538559,0.2706654369831085
vejjajiva,0.28360429406166077,0.32930684089660645,0.36627739667892456,0.6417369842529297,0.9999999403953552,0.44942373037338257,0.487326055765152,0.3407420516014099,0.3670305609703064,0.27296334505081177,0.2644515633583069,0.19975720345973969,0.35382914543151855,0.3230860233306885,0.2619825005531311,0.2174396812915802
",",0.3087472915649414,0.27878350019454956,0.45456063747406006,0.2501976490020752,0.3670305609703064,0.2565026581287384,0.24737542867660522,0.4946078956127167,1.0000001192092896,0.2853280007839203,0.3154076039791107,0.34873589873313904,0.37898433208465576,0.5201468467712402,0.251589834690094,0.31091248989105225
was,0.22111038863658905,0.24557247757911682,1.0000001192092896,0.2091524600982666,0.36627739667892456,0.21048103272914886,0.26634681224823,0.4069072902202606,0.45456063747406006,0.3650621473789215,0.2792723774909973,0.518218457698822,0.388632208108902,0.45514053106307983,0.25710436701774597,0.18412111699581146
born,0.16581368446350098,0.16280266642570496,0.388632208108902,0.2830599546432495,0.35382914543151855,0.21779799461364746,0.2691085636615753,0.19769194722175598,0.37898433208465576,0.08005663752555847,0.13133801519870758,0.1378546506166458,1.0,0.30027052760124207,0.2374611496925354,0.19166848063468933
in,0.30808621644973755,0.3040012717247009,0.45514053106307983,0.2167058140039444,0.3230860233306885,0.18097394704818726,0.19794908165931702,0.5696388483047485,0.5201468467712402,0.27473363280296326,0.32022708654403687,0.3515113592147827,0.30027052760124207,1.0,0.19270820915699005,0.20430970191955566
the,0.42745697498321533,0.30432501435279846,0.48711544275283813,0.2521878182888031,0.3321891725063324,0.19960100948810577,0.19297581911087036,0.733189046382904,0.4933079481124878,0.3172689974308014,0.3821379244327545,0.3563927710056305,0.19202874600887299,0.6662389636039734,0.2253497689962387,0.22068053483963013
city,0.17493832111358643,0.39262884855270386,0.3188765048980713,0.2077917456626892,0.2517175078392029,0.15800286829471588,0.18214040994644165,0.32503411173820496,0.35839709639549255,0.13942177593708038,0.15095143020153046,0.1773093044757843,0.33035704493522644,0.3911624252796173,0.32860881090164185,0.13423943519592285
.,0.3567904531955719,0.26130348443984985,0.40146201848983765,0.2711430788040161,0.3135870695114136,0.17658381164073944,0.16012521088123322,0.5352458953857422,0.6812511086463928,0.2592180371284485,0.3542446792125702,0.33645182847976685,0.2350279539823532,0.5591574311256409,0.2714749276638031,0.4130953550338745
