,what,did,germanic,tribes,establish,with,help,from,the,rhine,?
germanic,0.23222655057907104,0.2060786336660385,1.0000001192092896,0.5284436941146851,0.19406306743621826,0.24348264932632446,0.15402263402938843,0.24026349186897278,0.3006645441055298,0.49177953600883484,0.18380945920944214
tribes,0.1860227882862091,0.17429257929325104,0.5284436941146851,0.9999999403953552,0.2102426141500473,0.23166392743587494,0.17662830650806427,0.12463679164648056,0.26830655336380005,0.2798510789871216,0.08824794739484787
crossed,0.182399183511734,0.21648262441158295,0.28808027505874634,0.2812264859676361,0.2263631969690323,0.2515821158885956,0.1436416059732437,0.22205735743045807,0.3004564642906189,0.25235623121261597,0.15642015635967255
the,0.42745697498321533,0.34736719727516174,0.3006645441055298,0.26830655336380005,0.31343501806259155,0.4223487675189972,0.30064165592193604,0.40150508284568787,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15695837140083313,0.49177953600883484,0.2798510789871216,0.14490574598312378,0.18184249103069305,0.18281587958335876,0.2181936800479889,0.30735138058662415,1.0,0.13754533231258392
in,0.30808621644973755,0.2593238651752472,0.24217848479747772,0.19281157851219177,0.25682297348976135,0.4080928862094879,0.21321536600589752,0.4274188280105591,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.3006645441055298,0.26830655336380005,0.31343501806259155,0.4223487675189972,0.30064165592193604,0.40150508284568787,1.0,0.30735138058662415,0.22068053483963013
migration,0.24132461845874786,0.1215481087565422,0.2962830364704132,0.3601239323616028,0.23860381543636322,0.1617605984210968,0.19572459161281586,0.21755987405776978,0.3215121030807495,0.1491709202528,0.1366364061832428
period,0.24507179856300354,0.1760309934616089,0.1907053142786026,0.10966859757900238,0.24010679125785828,0.20673511922359467,0.09969084709882736,0.2558770775794983,0.3125074505805969,0.14820457994937897,0.18706195056438446
",",0.3087472915649414,0.3015086054801941,0.22153666615486145,0.19590550661087036,0.19669954478740692,0.4120737314224243,0.2855570912361145,0.39760664105415344,0.4933079481124878,0.167837992310524,0.31091248989105225
by,0.2455483376979828,0.18574509024620056,0.2570464313030243,0.18261399865150452,0.12370724976062775,0.39731505513191223,0.2285822480916977,0.3373257517814636,0.4408751428127289,0.18456800282001495,0.17966607213020325
the,0.42745697498321533,0.34736719727516174,0.3006645441055298,0.26830655336380005,0.31343501806259155,0.4223487675189972,0.30064165592193604,0.40150508284568787,1.0,0.30735138058662415,0.22068053483963013
