,what,was,the,other,finalist,besides,levi,'s,stadium,?
the,0.42745697498321533,0.48711544275283813,1.0,0.44152235984802246,0.2535221576690674,0.367077499628067,0.15661084651947021,-0.01540423184633255,0.21145665645599365,0.22068053483963013
league,0.16616638004779816,0.21425791084766388,0.2724147439002991,0.20353642106056213,0.26539692282676697,0.16733567416667938,0.06964877247810364,0.0167086161673069,0.3161369860172272,0.15941482782363892
announced,0.09249057620763779,0.34205326437950134,0.2277132272720337,0.07193627208471298,0.24674302339553833,0.1591564118862152,0.1974305808544159,-0.056355372071266174,0.22802318632602692,0.17416009306907654
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.3410046398639679,0.1897909939289093,0.28633859753608704,0.1284046620130539,0.0026888418942689896,0.16608425974845886,0.2714994251728058
october,0.24927909672260284,0.4627581834793091,0.2621108889579773,0.1465703248977661,0.22116036713123322,0.21100173890590668,0.16096104681491852,-0.06886140257120132,0.16421927511692047,0.29706719517707825
16,-0.009719534777104855,-0.008355183526873589,0.0058518932200968266,0.08011912554502487,0.008756223134696484,-0.002613717457279563,0.005254010669887066,0.0028852298855781555,-0.030937297269701958,0.08446579426527023
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.4446498453617096,0.2536008358001709,0.340058833360672,0.2592664957046509,-0.0016132977325469255,0.2056228220462799,0.31091248989105225
2012,0.2266836017370224,0.2899843454360962,0.46885523200035095,0.32389241456985474,0.16679590940475464,0.28310397267341614,0.07592707127332687,-0.022972648963332176,0.18786531686782837,0.18042556941509247
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.4446498453617096,0.2536008358001709,0.340058833360672,0.2592664957046509,-0.0016132977325469255,0.2056228220462799,0.31091248989105225
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.5570666193962097,0.16561312973499298,0.4139655530452728,0.15258318185806274,0.04397977516055107,0.12195040285587311,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,1.0,0.44152235984802246,0.2535221576690674,0.367077499628067,0.15661084651947021,-0.01540423184633255,0.21145665645599365,0.22068053483963013
two,0.23363454639911652,0.27166637778282166,0.43858039379119873,0.46609029173851013,0.19779376685619354,0.3107992112636566,0.11645884066820145,0.038143858313560486,0.11908403038978577,0.19645625352859497
finalists,0.16320078074932098,0.1985495388507843,0.28001731634140015,0.20363657176494598,0.8360579609870911,0.14700576663017273,0.11432020366191864,0.0166211798787117,0.2478853166103363,0.1289905160665512
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.4041554927825928,0.1167045310139656,0.2729566991329193,0.19408033788204193,0.007088581565767527,0.15496990084648132,0.17890112102031708
sun,0.207769975066185,0.20506168901920319,0.258540540933609,0.21135783195495605,0.203231081366539,0.13774031400680542,0.03408445417881012,0.018280325457453728,0.14790156483650208,0.1497713327407837
life,0.24693015217781067,0.22970539331436157,0.23528170585632324,0.2566147446632385,0.11611289530992508,0.12983083724975586,0.1740599423646927,0.03983813151717186,0.10503630340099335,0.21677987277507782
stadium,0.12456028908491135,0.20318599045276642,0.21145665645599365,0.11046188324689865,0.2203993946313858,0.12423424422740936,0.16388165950775146,0.06718146800994873,1.0,0.07579939067363739
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.5504306554794312,0.24413073062896729,0.3610946238040924,0.16145840287208557,0.06895173341035843,0.11777293682098389,0.20544172823429108
levi,0.13056978583335876,0.22001278400421143,0.15661084651947021,0.05127200856804848,0.1381264626979828,0.11378447711467743,0.9999999403953552,0.0004511454317253083,0.16388165950775146,0.09252339601516724
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.04445967823266983,0.021340595558285713,-0.020748574286699295,0.0004511454317253083,0.9999999403953552,0.06718146800994873,-0.023395681753754616
stadium,0.12456028908491135,0.20318599045276642,0.21145665645599365,0.11046188324689865,0.2203993946313858,0.12423424422740936,0.16388165950775146,0.06718146800994873,1.0,0.07579939067363739
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.41511186957359314,0.20942021906375885,0.28636154532432556,0.16844750940799713,-0.003708066651597619,0.1958179920911789,0.4130953550338745
