,whose,theory,did,tesla,disagree,with,?
:247,0.033788055181503296,-0.12017025053501129,-0.014929866418242455,0.0212144386023283,-0.09206341207027435,-0.0009743706323206425,-0.0552370660007
he,0.21916402876377106,0.20341786742210388,0.3292143940925598,0.12373391538858414,0.22804246842861176,0.2845253646373749,0.2089974731206894
was,0.2162860482931137,0.18278326094150543,0.41399896144866943,0.16455206274986267,0.18639878928661346,0.27411898970603943,0.18412111699581146
also,0.3275339901447296,0.27736079692840576,0.39334940910339355,0.16213464736938477,0.2710671126842499,0.44397303462028503,0.21848613023757935
critical,0.16920992732048035,0.3159821629524231,0.26059970259666443,0.1498425453901291,0.31962525844573975,0.1823287159204483,0.2388133704662323
of,0.37058958411216736,0.23506702482700348,0.2513895630836487,0.18837453424930573,0.22792287170886993,0.41827285289764404,0.1826142966747284
einstein,0.1450834721326828,0.448373407125473,0.2035452127456665,0.33957377076148987,0.2224487066268921,0.1544882208108902,0.2118137627840042
's,-0.019954677671194077,-0.0025054612196981907,0.05069678649306297,0.06449045985937119,0.01914253458380699,-0.04624466598033905,-0.023395681753754616
theory,0.19235534965991974,0.9999999403953552,0.20347590744495392,0.25004854798316956,0.2853727340698242,0.21627245843410492,0.1387292891740799
of,0.37058958411216736,0.23506702482700348,0.2513895630836487,0.18837453424930573,0.22792287170886993,0.41827285289764404,0.1826142966747284
relativity,0.15988466143608093,0.5565682053565979,0.23895786702632904,0.3734626770019531,0.30554741621017456,0.25700920820236206,0.26250147819519043
",",0.25601375102996826,0.18095813691616058,0.3015086054801941,0.20599327981472015,0.30058667063713074,0.4120737314224243,0.31091248989105225
saying,0.23425647616386414,0.2057853490114212,0.4131317138671875,0.14285065233707428,0.44950440526008606,0.2713398039340973,0.36382168531417847
:,-0.028155311942100525,-0.05145213007926941,-0.05305134505033493,0.0028187385760247707,-0.05708465352654457,0.039687950164079666,-0.07156077772378922
