,are,juiveniles,capable,of,reproduction,?
the,0.40399202704429626,0.35292017459869385,0.18860051035881042,0.733189046382904,0.3131958246231079,0.22068053483963013
exceptions,0.486182302236557,0.38359493017196655,0.2877601683139801,0.295958012342453,0.33826783299446106,0.17539265751838684
are,1.0,0.35405516624450684,0.328324556350708,0.39081433415412903,0.3003554344177246,0.24591213464736938
the,0.40399202704429626,0.35292017459869385,0.18860051035881042,0.733189046382904,0.3131958246231079,0.22068053483963013
beroids,0.35556328296661377,0.4264342486858368,0.19414198398590088,0.2541283667087555,0.23805390298366547,0.2394029200077057
",",0.4062570035457611,0.38783201575279236,0.17765167355537415,0.4946078956127167,0.20734451711177826,0.31091248989105225
whose,0.2854825556278229,0.29156938195228577,0.2380884289741516,0.37058958411216736,0.2017194628715515,0.16990536451339722
young,0.21606162190437317,0.3909880220890045,0.15367533266544342,0.28555598855018616,0.2720933258533478,0.14931946992874146
are,1.0,0.35405516624450684,0.328324556350708,0.39081433415412903,0.3003554344177246,0.24591213464736938
miniature,0.2800735831260681,0.22918780148029327,0.24524199962615967,0.22813355922698975,0.31752800941467285,0.19538070261478424
beroids,0.35556328296661377,0.4264342486858368,0.19414198398590088,0.2541283667087555,0.23805390298366547,0.2394029200077057
with,0.38996943831443787,0.2509409785270691,0.2248685210943222,0.41827285289764404,0.20123201608657837,0.2433311939239502
large,0.3467932939529419,0.26015913486480713,0.3013269007205963,0.3569655418395996,0.20798350870609283,0.1355665624141693
mouths,0.32796818017959595,0.41852113604545593,0.26946040987968445,0.2344427853822708,0.34061986207962036,0.23623421788215637
and,0.48576638102531433,0.38566577434539795,0.20753251016139984,0.5116966962814331,0.27082639932632446,0.20544172823429108
no,0.2432553917169571,0.21561741828918457,0.2209572196006775,0.24809792637825012,0.2327144294977188,0.32165053486824036
tentacles,0.3209848701953888,0.40833598375320435,0.34190237522125244,0.21750880777835846,0.3973295986652374,0.15145425498485565
",",0.4062570035457611,0.38783201575279236,0.17765167355537415,0.4946078956127167,0.20734451711177826,0.31091248989105225
and,0.48576638102531433,0.38566577434539795,0.20753251016139984,0.5116966962814331,0.27082639932632446,0.20544172823429108
the,0.40399202704429626,0.35292017459869385,0.18860051035881042,0.733189046382904,0.3131958246231079,0.22068053483963013
