,what,might,offering,bonuses,help,reduce,?
organizational,0.22883515059947968,0.247691810131073,0.27473166584968567,0.24703185260295868,0.2609960734844208,0.21453255414962769,0.21536388993263245
interventions,0.33308809995651245,0.3019852936267853,0.31808942556381226,0.32849445939064026,0.378017395734787,0.3576204478740692,0.21823889017105103
",",0.3087472915649414,0.2533247768878937,0.2681748569011688,0.2891404926776886,0.2855570912361145,0.15094059705734253,0.31091248989105225
like,0.4320242702960968,0.4899762272834778,0.24101649224758148,0.24616208672523499,0.36455562710762024,0.26564711332321167,0.3268813192844391
changing,0.34731432795524597,0.3723136782646179,0.2597295939922333,0.22885636985301971,0.3293140232563019,0.4023265540599823,0.2747461497783661
teachers,0.2526462972164154,0.24122771620750427,0.27868929505348206,0.2323416918516159,0.3310721218585968,0.18393248319625854,0.19522249698638916
',0.3245812654495239,0.2198607176542282,0.12689344584941864,0.11066131293773651,0.22314856946468353,0.06415429711341858,0.330942302942276
schedules,0.20391570031642914,0.2233734130859375,0.30406633019447327,0.31362462043762207,0.20805667340755463,0.3032004237174988,0.14079800248146057
",",0.3087472915649414,0.2533247768878937,0.2681748569011688,0.2891404926776886,0.2855570912361145,0.15094059705734253,0.31091248989105225
providing,0.21766136586666107,0.34194663166999817,0.4048049747943878,0.35313767194747925,0.42262181639671326,0.4148554801940918,0.1936793476343155
support,0.2797985076904297,0.2743634283542633,0.27520132064819336,0.25907623767852783,0.44244298338890076,0.28856441378593445,0.22626608610153198
networks,0.18279550969600677,0.15219539403915405,0.20679737627506256,0.25660744309425354,0.20353850722312927,0.19158808887004852,0.17815114557743073
and,0.31309178471565247,0.31685465574264526,0.3040096163749695,0.2908192574977875,0.34926167130470276,0.2456025630235672,0.20544172823429108
mentoring,0.45505020022392273,0.392696738243103,0.3705584704875946,0.2806038558483124,0.367878258228302,0.30387312173843384,0.37068867683410645
",",0.3087472915649414,0.2533247768878937,0.2681748569011688,0.2891404926776886,0.2855570912361145,0.15094059705734253,0.31091248989105225
changing,0.34731432795524597,0.3723136782646179,0.2597295939922333,0.22885636985301971,0.3293140232563019,0.4023265540599823,0.2747461497783661
