,which,principle,is,based,on,the,appearance,of,fossils,in,sedimentary,rocks,?
the,0.6521818041801453,0.24017377197742462,0.5823672413825989,0.29860720038414,0.5107308030128479,1.0,0.2678116261959076,0.733189046382904,0.2495197057723999,0.6662389636039734,0.2576860189437866,0.24413059651851654,0.22068053483963013
principle,0.33062395453453064,1.0,0.20634804666042328,0.2775426506996155,0.190961554646492,0.24017377197742462,0.176467165350914,0.2430231273174286,0.22383812069892883,0.16382117569446564,0.285780668258667,0.22027553617954254,0.2002675086259842
of,0.5011631846427917,0.2430231273174286,0.4854315221309662,0.3033197224140167,0.3966929316520691,0.733189046382904,0.18182265758514404,1.0,0.2560483515262604,0.5696388483047485,0.30878832936286926,0.2664484679698944,0.1826142966747284
faunal,0.27748143672943115,0.3141844570636749,0.12270339578390121,0.15392935276031494,0.16368524730205536,0.2679622173309326,0.19411329925060272,0.2839019000530243,0.5270763635635376,0.1973869949579239,0.4761393666267395,0.36466076970100403,0.1288859099149704
succession,0.2652260363101959,0.19693267345428467,0.13997159898281097,0.13228459656238556,0.14500533044338226,0.3133684992790222,0.19165052473545074,0.3265681266784668,0.20140612125396729,0.2511105239391327,0.20827987790107727,0.13601219654083252,0.13082198798656464
is,0.4457404911518097,0.20634804666042328,1.0,0.3248139023780823,0.3635730445384979,0.5823672413825989,0.22147345542907715,0.4854315221309662,0.20723609626293182,0.5394441485404968,0.2035568505525589,0.23288390040397644,0.22961433231830597
based,0.3473800718784332,0.2775426506996155,0.3248139023780823,1.0000001192092896,0.36055147647857666,0.29860720038414,0.16793647408485413,0.3033197224140167,0.13601858913898468,0.3070422410964966,0.1767297387123108,0.10162819921970367,0.134929820895195
on,0.4245251417160034,0.190961554646492,0.3635730445384979,0.36055147647857666,0.9999999403953552,0.5107308030128479,0.2527751624584198,0.3966929316520691,0.16458451747894287,0.46853652596473694,0.20839208364486694,0.2381529062986374,0.2714994251728058
the,0.6521818041801453,0.24017377197742462,0.5823672413825989,0.29860720038414,0.5107308030128479,1.0,0.2678116261959076,0.733189046382904,0.2495197057723999,0.6662389636039734,0.2576860189437866,0.24413059651851654,0.22068053483963013
appearance,0.27942386269569397,0.176467165350914,0.22147345542907715,0.16793647408485413,0.2527751624584198,0.2678116261959076,1.0000001192092896,0.18182265758514404,0.28770560026168823,0.26000332832336426,0.24809138476848602,0.21516039967536926,0.17315366864204407
of,0.5011631846427917,0.2430231273174286,0.4854315221309662,0.3033197224140167,0.3966929316520691,0.733189046382904,0.18182265758514404,1.0,0.2560483515262604,0.5696388483047485,0.30878832936286926,0.2664484679698944,0.1826142966747284
fossils,0.2860002815723419,0.22383812069892883,0.20723609626293182,0.13601858913898468,0.16458451747894287,0.2495197057723999,0.28770560026168823,0.2560483515262604,1.0000001192092896,0.2852701246738434,0.5344232320785522,0.5277665257453918,0.1504307985305786
in,0.4840516746044159,0.16382117569446564,0.5394441485404968,0.3070422410964966,0.46853652596473694,0.6662389636039734,0.26000332832336426,0.5696388483047485,0.2852701246738434,1.0,0.23285479843616486,0.23642492294311523,0.20430970191955566
sedimentary,0.3548518121242523,0.285780668258667,0.2035568505525589,0.1767297387123108,0.20839208364486694,0.2576860189437866,0.24809138476848602,0.30878832936286926,0.5344232320785522,0.23285479843616486,1.0,0.6644880771636963,0.1575118452310562
rocks,0.307253897190094,0.22027553617954254,0.23288390040397644,0.10162819921970367,0.2381529062986374,0.24413059651851654,0.21516039967536926,0.2664484679698944,0.5277665257453918,0.23642492294311523,0.6644880771636963,0.9999999403953552,0.17394492030143738
.,0.45942068099975586,0.1894911378622055,0.4569662809371948,0.29699069261550903,0.49257001280784607,0.5934505462646484,0.23264551162719727,0.5352458953857422,0.2062237411737442,0.5591574311256409,0.22532618045806885,0.26481303572654724,0.4130953550338745
