,what,type,of,markets,is,the,dwelling,type,below,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2811138927936554,0.5394441485404968,0.6662389636039734,0.22181351482868195,0.20604541897773743,0.29600706696510315,0.20430970191955566
terms,0.23885610699653625,0.1710212379693985,0.2767748534679413,0.26095113158226013,0.27452221512794495,0.29706791043281555,0.24305842816829681,0.1710212379693985,0.17940855026245117,0.23466452956199646
of,0.33290785551071167,0.18112817406654358,1.0,0.17050357162952423,0.4854315221309662,0.733189046382904,0.22750063240528107,0.18112817406654358,0.23283669352531433,0.1826142966747284
housing,0.14871764183044434,0.062281928956508636,0.2954002916812897,0.3382530212402344,0.19461371004581451,0.24837790429592133,0.3023492097854614,0.062281928956508636,0.15354740619659424,0.11872038245201111
stock,0.13911938667297363,0.25089842081069946,0.20828957855701447,0.39708176255226135,0.1890118271112442,0.21356552839279175,0.184852734208107,0.25089842081069946,0.16140781342983246,0.14784406125545502
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24350304901599884,0.4691906273365021,0.4933079481124878,0.24786125123500824,0.1804078221321106,0.29792070388793945,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23818166553974152,0.5823672413825989,1.0,0.28435325622558594,0.21819381415843964,0.2930138111114502,0.22068053483963013
authority,0.23046736419200897,0.11715258657932281,0.28063252568244934,0.24100607633590698,0.20664075016975403,0.2645063102245331,0.18878860771656036,0.11715258657932281,0.1346828192472458,0.18404170870780945
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.21294242143630981,1.0,0.5823672413825989,0.23325200378894806,0.3053323030471802,0.24241961538791656,0.22961433231830597
one,0.376489520072937,0.2377735823392868,0.4999135136604309,0.1958404928445816,0.4544198513031006,0.5514441132545471,0.2032090574502945,0.2377735823392868,0.24362049996852875,0.2673267424106598
of,0.33290785551071167,0.18112817406654358,1.0,0.17050357162952423,0.4854315221309662,0.733189046382904,0.22750063240528107,0.18112817406654358,0.23283669352531433,0.1826142966747284
few,0.2780759632587433,0.11853011697530746,0.2682102620601654,0.21190997958183289,0.22223958373069763,0.34660017490386963,0.21172553300857544,0.11853011697530746,0.21398679912090302,0.2334265559911728
authorities,0.23251837491989136,0.14122916758060455,0.2408684492111206,0.2904670536518097,0.17750932276248932,0.2784515917301178,0.23323172330856323,0.14122916758060455,0.15029709041118622,0.17285770177841187
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.23568420112133026,0.42745086550712585,0.535392165184021,0.25273066759109497,0.19930607080459595,0.24981431663036346,0.29463258385658264
see,0.44941186904907227,0.24342019855976105,0.33962661027908325,0.18222197890281677,0.30759111046791077,0.3770301640033722,0.2500239908695221,0.24342019855976105,0.3576805591583252,0.42005208134651184
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.23818166553974152,0.5823672413825989,1.0,0.28435325622558594,0.21819381415843964,0.2930138111114502,0.22068053483963013
proportion,0.21334725618362427,0.13515342772006989,0.326309472322464,0.2080836445093155,0.267301470041275,0.2945463955402374,0.30858084559440613,0.13515342772006989,0.20526546239852905,0.16980072855949402
of,0.33290785551071167,0.18112817406654358,1.0,0.17050357162952423,0.4854315221309662,0.733189046382904,0.22750063240528107,0.18112817406654358,0.23283669352531433,0.1826142966747284
