,what,lands,were,reserved,for,natives,?
included,0.2288810908794403,0.17491993308067322,0.42708900570869446,0.3243406116962433,0.3889397978782654,0.25666680932044983,0.14385655522346497
in,0.30808621644973755,0.22373557090759277,0.3815755248069763,0.19184279441833496,0.4322226941585541,0.1702413111925125,0.20430970191955566
its,0.30393704771995544,0.21808336675167084,0.20452921092510223,0.19495320320129395,0.2992613911628723,0.1434771865606308,0.15103481709957123
provisions,0.2471846491098404,0.24569395184516907,0.26918888092041016,0.25333407521247864,0.27424097061157227,0.22021691501140594,0.22902937233448029
was,0.22111038863658905,0.22538143396377563,0.590133786201477,0.18570461869239807,0.3863949179649353,0.14712220430374146,0.18412111699581146
the,0.42745697498321533,0.3190511167049408,0.3906462490558624,0.23639146983623505,0.4739971458911896,0.2204582393169403,0.22068053483963013
reservation,0.18276381492614746,0.2585795521736145,0.2284838855266571,0.5516496896743774,0.27840542793273926,0.31628450751304626,0.13140153884887695
of,0.33290785551071167,0.2730972170829773,0.34038281440734863,0.22991587221622467,0.4185989499092102,0.17872627079486847,0.1826142966747284
lands,0.16376858949661255,1.0,0.25787726044654846,0.140146866440773,0.19053864479064941,0.2748170793056488,0.10082722455263138
west,0.1946573108434677,0.23274371027946472,0.19026222825050354,0.1239313930273056,0.17698325216770172,0.16497066617012024,0.12088293582201004
of,0.33290785551071167,0.2730972170829773,0.34038281440734863,0.22991587221622467,0.4185989499092102,0.17872627079486847,0.1826142966747284
the,0.42745697498321533,0.3190511167049408,0.3906462490558624,0.23639146983623505,0.4739971458911896,0.2204582393169403,0.22068053483963013
appalachian,0.22501157224178314,0.23388656973838806,0.18784259259700775,0.1662929207086563,0.18447571992874146,0.2727791666984558,0.10858546942472458
mountains,0.1498076319694519,0.3202219307422638,0.16997367143630981,0.12065431475639343,0.17713519930839539,0.2031661421060562,0.08633821457624435
to,0.455847829580307,0.285159707069397,0.31913647055625916,0.18730998039245605,0.4451248347759247,0.2994573712348938,0.29463258385658264
its,0.30393704771995544,0.21808336675167084,0.20452921092510223,0.19495320320129395,0.2992613911628723,0.1434771865606308,0.15103481709957123
indian,0.18037962913513184,0.1659916490316391,0.16422684490680695,0.20473532378673553,0.17063023149967194,0.2796049416065216,0.09909533709287643
population,0.2000674307346344,0.20987597107887268,0.17721828818321228,0.18025562167167664,0.13321557641029358,0.31103813648223877,0.14449454843997955
",",0.3087472915649414,0.24265161156654358,0.36755475401878357,0.1838110238313675,0.4464869201183319,0.24557791650295258,0.31091248989105225
a,0.3320399522781372,0.20153474807739258,0.17203083634376526,0.1901448518037796,0.44038116931915283,0.11010970175266266,0.23916715383529663
demarcation,0.31168362498283386,0.27367326617240906,0.21527855098247528,0.22342409193515778,0.3038635849952698,0.18469619750976562,0.19208882749080658
that,0.6297725439071655,0.1969892978668213,0.35517072677612305,0.25254181027412415,0.4137635827064514,0.21576261520385742,0.32716336846351624
was,0.22111038863658905,0.22538143396377563,0.590133786201477,0.18570461869239807,0.3863949179649353,0.14712220430374146,0.18412111699581146
at,0.2838611304759979,0.17930099368095398,0.2947486639022827,0.11277695000171661,0.34237727522850037,0.18586120009422302,0.21978627145290375
best,0.3036847710609436,0.025689156726002693,0.19428926706314087,0.1540500670671463,0.45128104090690613,0.09156763553619385,0.2799045741558075
a,0.3320399522781372,0.20153474807739258,0.17203083634376526,0.1901448518037796,0.44038116931915283,0.11010970175266266,0.23916715383529663
temporary,0.1866864562034607,0.1631511002779007,0.1598699688911438,0.2973732352256775,0.316325306892395,0.13813404738903046,0.11651745438575745
impediment,0.30179116129875183,0.17903023958206177,0.19217301905155182,0.23631037771701813,0.19455881416797638,0.15177813172340393,0.25557011365890503
to,0.455847829580307,0.285159707069397,0.31913647055625916,0.18730998039245605,0.4451248347759247,0.2994573712348938,0.29463258385658264
a,0.3320399522781372,0.20153474807739258,0.17203083634376526,0.1901448518037796,0.44038116931915283,0.11010970175266266,0.23916715383529663
rising,0.18883290886878967,0.1320747435092926,0.18170605599880219,0.13522271811962128,0.20961570739746094,0.11413801461458206,0.07955946773290634
tide,0.1574261337518692,0.1414375752210617,0.161961168050766,0.12165286391973495,0.12304030358791351,0.10200631618499756,0.11802483350038528
of,0.33290785551071167,0.2730972170829773,0.34038281440734863,0.22991587221622467,0.4185989499092102,0.17872627079486847,0.1826142966747284
westward-bound,0.2384922057390213,0.34139344096183777,0.28632915019989014,0.1144309788942337,0.2525961995124817,0.2487003058195114,0.17258308827877045
settlers,0.24855320155620575,0.4407495856285095,0.43016865849494934,0.17861421406269073,0.18877872824668884,0.49075040221214294,0.1296290010213852
.,0.3567904531955719,0.21775345504283905,0.3378238379955292,0.17660196125507355,0.4726039469242096,0.22202226519584656,0.4130953550338745
