,what,type,of,correlation,was,used,previously,to,help,date,rock,formations,?
previously,0.24305304884910583,0.15116946399211884,0.2850290536880493,0.1859169751405716,0.41197097301483154,0.16153624653816223,1.0,0.2865954041481018,0.10569214075803757,0.1683618277311325,0.16764798760414124,0.22190473973751068,0.15811841189861298
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2353242188692093,0.45456063747406006,0.3120402991771698,0.3206103444099426,0.44245919585227966,0.2855570912361145,0.2279704213142395,0.2775712311267853,0.2789337933063507,0.31091248989105225
geologists,0.33891814947128296,0.11601972579956055,0.21582631766796112,0.3050975203514099,0.15670005977153778,0.24810124933719635,0.14970333874225616,0.24980248510837555,0.17466570436954498,0.22135113179683685,0.30183225870132446,0.44328412413597107,0.18105274438858032
could,0.4188697934150696,0.16242407262325287,0.29043012857437134,0.2783307731151581,0.39896807074546814,0.3978976011276245,0.2461574226617813,0.5461788773536682,0.4435492753982544,0.14846424758434296,0.15610213577747345,0.23138561844825745,0.3411986827850342
only,0.41415658593177795,0.24842338263988495,0.49632513523101807,0.2529177963733673,0.36249664425849915,0.36452993750572205,0.38693031668663025,0.5096819996833801,0.28561607003211975,0.23468875885009766,0.20931532979011536,0.25460439920425415,0.2767370045185089
use,0.3453877568244934,0.32010024785995483,0.2750902473926544,0.25987234711647034,0.17744606733322144,0.7127541303634644,0.14795899391174316,0.47261837124824524,0.44175291061401367,0.2191658914089203,0.20012177526950836,0.2525526285171509,0.32795652747154236
fossils,0.24009542167186737,0.14104899764060974,0.2560483515262604,0.3287617266178131,0.14649035036563873,0.18214580416679382,0.21638718247413635,0.22865045070648193,0.11608248949050903,0.20930039882659912,0.2785075604915619,0.46327856183052063,0.1504307985305786
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2317097932100296,0.3740963041782379,0.3150506615638733,0.28226712346076965,0.48971283435821533,0.34926167130470276,0.21585220098495483,0.2808155119419098,0.30350422859191895,0.20544172823429108
stratigraphic,0.24726764857769012,0.18558530509471893,0.338003009557724,0.4366875886917114,0.16429144144058228,0.29986801743507385,0.187621608376503,0.20134103298187256,0.06669731438159943,0.268695205450058,0.2781538665294647,0.4810947775840759,0.13672329485416412
correlation,0.310825914144516,0.2267320603132248,0.2555362582206726,1.0000001192092896,0.17331308126449585,0.25375625491142273,0.1859169751405716,0.28919774293899536,0.2018362134695053,0.18985410034656525,0.1341751515865326,0.3313269317150116,0.23400020599365234
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.28919774293899536,0.3636345863342285,0.40058770775794983,0.2865954041481018,1.0,0.46191298961639404,0.2530132532119751,0.22657817602157593,0.2386225163936615,0.29463258385658264
date,0.20141606032848358,0.16582582890987396,0.19568462669849396,0.18985410034656525,0.23531168699264526,0.17690449953079224,0.1683618277311325,0.2530132532119751,0.2009488195180893,1.0,0.16633594036102295,0.268966943025589,0.2698357403278351
sections,0.29098522663116455,0.22349490225315094,0.20906880497932434,0.23117589950561523,0.14516015350818634,0.22539405524730682,0.17250177264213562,0.2865123450756073,0.2155853658914566,0.14160609245300293,0.12924973666667938,0.347332626581192,0.2495482712984085
of,0.33290785551071167,0.18112817406654358,1.0,0.2555362582206726,0.4069072902202606,0.3075267970561981,0.2850290536880493,0.41548454761505127,0.22745388746261597,0.19568462669849396,0.2653365731239319,0.2921679615974426,0.1826142966747284
rock,0.1923677921295166,0.18739546835422516,0.2653365731239319,0.1341751515865326,0.19643229246139526,0.18291133642196655,0.16764798760414124,0.22657817602157593,0.14136989414691925,0.16633594036102295,1.0,0.37408244609832764,0.13172835111618042
relative,0.24426062405109406,0.15984711050987244,0.32158899307250977,0.5401809215545654,0.12899231910705566,0.20500415563583374,0.16270551085472107,0.283727765083313,0.14606690406799316,0.11616124957799911,0.13933731615543365,0.2093168944120407,0.1457768678665161
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.28919774293899536,0.3636345863342285,0.40058770775794983,0.2865954041481018,1.0,0.46191298961639404,0.2530132532119751,0.22657817602157593,0.2386225163936615,0.29463258385658264
one,0.376489520072937,0.2377735823392868,0.4999135136604309,0.2580742835998535,0.3752199709415436,0.3009188175201416,0.27029111981391907,0.4025384783744812,0.23054392635822296,0.257239431142807,0.2524441182613373,0.23070552945137024,0.2673267424106598
another,0.4190070629119873,0.27761194109916687,0.38147079944610596,0.2678110599517822,0.34961897134780884,0.2980952560901642,0.28895965218544006,0.48769932985305786,0.30087098479270935,0.1842372566461563,0.21273307502269745,0.21508248150348663,0.295511931180954
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21355725824832916,0.40146201848983765,0.33111312985420227,0.3060270845890045,0.4645031690597534,0.32205137610435486,0.2508279085159302,0.24835698306560516,0.2616509795188904,0.4130953550338745
