,what,are,white,blood,cells,known,as,?
leukocytes,0.19061218202114105,0.37580686807632446,0.3434399366378784,0.5078786611557007,0.7595602869987488,0.20129729807376862,0.1843561977148056,0.18717224895954132
(,0.2411840260028839,0.23263892531394958,0.20181551575660706,0.17767393589019775,0.2060161978006363,0.2843264043331146,0.32029855251312256,0.40561532974243164
white,0.1410645991563797,0.17937533557415009,1.0,0.24106302857398987,0.2878720462322235,0.14860861003398895,0.22857752442359924,0.124679796397686
blood,0.15800324082374573,0.21018937230110168,0.24106302857398987,1.0,0.4241664409637451,0.14985445141792297,0.18639904260635376,0.156274676322937
cells,0.1758001297712326,0.2908284366130829,0.2878720462322235,0.4241664409637451,1.0,0.14049942791461945,0.2328435331583023,0.1898086667060852
),0.26259949803352356,0.2373749315738678,0.2020910233259201,0.17565390467643738,0.17987960577011108,0.297453910112381,0.32161882519721985,0.42300865054130554
act,0.2622668445110321,0.22266654670238495,0.11660105735063553,0.1414329558610916,0.1418844312429428,0.1944265514612198,0.2497578263282776,0.1482519507408142
like,0.4320242702960968,0.4686352014541626,0.23771075904369354,0.23957377672195435,0.21203181147575378,0.2720950245857239,0.4175155460834503,0.3268813192844391
independent,0.28752967715263367,0.1716575026512146,0.06597732752561569,0.11821449548006058,0.1316026747226715,0.21561169624328613,0.21329019963741302,0.11902587860822678
",",0.3087472915649414,0.4062570035457611,0.27337658405303955,0.21615765988826752,0.20582014322280884,0.3604377806186676,0.48816442489624023,0.31091248989105225
single-celled,0.28802716732025146,0.2679211497306824,0.16487255692481995,0.1405450850725174,0.31881171464920044,0.27308225631713867,0.24439369142055511,0.26320698857307434
organisms,0.22214920818805695,0.3114190697669983,0.08286011964082718,0.26544660329818726,0.5751051306724548,0.24561142921447754,0.2541891038417816,0.22621455788612366
and,0.31309178471565247,0.48576638102531433,0.2696375846862793,0.2636592388153076,0.24033623933792114,0.3468935489654541,0.49487000703811646,0.20544172823429108
are,0.29724663496017456,1.0,0.17937533557415009,0.21018937230110168,0.2908284366130829,0.26720109581947327,0.3826591968536377,0.24591213464736938
the,0.42745697498321533,0.40399202704429626,0.25492873787879944,0.2815113961696625,0.19095487892627716,0.3624623417854309,0.48381632566452026,0.22068053483963013
second,0.19948028028011322,0.13331100344657898,0.11714375019073486,0.16598498821258545,0.1151030957698822,0.23161716759204865,0.25569814443588257,0.17239587008953094
arm,0.1625373512506485,0.153136745095253,0.19432996213436127,0.20136314630508423,0.17613822221755981,0.14748917520046234,0.17801997065544128,0.12539196014404297
of,0.33290785551071167,0.39081433415412903,0.23826628923416138,0.2294820100069046,0.21305565536022186,0.35814476013183594,0.3886612355709076,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,0.25492873787879944,0.2815113961696625,0.19095487892627716,0.3624623417854309,0.48381632566452026,0.22068053483963013
innate,0.2683543860912323,0.2676650285720825,0.25020843744277954,0.3113948702812195,0.5340849757194519,0.19724197685718536,0.21250401437282562,0.16386382281780243
immune,0.2410416603088379,0.23878547549247742,0.20553424954414368,0.3497171700000763,0.5300963521003723,0.14558014273643494,0.17487213015556335,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.1434335708618164,0.16065409779548645,0.29856014251708984,0.15005269646644592,0.1973835676908493,0.15556083619594574
.,0.3567904531955719,0.3452940285205841,0.2806001901626587,0.21786832809448242,0.2868211269378662,0.283290296792984,0.515582263469696,0.4130953550338745
