,what,is,used,by,certain,wealthy,groups,to,obtain,policies,financially,beneficial,for,them,?
a,0.3320399522781372,0.658733606338501,0.3864384889602661,0.32094135880470276,0.369277685880661,0.22086164355278015,0.2068004310131073,0.45503583550453186,0.20963381230831146,0.1655852198600769,0.25232523679733276,0.24567574262619019,0.44038116931915283,0.3151612877845764,0.23916715383529663
better,0.3551420271396637,0.23651917278766632,0.293679416179657,0.21719415485858917,0.2782136797904968,0.23429657518863678,0.13199298083782196,0.29406851530075073,0.1801811009645462,0.2718982696533203,0.17404915392398834,0.39618971943855286,0.3385646641254425,0.39597368240356445,0.32159438729286194
explainer,0.35882633924484253,0.2539007067680359,0.18529146909713745,0.25613850355148315,0.2825630009174347,0.08838367462158203,0.06181366741657257,0.28455591201782227,0.22432278096675873,0.27641794085502625,0.11809582263231277,0.27267131209373474,0.31258025765419006,0.27772682905197144,0.3750411868095398
of,0.33290785551071167,0.4854315221309662,0.3075267970561981,0.3646814823150635,0.40204232931137085,0.2134784311056137,0.24723079800605774,0.41548454761505127,0.22279390692710876,0.210641011595726,0.235359787940979,0.25373950600624084,0.4185989499092102,0.34503093361854553,0.1826142966747284
growing,0.20045997202396393,0.2603529095649719,0.21913832426071167,0.13063624501228333,0.2640434503555298,0.3267478048801422,0.20897048711776733,0.2752383351325989,0.14568307995796204,0.23907455801963806,0.2877040207386017,0.2883414626121521,0.2508315145969391,0.2826390862464905,0.10178618133068085
inequality,0.30072227120399475,0.1953488290309906,0.21748371422290802,0.17648567259311676,0.3745248317718506,0.28975221514701843,0.2537217140197754,0.24361056089401245,0.3028315305709839,0.4452800154685974,0.27557069063186646,0.3054037094116211,0.256974995136261,0.26450657844543457,0.23619021475315094
",",0.3087472915649414,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.28759655356407166,0.22837986052036285,0.2671695053577423,0.44245919585227966,0.20451262593269348,0.2566804587841034,0.2653209865093231,0.25924769043922424,0.4464869201183319,0.3985835015773773,0.31091248989105225
according,0.2776208221912384,0.2838992476463318,0.223187655210495,0.2975466847419739,0.29921722412109375,0.20193420350551605,0.1282060742378235,0.28520727157592773,0.1680358350276947,0.23322837054729462,0.18860724568367004,0.1266903430223465,0.1956551969051361,0.21364882588386536,0.21173474192619324
to,0.455847829580307,0.42745086550712585,0.40058770775794983,0.33534231781959534,0.4444960355758667,0.2669115960597992,0.24181967973709106,1.0,0.34578439593315125,0.31011244654655457,0.32958492636680603,0.35746264457702637,0.4451248347759247,0.5916602611541748,0.29463258385658264
stiglitz,0.1559118777513504,0.20523174107074738,0.10349839925765991,0.32672441005706787,0.14611518383026123,0.2952023148536682,0.13006895780563354,0.171134814620018,0.1287672370672226,0.16990280151367188,0.2575277090072632,0.17752201855182648,0.26361972093582153,0.11551060527563095,0.18573977053165436
",",0.3087472915649414,0.4691906273365021,0.3120402991771698,0.3680937886238098,0.28759655356407166,0.22837986052036285,0.2671695053577423,0.44245919585227966,0.20451262593269348,0.2566804587841034,0.2653209865093231,0.25924769043922424,0.4464869201183319,0.3985835015773773,0.31091248989105225
is,0.28837618231773376,1.0,0.3288823366165161,0.3899846076965332,0.28826433420181274,0.17813339829444885,0.19906288385391235,0.42745086550712585,0.18897517025470734,0.1406831294298172,0.22115498781204224,0.2293063849210739,0.43268078565597534,0.2390832006931305,0.22961433231830597
