,what,profession,does,simon,kuznets,have,?
economist,0.16227665543556213,0.34401705861091614,0.12617771327495575,0.24851356446743011,0.3176610469818115,0.09050777554512024,0.15311987698078156
simon,0.16804955899715424,0.15507575869560242,0.18627330660820007,1.0000001192092896,0.3342934548854828,0.15902812778949738,0.10385744273662567
kuznets,0.1295931190252304,0.1659051477909088,0.15235063433647156,0.3342934548854828,1.0,0.19766679406166077,0.19523082673549652
argued,0.31776854395866394,0.29205796122550964,0.24246995151042938,0.10377988964319229,0.09782971441745758,0.3102279305458069,0.18905270099639893
that,0.6297725439071655,0.24653634428977966,0.4764937460422516,0.16985765099525452,0.19955454766750336,0.6182622313499451,0.32716336846351624
levels,0.21641245484352112,0.10663900524377823,0.24911271035671234,0.08400340378284454,0.14368857443332672,0.37333425879478455,0.1541307419538498
of,0.33290785551071167,0.248733788728714,0.3119818866252899,0.16661307215690613,0.15314316749572754,0.3802283704280853,0.1826142966747284
economic,0.18082544207572937,0.2504691183567047,0.14175917208194733,0.11762333661317825,0.19276274740695953,0.18631099164485931,0.1206481084227562
inequality,0.30072227120399475,0.2936093807220459,0.24271976947784424,0.11200320720672607,0.14391092956066132,0.2617298364639282,0.23619021475315094
are,0.29724663496017456,0.17722265422344208,0.3126322329044342,0.1350110024213791,0.22794824838638306,0.6577680706977844,0.24591213464736938
in,0.30808621644973755,0.16790467500686646,0.214483380317688,0.1896257847547531,0.2006215751171112,0.36843645572662354,0.20430970191955566
large,0.2017821967601776,0.16976357996463776,0.22553202509880066,0.09473716467618942,0.132583886384964,0.33964231610298157,0.1355665624141693
part,0.3476244807243347,0.1347636580467224,0.26684749126434326,0.14116618037223816,0.1347780078649521,0.25547030568122864,0.08557961881160736
the,0.42745697498321533,0.17655403912067413,0.35928019881248474,0.20363262295722961,0.2102777063846588,0.40389683842658997,0.22068053483963013
result,0.19945499300956726,0.13329964876174927,0.18998359143733978,0.04216007888317108,0.09766612201929092,0.28083348274230957,0.17218433320522308
of,0.33290785551071167,0.248733788728714,0.3119818866252899,0.16661307215690613,0.15314316749572754,0.3802283704280853,0.1826142966747284
stages,0.18274828791618347,0.1568339318037033,0.17530745267868042,0.14668342471122742,0.21578101813793182,0.2591269612312317,0.12672165036201477
of,0.33290785551071167,0.248733788728714,0.3119818866252899,0.16661307215690613,0.15314316749572754,0.3802283704280853,0.1826142966747284
development,0.19014155864715576,0.24267885088920593,0.19386763870716095,0.05199743062257767,0.1900709718465805,0.2828937768936157,0.1211358830332756
.,0.3567904531955719,0.23688457906246185,0.3022993505001068,0.19515405595302582,0.29673638939857483,0.41614407300949097,0.4130953550338745
