,how,much,did,the,second,stage,increase,thrust,by,with,the,integration,of,the,s-ivb-200,?
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.32049667835235596,0.28476181626319885,0.4408751428127289,0.4223487675189972,1.0,0.32554522156715393,0.733189046382904,1.0,0.25528669357299805,0.22068053483963013
s-ib,0.28322654962539673,0.21174827218055725,0.09684523195028305,0.22101955115795135,0.20762135088443756,0.0788835808634758,0.2703036367893219,0.2614123821258545,0.16497737169265747,0.19346943497657776,0.22101955115795135,0.2334759533405304,0.2561119496822357,0.22101955115795135,0.29847872257232666,0.2431945949792862
first,0.27731001377105713,0.21792817115783691,0.33691170811653137,0.49448907375335693,0.6953977942466736,0.22718806564807892,0.16477549076080322,0.15517504513263702,0.3877052962779999,0.2691199779510498,0.49448907375335693,0.2093559354543686,0.3536086082458496,0.49448907375335693,0.2302004098892212,0.18701928853988647
stage,0.1827659159898758,0.20447398722171783,0.1994115114212036,0.22652170062065125,0.12515126168727875,1.0000001192092896,0.18180061876773834,0.16727915406227112,0.173556387424469,0.1076672300696373,0.22652170062065125,0.10068593919277191,0.1389172226190567,0.22652170062065125,0.07601434737443924,0.14916576445102692
increased,0.2297995388507843,0.38681474328041077,0.20765343308448792,0.3188653886318207,0.1650342345237732,0.16721059381961823,0.8384779691696167,0.22314059734344482,0.23756875097751617,0.2477453649044037,0.3188653886318207,0.3131789267063141,0.3371390700340271,0.3188653886318207,0.05800152197480202,0.09587585180997849
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.32049667835235596,0.28476181626319885,0.4408751428127289,0.4223487675189972,1.0,0.32554522156715393,0.733189046382904,1.0,0.25528669357299805,0.22068053483963013
thrust,0.23684193193912506,0.2916714549064636,0.18759748339653015,0.28476181626319885,0.17371198534965515,0.16727915406227112,0.28268566727638245,1.0,0.22652962803840637,0.20772916078567505,0.28476181626319885,0.22135524451732635,0.17752546072006226,0.28476181626319885,0.06675950437784195,0.1531757265329361
to,0.44169697165489197,0.40610215067863464,0.4452643394470215,0.535392165184021,0.3098561465740204,0.1484832912683487,0.3378143310546875,0.2675754427909851,0.33534231781959534,0.4239959120750427,0.535392165184021,0.2722092568874359,0.41548454761505127,0.535392165184021,0.17562733590602875,0.29463258385658264
"1,600,000",0.11404454708099365,0.08175581693649292,0.06647470593452454,0.13359662890434265,0.12119946628808975,0.19518499076366425,0.21894508600234985,0.34129273891448975,0.09585500508546829,0.08312534540891647,0.13359662890434265,0.09374821931123734,0.09670081734657288,0.13359662890434265,0.06375379860401154,0.06048373505473137
pounds-force,0.3284830152988434,0.33937689661979675,0.23793122172355652,0.2882310450077057,0.2959795594215393,0.12364933639764786,0.3380063474178314,0.42072394490242004,0.23768337070941925,0.26079636812210083,0.2882310450077057,0.2288474142551422,0.2765384912490845,0.2882310450077057,0.15120142698287964,0.29165512323379517
(,0.1676948219537735,0.21788647770881653,0.18979617953300476,0.33289089798927307,0.27435752749443054,0.21330693364143372,0.15438681840896606,0.16461241245269775,0.20696312189102173,0.29503780603408813,0.33289089798927307,0.18835245072841644,0.35032153129577637,0.33289089798927307,0.05691876262426376,0.40561532974243164
"7,120",0.013873538002371788,0.035126566886901855,0.1403835564851761,0.08533044904470444,0.04714765399694443,0.026223355904221535,0.06629493087530136,0.027936868369579315,0.05100254714488983,0.08809000253677368,0.08533044904470444,-0.013421561568975449,0.011156843975186348,0.08533044904470444,0.016514504328370094,0.05117534473538399
kn,0.1561761498451233,0.21236267685890198,0.10493256896734238,0.12718795239925385,0.14115051925182343,0.1370285451412201,0.21407844126224518,0.25411033630371094,0.11990418285131454,0.1061459481716156,0.12718795239925385,0.14002187550067902,0.144547700881958,0.12718795239925385,0.14278282225131989,0.22977566719055176
),0.17939934134483337,0.22256317734718323,0.18584993481636047,0.3456730246543884,0.29819294810295105,0.24287325143814087,0.15013758838176727,0.18580129742622375,0.2151763141155243,0.3069596290588379,0.3456730246543884,0.19082894921302795,0.3680361211299896,0.3456730246543884,0.06244101747870445,0.42300865054130554
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.4933079481124878,0.29927265644073486,0.2630990147590637,0.20005576312541962,0.14058633148670197,0.3680937886238098,0.4120737314224243,0.4933079481124878,0.24500080943107605,0.4946078956127167,0.4933079481124878,0.17869305610656738,0.31091248989105225
and,0.33647966384887695,0.38395699858665466,0.34479495882987976,0.5171257257461548,0.2743909955024719,0.17654182016849518,0.2751924991607666,0.22400592267513275,0.4289871156215668,0.5477725267410278,0.5171257257461548,0.27531754970550537,0.5116966962814331,0.5171257257461548,0.2049134224653244,0.20544172823429108
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.32049667835235596,0.28476181626319885,0.4408751428127289,0.4223487675189972,1.0,0.32554522156715393,0.733189046382904,1.0,0.25528669357299805,0.22068053483963013
second,0.16459402441978455,0.2180226892232895,0.20727969706058502,0.4620301127433777,1.0,0.12515126168727875,0.12941187620162964,0.17371198534965515,0.2977677285671234,0.272382527589798,0.4620301127433777,0.16843271255493164,0.353416383266449,0.4620301127433777,0.21873052418231964,0.17239587008953094
stage,0.1827659159898758,0.20447398722171783,0.1994115114212036,0.22652170062065125,0.12515126168727875,1.0000001192092896,0.18180061876773834,0.16727915406227112,0.173556387424469,0.1076672300696373,0.22652170062065125,0.10068593919277191,0.1389172226190567,0.22652170062065125,0.07601434737443924,0.14916576445102692
replaced,0.10615430027246475,0.22184303402900696,0.19568689167499542,0.2645455598831177,0.26238876581192017,0.11173181235790253,0.17778638005256653,0.15873508155345917,0.31910058856010437,0.24342618882656097,0.2645455598831177,0.073895163834095,0.20067165791988373,0.2645455598831177,0.11885849386453629,0.14945141971111298
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.4620301127433777,0.22652170062065125,0.32049667835235596,0.28476181626319885,0.4408751428127289,0.4223487675189972,1.0,0.32554522156715393,0.733189046382904,1.0,0.25528669357299805,0.22068053483963013
s-iv,0.17887449264526367,0.13776351511478424,0.1297321766614914,0.2148948460817337,0.2132711559534073,0.09111697971820831,0.16975611448287964,0.10432227700948715,0.14436183869838715,0.21527382731437683,0.2148948460817337,0.23438553512096405,0.28569579124450684,0.2148948460817337,0.30499061942100525,0.1491595357656479
