,how,to,baptized,members,become,professing,members,?
these,0.41104358434677124,0.46852558851242065,0.20820419490337372,0.3063323199748993,0.2707001268863678,0.20235180854797363,0.3063323199748993,0.2571668326854706
baptized,0.12989971041679382,0.22952966392040253,1.0,0.24112823605537415,0.18945731222629547,0.1706414818763733,0.24112823605537415,0.2024652510881424
members,0.20418256521224976,0.26617446541786194,0.24112823605537415,0.9999998807907104,0.17216505110263824,0.1631409227848053,0.9999998807907104,0.10212311148643494
become,0.25223416090011597,0.36996012926101685,0.18945731222629547,0.17216505110263824,1.0,0.2701733112335205,0.17216505110263824,0.19511328637599945
professing,0.23298273980617523,0.26968738436698914,0.1706414818763733,0.1631409227848053,0.2701733112335205,0.9999998807907104,0.1631409227848053,0.1903138905763626
members,0.20418256521224976,0.26617446541786194,0.24112823605537415,0.9999998807907104,0.17216505110263824,0.1631409227848053,0.9999998807907104,0.10212311148643494
through,0.2704794108867645,0.4062686562538147,0.10004719346761703,0.14013555645942688,0.19022426009178162,0.15779457986354828,0.14013555645942688,0.16913433372974396
confirmation,0.24829088151454926,0.3208828270435333,0.303886741399765,0.20687143504619598,0.20989203453063965,0.1799611747264862,0.20687143504619598,0.38350698351860046
and,0.33647966384887695,0.48971283435821533,0.18915601074695587,0.2994427978992462,0.3416603207588196,0.29608649015426636,0.2994427978992462,0.20544172823429108
sometimes,0.3142040967941284,0.4055429697036743,0.11360172182321548,0.19169208407402039,0.22968845069408417,0.24647004902362823,0.19169208407402039,0.1751544177532196
the,0.33890387415885925,0.535392165184021,0.18283669650554657,0.3321719169616699,0.31731709837913513,0.184482142329216,0.3321719169616699,0.22068053483963013
profession,0.19338764250278473,0.2364424616098404,0.22231411933898926,0.18728922307491302,0.26209086179733276,0.8546173572540283,0.18728922307491302,0.13789935410022736
of,0.2480744868516922,0.41548454761505127,0.23367582261562347,0.28120753169059753,0.31678006052970886,0.18829289078712463,0.28120753169059753,0.1826142966747284
faith,0.22136688232421875,0.2426898032426834,0.35746464133262634,0.1791633814573288,0.1883717030286789,0.22230248153209686,0.1791633814573288,0.2833177447319031
.,0.3287222981452942,0.4645031690597534,0.24609112739562988,0.21119362115859985,0.32859939336776733,0.2682372033596039,0.21119362115859985,0.4130953550338745
