,what,type,of,committee,is,set,down,under,the,sp,'s,standing,orders,?
there,0.35085538029670715,0.2376682013273239,0.44397735595703125,0.19248612225055695,0.3904260993003845,0.23786096274852753,0.23563720285892487,0.23181530833244324,0.47025805711746216,0.11461825668811798,-0.04860968142747879,0.29943525791168213,0.1571468859910965,0.29405656456947327
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.14231987297534943,0.5330929756164551,0.2029329091310501,0.20758381485939026,0.2196284979581833,0.40399202704429626,0.11271944642066956,-0.008927806280553341,0.23488858342170715,0.1778712123632431,0.24591213464736938
different,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.15887993574142456,0.24624870717525482,0.22290955483913422,0.23906585574150085,0.2488885074853897,0.36412742733955383,0.11867205053567886,0.05519130453467369,0.21119937300682068,0.1289328634738922,0.24476227164268494
committees,0.1853698194026947,0.1470366269350052,0.34709328413009644,0.8771678805351257,0.15802469849586487,0.24325835704803467,0.14976626634597778,0.21536171436309814,0.2924276292324066,0.12451088428497314,0.07461253553628922,0.28090807795524597,0.18155214190483093,0.1382787674665451
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.14769598841667175,0.3250955045223236,0.19515010714530945,0.2706494629383087,0.2667143940925598,0.4223487675189972,0.1312427520751953,-0.04624466598033905,0.2784639894962311,0.1561945229768753,0.2433311939239502
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.14594750106334686,0.2101074606180191,0.21568769216537476,0.2791244685649872,0.24656233191490173,0.516537070274353,0.04543844610452652,-0.005530759692192078,0.2865380346775055,0.24599799513816833,0.1898253709077835
functions,0.22357098758220673,0.20136284828186035,0.2328059822320938,0.15511289238929749,0.1740858554840088,0.26677948236465454,0.20855477452278137,0.1293666809797287,0.2567043900489807,0.13838762044906616,-0.10537923872470856,0.15908274054527283,0.21930964291095734,0.13745930790901184
set,0.28954121470451355,0.10431047528982162,0.20671486854553223,0.22804071009159088,0.21148966252803802,1.0000001192092896,0.17242838442325592,0.1245715394616127,0.2927955985069275,0.07270514219999313,0.05998389050364494,0.2404644936323166,0.10764838010072708,0.1698019951581955
out,0.3633197546005249,0.18749801814556122,0.34176841378211975,0.1961643546819687,0.2817855477333069,0.16735710203647614,0.40741533041000366,0.30524444580078125,0.39404502511024475,0.21302972733974457,0.0021837172098457813,0.2189476191997528,0.14371445775032043,0.22020699083805084
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2107008546590805,0.5394441485404968,0.2663729190826416,0.2321847528219223,0.2535393238067627,0.6662389636039734,0.1693420112133026,-0.037580832839012146,0.23342552781105042,0.20494955778121948,0.20430970191955566
different,0.39262300729751587,0.32853832840919495,0.3747533857822418,0.15887993574142456,0.24624870717525482,0.22290955483913422,0.23906585574150085,0.2488885074853897,0.36412742733955383,0.11867205053567886,0.05519130453467369,0.21119937300682068,0.1289328634738922,0.24476227164268494
ways,0.394069641828537,0.2443646639585495,0.23171216249465942,0.1574530303478241,0.23305881023406982,0.1576010137796402,0.18264150619506836,0.12961582839488983,0.25153350830078125,0.06033334508538246,0.01806633546948433,0.17001265287399292,0.20099210739135742,0.2710120975971222
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.18011361360549927,0.4569662809371948,0.2928885817527771,0.2362249493598938,0.2901604175567627,0.5934505462646484,0.26135554909706116,-0.003708066651597619,0.24833691120147705,0.2030671089887619,0.4130953550338745
