,what,happened,with,the,rate,of,flow,in,the,rhine,with,the,straightening,program,?
the,0.42745697498321533,0.3589572608470917,0.4223487675189972,1.0,0.24881242215633392,0.733189046382904,0.314039409160614,0.6662389636039734,1.0,0.30735138058662415,0.4223487675189972,1.0,0.28836721181869507,0.22986935079097748,0.22068053483963013
rate,0.21845893561840057,0.19680972397327423,0.12391091138124466,0.24881242215633392,1.0000001192092896,0.24132871627807617,0.37304267287254333,0.24951417744159698,0.24881242215633392,0.16369813680648804,0.12391091138124466,0.24881242215633392,0.26312220096588135,0.15429748594760895,0.1308269053697586
of,0.33290785551071167,0.30501094460487366,0.41827285289764404,0.733189046382904,0.24132871627807617,1.0,0.2407451719045639,0.5696388483047485,0.733189046382904,0.2548927664756775,0.41827285289764404,0.733189046382904,0.22229816019535065,0.17376001179218292,0.1826142966747284
flow,0.1798735409975052,0.14493627846240997,0.08951380848884583,0.314039409160614,0.37304267287254333,0.2407451719045639,0.9999999403953552,0.22435857355594635,0.314039409160614,0.20253489911556244,0.08951380848884583,0.314039409160614,0.3598649203777313,0.2015431970357895,0.10458291321992874
was,0.22111038863658905,0.36671528220176697,0.27411898970603943,0.48711544275283813,0.16712123155593872,0.4069072902202606,0.16647294163703918,0.45514053106307983,0.48711544275283813,0.18681856989860535,0.27411898970603943,0.48711544275283813,0.1475522369146347,0.1849333792924881,0.18412111699581146
increased,0.1599731743335724,0.22765471041202545,0.2477453649044037,0.3188653886318207,0.47414037585258484,0.3371390700340271,0.2983774244785309,0.244624063372612,0.3188653886318207,0.139802023768425,0.2477453649044037,0.3188653886318207,0.30165913701057434,0.16633938252925873,0.09587585180997849
and,0.31309178471565247,0.22602374851703644,0.5477725267410278,0.5171257257461548,0.17405889928340912,0.5116966962814331,0.2773895561695099,0.4954058527946472,0.5171257257461548,0.22029656171798706,0.5477725267410278,0.5171257257461548,0.3069630563259125,0.24895258247852325,0.20544172823429108
the,0.42745697498321533,0.3589572608470917,0.4223487675189972,1.0,0.24881242215633392,0.733189046382904,0.314039409160614,0.6662389636039734,1.0,0.30735138058662415,0.4223487675189972,1.0,0.28836721181869507,0.22986935079097748,0.22068053483963013
ground,0.20688746869564056,0.241159588098526,0.213706374168396,0.25776049494743347,0.17300821840763092,0.22660790383815765,0.1224122941493988,0.20377106964588165,0.25776049494743347,0.20447061955928802,0.213706374168396,0.25776049494743347,0.28502553701400757,0.1520429104566574,0.11401822417974472
water,0.17456887662410736,0.14305701851844788,0.20542247593402863,0.297396719455719,0.22790531814098358,0.2741255462169647,0.4377398192882538,0.23966141045093536,0.297396719455719,0.18943050503730774,0.20542247593402863,0.297396719455719,0.3207791745662689,0.1555223912000656,0.14731885492801666
level,0.27376922965049744,0.1518222689628601,0.23348768055438995,0.31442487239837646,0.26853781938552856,0.23504668474197388,0.25538530945777893,0.279204785823822,0.31442487239837646,0.17357029020786285,0.23348768055438995,0.31442487239837646,0.19683614373207092,0.26392319798469543,0.20528386533260345
fell,0.1721644401550293,0.294899582862854,0.254834920167923,0.2598440647125244,0.1605929583311081,0.2526882588863373,0.17951837182044983,0.22975562512874603,0.2598440647125244,0.24172356724739075,0.254834920167923,0.2598440647125244,0.18215903639793396,0.06449815630912781,0.13107693195343018
significantly,0.2746123671531677,0.17789877951145172,0.3235640525817871,0.3313288986682892,0.32589995861053467,0.2703875005245209,0.16753937304019928,0.26986899971961975,0.3313288986682892,0.12487909197807312,0.3235640525817871,0.3313288986682892,0.2646843492984772,0.14455682039260864,0.1823679804801941
.,0.3567904531955719,0.29012542963027954,0.4446153938770294,0.5934505462646484,0.2418757975101471,0.5352458953857422,0.191733717918396,0.5591574311256409,0.5934505462646484,0.2089352011680603,0.4446153938770294,0.5934505462646484,0.25162386894226074,0.18964338302612305,0.4130953550338745
