,pressures,greater,than,what,can,lead,to,convulsions,?
exposure,0.28180208802223206,0.22046859562397003,0.2586095631122589,0.21444639563560486,0.36640477180480957,0.3414924740791321,0.263922780752182,0.4274802505970001,0.18779869377613068
to,0.3563862144947052,0.25585630536079407,0.3192550539970398,0.455847829580307,0.4979398250579834,0.23490607738494873,1.0,0.3001974821090698,0.29463258385658264
a,0.24834388494491577,0.20286329090595245,0.3126874566078186,0.3320399522781372,0.3915780484676361,0.20661775767803192,0.45503583550453186,0.2668914198875427,0.23916715383529663
o,0.08695260435342789,0.060232698917388916,0.12662719190120697,0.1489914506673813,0.13634033501148224,0.14267632365226746,0.1644444614648819,0.1437775194644928,0.23868927359580994
2,-0.0376412533223629,-0.03809231519699097,-0.04757285863161087,-0.049862053245306015,0.01035431306809187,0.011206243187189102,-0.0836251974105835,0.04468318074941635,0.001977203879505396
partial,0.25671520829200745,0.1256176084280014,0.21818193793296814,0.24140220880508423,0.2901739776134491,0.05984703451395035,0.19141130149364471,0.307296484708786,0.16151700913906097
pressures,1.0,0.22733035683631897,0.2515203356742859,0.2606661915779114,0.28208592534065247,0.17190098762512207,0.3563862144947052,0.40059414505958557,0.12055351585149765
greater,0.22733035683631897,1.0000001192092896,0.4072994291782379,0.1946859508752823,0.17744551599025726,0.16492217779159546,0.25585630536079407,0.15093167126178741,0.09723397344350815
than,0.2515203356742859,0.4072994291782379,1.0,0.29388150572776794,0.3532506823539734,0.15391311049461365,0.3192550539970398,0.24346216022968292,0.24917294085025787
160,-0.14863121509552002,-0.0576237253844738,-0.18117044866085052,-0.2319744974374771,-0.23907406628131866,-0.132797971367836,-0.19418273866176605,-0.12875548005104065,-0.11823219805955887
kpa,0.34075042605400085,0.19594845175743103,0.18045847117900848,0.17692479491233826,0.22026656568050385,0.07936855405569077,0.20735129714012146,0.17061012983322144,0.2370387464761734
(,0.128465473651886,0.17369183897972107,0.19419437646865845,0.2411840260028839,0.22726960480213165,0.19488981366157532,0.30882009863853455,0.2205657809972763,0.40561532974243164
about,0.2227289229631424,0.225340336561203,0.40586400032043457,0.47976887226104736,0.27397462725639343,0.19637209177017212,0.391953706741333,0.2018970102071762,0.302409827709198
1.6,0.2363167703151703,0.22582551836967468,0.29100385308265686,0.23789982497692108,0.2849826514720917,0.14896945655345917,0.26405051350593567,0.2888457179069519,0.3414687514305115
atm,0.34063810110092163,0.2757168710231781,0.29909443855285645,0.3224411904811859,0.3058876395225525,0.10789771378040314,0.25027918815612793,0.1569526642560959,0.31923913955688477
),0.13468356430530548,0.17431838810443878,0.21982109546661377,0.26259949803352356,0.23216170072555542,0.18732444941997528,0.31236231327056885,0.2189260572195053,0.42300865054130554
may,0.18912898004055023,0.1543731838464737,0.3617818057537079,0.25739946961402893,0.43584567308425903,0.22900992631912231,0.391582727432251,0.3684805631637573,0.2768254578113556
lead,0.17190098762512207,0.16492217779159546,0.15391311049461365,0.19642074406147003,0.21390347182750702,0.9999998807907104,0.23490607738494873,0.25297874212265015,0.14552436769008636
to,0.3563862144947052,0.25585630536079407,0.3192550539970398,0.455847829580307,0.4979398250579834,0.23490607738494873,1.0,0.3001974821090698,0.29463258385658264
convulsions,0.40059414505958557,0.15093167126178741,0.24346216022968292,0.2527662217617035,0.3651520609855652,0.25297874212265015,0.3001974821090698,1.0,0.2750127613544464
(,0.128465473651886,0.17369183897972107,0.19419437646865845,0.2411840260028839,0.22726960480213165,0.19488981366157532,0.30882009863853455,0.2205657809972763,0.40561532974243164
normally,0.3242667019367218,0.17516079545021057,0.36238446831703186,0.30112072825431824,0.5890818238258362,0.21565712988376617,0.3993734121322632,0.2758784592151642,0.20675471425056458
fatal,0.1548972725868225,0.09817156940698624,0.1076098307967186,0.16336281597614288,0.1581646054983139,0.23955582082271576,0.11517301201820374,0.3870946764945984,0.16077253222465515
for,0.21563996374607086,0.184608593583107,0.30793827772140503,0.3017193675041199,0.35690054297447205,0.29822173714637756,0.4451248347759247,0.2226298749446869,0.264628142118454
divers,0.31661996245384216,0.24340485036373138,0.21233361959457397,0.1517011523246765,0.30070629715919495,0.15527452528476715,0.25984951853752136,0.3000011146068573,0.05918926000595093
),0.13468356430530548,0.17431838810443878,0.21982109546661377,0.26259949803352356,0.23216170072555542,0.18732444941997528,0.31236231327056885,0.2189260572195053,0.42300865054130554
.,0.22604712843894958,0.20152446627616882,0.3594527542591095,0.3567904531955719,0.35783761739730835,0.2305188626050949,0.4645031690597534,0.257520854473114,0.4130953550338745
