,when,did,luther,write,a,german,mass,?
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.24632485210895538,0.539380669593811,0.21098364889621735,0.1766357719898224,0.20430970191955566
response,0.35236990451812744,0.23455248773097992,0.21941745281219482,0.19123715162277222,0.25924429297447205,0.1171063780784607,0.2547054588794708,0.2007838636636734
to,0.5423505902290344,0.4452643394470215,0.18029534816741943,0.4184085726737976,0.45503583550453186,0.15143753588199615,0.20907121896743774,0.29463258385658264
demands,0.3087908625602722,0.31823405623435974,0.20515267550945282,0.16100171208381653,0.23722945153713226,0.13270452618598938,0.1900513768196106,0.11488337814807892
for,0.43402108550071716,0.318512886762619,0.12958186864852905,0.3243878483772278,0.44038116931915283,0.17564234137535095,0.18664062023162842,0.264628142118454
a,0.44397395849227905,0.2552328109741211,0.17967689037322998,0.29025161266326904,1.0,0.23789440095424652,0.21558082103729248,0.23916715383529663
german,0.16090898215770721,0.2048940509557724,0.28169330954551697,0.15744724869728088,0.23789440095424652,1.0000001192092896,0.14203497767448425,0.13978645205497742
liturgy,0.1712050586938858,0.18254253268241882,0.290222704410553,0.262936532497406,0.16872096061706543,0.2021816521883011,0.33066296577453613,0.18847838044166565
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.427140474319458,0.2478695809841156,0.2439754158258438,0.31091248989105225
luther,0.14516782760620117,0.23667675256729126,1.0,0.14316920936107635,0.17967689037322998,0.28169330954551697,0.14408515393733978,0.1732746809720993
wrote,0.18808679282665253,0.3485160768032074,0.24184277653694153,0.6017370820045471,0.232523575425148,0.18196548521518707,0.20055264234542847,0.19322504103183746
a,0.44397395849227905,0.2552328109741211,0.17967689037322998,0.29025161266326904,1.0,0.23789440095424652,0.21558082103729248,0.23916715383529663
german,0.16090898215770721,0.2048940509557724,0.28169330954551697,0.15744724869728088,0.23789440095424652,1.0000001192092896,0.14203497767448425,0.13978645205497742
mass,0.1852782517671585,0.1598033756017685,0.14408515393733978,0.17490719258785248,0.21558082103729248,0.14203497767448425,1.0000001192092896,0.2076406031847
",",0.36674630641937256,0.3015086054801941,0.23255878686904907,0.24658997356891632,0.427140474319458,0.2478695809841156,0.2439754158258438,0.31091248989105225
which,0.572554349899292,0.2750149369239807,0.17501473426818848,0.31213799118995667,0.56894451379776,0.1845671534538269,0.2918572425842285,0.25814583897590637
he,0.39115971326828003,0.3292143940925598,0.2454872578382492,0.2696007788181305,0.4393508732318878,0.23940125107765198,0.1783510446548462,0.2089974731206894
published,0.1944759637117386,0.17877818644046783,0.15444858372211456,0.3166821300983429,0.1993555724620819,0.13872964680194855,0.1309966742992401,0.16280238330364227
in,0.4431333839893341,0.2593238651752472,0.20523880422115326,0.24632485210895538,0.539380669593811,0.21098364889621735,0.1766357719898224,0.20430970191955566
early,0.32107013463974,0.32047218084335327,0.20602326095104218,0.25009945034980774,0.2710886299610138,0.188319593667984,0.14116542041301727,0.15272949635982513
1526,0.07955296337604523,0.05647687613964081,0.06294608861207962,0.10836543887853622,0.026309827342629433,0.06369644403457642,0.012235295958817005,-0.08619783073663712
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.2647448778152466,0.50484299659729,0.2407633364200592,0.25224974751472473,0.4130953550338745
