,when,did,the,bbc,rebroadcast,the,first,episode,of,doctor,who,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2735401690006256,0.3131920397281647,1.0,0.49448907375335693,0.25342556834220886,0.733189046382904,0.2820442318916321,0.3733934462070465,0.22068053483963013
bbc,0.19045519828796387,0.1677953153848648,0.2735401690006256,1.0000001192092896,0.5128949284553528,0.2735401690006256,0.25469130277633667,0.3176216185092926,0.1797877550125122,0.32370132207870483,0.2086644321680069,0.20556949079036713
believed,0.29870954155921936,0.3807709813117981,0.324635773897171,0.0738537386059761,0.1313277930021286,0.324635773897171,0.19041430950164795,0.11502579599618912,0.2945859134197235,0.14872193336486816,0.37975674867630005,0.17606885731220245
that,0.5860282182693481,0.47518548369407654,0.5473989248275757,0.22032664716243744,0.2919953167438507,0.5473989248275757,0.3482176661491394,0.27973806858062744,0.41498205065727234,0.2390732765197754,0.45444270968437195,0.32716336846351624
many,0.36563900113105774,0.375588983297348,0.4335206151008606,0.1944630742073059,0.21185855567455292,0.4335206151008606,0.2931244373321533,0.12958924472332,0.37253960967063904,0.18319568037986755,0.4149286150932312,0.2124512493610382
viewers,0.1492905169725418,0.22879217565059662,0.24207380414009094,0.34644749760627747,0.43053823709487915,0.24207380414009094,0.16945748031139374,0.4023419916629791,0.1391541063785553,0.15965759754180908,0.24101194739341736,0.2274174839258194
had,0.37526828050613403,0.540525496006012,0.3875846862792969,0.2117813676595688,0.21758918464183807,0.3875846862792969,0.3379828929901123,0.21882744133472443,0.37755560874938965,0.19423192739486694,0.36173108220100403,0.20728366076946259
missed,0.25619781017303467,0.35917261242866516,0.24222715198993683,0.06967386603355408,0.1806403547525406,0.24222715198993683,0.2560311555862427,0.21056479215621948,0.18909388780593872,0.1658584028482437,0.2094825804233551,0.27329131960868835
this,0.4959332048892975,0.3609912693500519,0.6274310946464539,0.21239762008190155,0.2667820155620575,0.6274310946464539,0.41690850257873535,0.2580316960811615,0.45148900151252747,0.16758373379707336,0.3345087468624115,0.3155723512172699
introduction,0.16042596101760864,0.19281218945980072,0.2808631956577301,0.22681152820587158,0.1985853761434555,0.2808631956577301,0.2758008539676666,0.20976555347442627,0.24229779839515686,0.13530297577381134,0.14318515360355377,0.27021539211273193
