,who,operated,the,vbsn,network
the,0.3733934462070465,0.24699872732162476,1.0,0.23661670088768005,0.27187061309814453
very,0.34641316533088684,0.11822433024644852,0.34171217679977417,0.13682310283184052,0.1544930338859558
high-speed,0.22649544477462769,0.3203798532485962,0.3437805771827698,0.41740143299102783,0.3139702081680298
backbone,0.1880650520324707,0.22278736531734467,0.36627256870269775,0.2328345626592636,0.33543524146080017
network,0.16999904811382294,0.3923075199127197,0.27187061309814453,0.3872973918914795,1.0000001192092896
service,0.21098247170448303,0.34544339776039124,0.22661015391349792,0.35867738723754883,0.30970117449760437
(,0.2443375140428543,0.18663860857486725,0.33289089798927307,0.18813182413578033,0.20757101476192474
vbns,0.14781740307807922,0.18110798299312592,0.2813221216201782,0.3454621136188507,0.25583016872406006
),0.2457384318113327,0.1819455623626709,0.3456730246543884,0.17459864914417267,0.23536871373653412
came,0.26680538058280945,0.20730078220367432,0.39390382170677185,0.1728796511888504,0.10863730311393738
on,0.2340552806854248,0.24763479828834534,0.5107308030128479,0.2777656614780426,0.30190837383270264
line,0.1774713397026062,0.258137047290802,0.29789501428604126,0.29426610469818115,0.23765820264816284
in,0.2792111933231354,0.24622488021850586,0.6662389636039734,0.2234802097082138,0.19496823847293854
april,0.2566681504249573,0.21190646290779114,0.23232673108577728,0.2119235396385193,0.1885780543088913
1995,0.1870681494474411,-0.10478455573320389,-0.025311529636383057,-0.0821271762251854,-0.08844515681266785
as,0.3923053741455078,0.20440900325775146,0.48381632566452026,0.2349408119916916,0.2054080367088318
part,0.19576206803321838,0.24962306022644043,0.527681291103363,0.21039314568042755,0.20589607954025269
of,0.2827862501144409,0.2221631109714508,0.733189046382904,0.12994985282421112,0.21800683438777924
a,0.36608949303627014,0.221764475107193,0.5829201340675354,0.23713329434394836,0.17299489676952362
national,0.18105065822601318,0.21426565945148468,0.32739606499671936,0.17587517201900482,0.20803247392177582
science,0.19709691405296326,0.08761265128850937,0.24037593603134155,0.13519978523254395,0.20367492735385895
foundation,0.2365967482328415,0.18049661815166473,0.23942872881889343,0.07704120874404907,0.20567525923252106
(,0.2443375140428543,0.18663860857486725,0.33289089798927307,0.18813182413578033,0.20757101476192474
nsf,0.1894940435886383,0.2278342843055725,0.26045000553131104,0.3090899586677551,0.2739379405975342
),0.2457384318113327,0.1819455623626709,0.3456730246543884,0.17459864914417267,0.23536871373653412
sponsored,0.22509317100048065,0.3152305483818054,0.2539086937904358,0.23983146250247955,0.1780693233013153
project,0.2255522608757019,0.16888432204723358,0.2027820199728012,0.2140938937664032,0.22629494965076447
to,0.42656609416007996,0.1737929880619049,0.535392165184021,0.2483799010515213,0.25940340757369995
provide,0.2286112904548645,0.2976754605770111,0.26373472809791565,0.3217514753341675,0.2795361280441284
high-speed,0.22649544477462769,0.3203798532485962,0.3437805771827698,0.41740143299102783,0.3139702081680298
interconnection,0.11765610426664352,0.3480539321899414,0.27878859639167786,0.28797194361686707,0.48724281787872314
between,0.20718061923980713,0.18031428754329681,0.39067012071609497,0.23266831040382385,0.2824346423149109
nsf-sponsored,0.24921680986881256,0.33534741401672363,0.27307677268981934,0.2806342840194702,0.20509488880634308
supercomputing,0.07373784482479095,0.31933391094207764,0.2316875159740448,0.3155688941478729,0.3230956196784973
