,how,many,times,a,year,does,the,council,meet,?
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.5829201340675354,0.3609684407711029,0.35928019881248474,1.0,0.2829204201698303,0.312436044216156,0.22068053483963013
council,0.14261579513549805,0.13560552895069122,0.16620635986328125,0.16385574638843536,0.1741928905248642,0.13735659420490265,0.2829204201698303,1.0,0.22652576863765717,0.1160062924027443
meets,0.16600441932678223,0.13837313652038574,0.1814604252576828,0.20526157319545746,0.14418059587478638,0.3886438012123108,0.28454074263572693,0.2186029702425003,0.693572461605072,0.16143257915973663
twice,0.21883222460746765,0.24584728479385376,0.6039055585861206,0.3332133889198303,0.3123649060726166,0.25360989570617676,0.3638015687465668,0.14498889446258545,0.17354242503643036,0.16248004138469696
a,0.29312583804130554,0.2872205972671509,0.2745400369167328,1.0,0.29350247979164124,0.38201746344566345,0.5829201340675354,0.16385574638843536,0.14505931735038757,0.23916715383529663
year,0.19631797075271606,0.21933086216449738,0.306132435798645,0.29350247979164124,1.0,0.16000528633594513,0.3609684407711029,0.1741928905248642,0.14165005087852478,0.18315006792545319
at,0.2154216170310974,0.2716965675354004,0.26909148693084717,0.3095070421695709,0.3146436810493469,0.17465277016162872,0.457212895154953,0.20668897032737732,0.2383149415254593,0.21978627145290375
various,0.3173779249191284,0.6290724873542786,0.22395837306976318,0.17124241590499878,0.09714669734239578,0.21168746054172516,0.3235042691230774,0.16292308270931244,0.17336764931678772,0.12823495268821716
locations,0.1830352246761322,0.3419991135597229,0.2189151495695114,0.22948916256427765,0.20114515721797943,0.1932622492313385,0.3575807511806488,0.23380643129348755,0.28601810336112976,0.14570996165275574
throughout,0.2546801269054413,0.4781026542186737,0.2768246829509735,0.2578590512275696,0.2877594232559204,0.2064560502767563,0.4158564507961273,0.15285101532936096,0.18562597036361694,0.12665234506130219
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.5829201340675354,0.3609684407711029,0.35928019881248474,1.0,0.2829204201698303,0.312436044216156,0.22068053483963013
world,0.25969967246055603,0.3418862819671631,0.2811112701892853,0.22239887714385986,0.25931429862976074,0.15434256196022034,0.33604270219802856,0.17487794160842896,0.18434569239616394,0.17579582333564758
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.50484299659729,0.32538118958473206,0.3022993505001068,0.5934505462646484,0.2314436286687851,0.26616400480270386,0.4130953550338745
,how,many,times,a,year,does,the,council,meet,?
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.5829201340675354,0.3609684407711029,0.35928019881248474,1.0,0.2829204201698303,0.312436044216156,0.22068053483963013
ratio,0.24514929950237274,0.13516506552696228,0.11949016898870468,0.22021861374378204,0.12406804412603378,0.182726189494133,0.22872252762317657,0.1020776554942131,0.14328041672706604,0.13298895955085754
of,0.2480744868516922,0.37253960967063904,0.24352745711803436,0.5052502155303955,0.2578314542770386,0.3119818866252899,0.733189046382904,0.2972237169742584,0.25706547498703003,0.1826142966747284
laity,0.2736656665802002,0.27845850586891174,0.13706599175930023,0.20302750170230865,0.08909544348716736,0.22171153128147125,0.25578728318214417,0.2064567506313324,0.15438294410705566,0.2055709958076477
to,0.44169697165489197,0.40243685245513916,0.32875269651412964,0.45503583550453186,0.23523004353046417,0.4391997456550598,0.535392165184021,0.23829470574855804,0.3202740550041199,0.29463258385658264
clergy,0.15283432602882385,0.24330389499664307,0.13763223588466644,0.19379808008670807,0.12137246876955032,0.17326994240283966,0.26154741644859314,0.3025865852832794,0.08244480937719345,0.14422976970672607
alternates,0.18753771483898163,0.17231300473213196,0.14451393485069275,0.296163409948349,0.2340632975101471,0.2577304542064667,0.3290936052799225,0.15026049315929413,0.13110806047916412,0.1590878963470459
every,0.31805798411369324,0.3416140377521515,0.3958989381790161,0.43930745124816895,0.3677065968513489,0.32406800985336304,0.4023689329624176,0.24224413931369781,0.2385755181312561,0.24066033959388733
eight,0.222213014960289,0.348200261592865,0.2503972053527832,0.3028070032596588,0.24610352516174316,0.11145713925361633,0.34254369139671326,0.1551893651485443,0.18073545396327972,0.11634626984596252
years,0.21949264407157898,0.2731519937515259,0.318488746881485,0.23773819208145142,0.5195499062538147,0.11878147721290588,0.2912273406982422,0.11311693489551544,0.1251082718372345,0.1914375126361847
.,0.3287222981452942,0.3974229395389557,0.2891986668109894,0.50484299659729,0.32538118958473206,0.3022993505001068,0.5934505462646484,0.2314436286687851,0.26616400480270386,0.4130953550338745
