,where,does,southern,california,'s,megalopolis,standard,in,terms,of,population,nationwide,?
it,0.36972272396087646,0.34188351035118103,0.30382129549980164,0.1883031278848648,0.06608816236257553,0.18321222066879272,0.2476482391357422,0.5130809545516968,0.2657536268234253,0.38761502504348755,0.30431556701660156,0.1597214937210083,0.25732165575027466
is,0.3586711287498474,0.4403602182865143,0.2419366091489792,0.20727038383483887,0.02396530658006668,0.25423142313957214,0.23514990508556366,0.5394441485404968,0.27452221512794495,0.4854315221309662,0.2727566361427307,0.09471789747476578,0.22961433231830597
the,0.5003893971443176,0.35928019881248474,0.3282862603664398,0.2750805914402008,-0.01540423184633255,0.27194923162460327,0.29008856415748596,0.6662389636039734,0.29706791043281555,0.733189046382904,0.32044094800949097,0.25796952843666077,0.22068053483963013
third,0.23761779069900513,0.16555646061897278,0.1795535385608673,0.1604798585176468,-0.00712791969999671,0.1816544234752655,0.12763401865959167,0.3309578001499176,0.2067948281764984,0.30602210760116577,0.18395879864692688,0.2521137297153473,0.15394791960716248
most,0.3678402900695801,0.30044323205947876,0.21031956374645233,0.206544429063797,0.024445664137601852,0.18578363955020905,0.2708315849304199,0.41416558623313904,0.25675201416015625,0.4178851246833801,0.21684317290782928,0.17414960265159607,0.2107497900724411
populated,0.2469979226589203,0.2203751504421234,0.2881377339363098,0.15955975651741028,-0.025941722095012665,0.19549116492271423,0.1985328495502472,0.3159521818161011,0.23609447479248047,0.2850462794303894,0.7446196675300598,0.1732737272977829,0.20106194913387299
megalopolis,0.19070470333099365,0.15460604429244995,0.1582077145576477,0.1811758577823639,0.03952711075544357,1.0,0.08439956605434418,0.2270088940858841,0.20533080399036407,0.29268690943717957,0.19844584167003632,0.18627667427062988,0.17331048846244812
in,0.5344807505607605,0.214483380317688,0.3190481662750244,0.2772824168205261,-0.037580832839012146,0.2270088940858841,0.24721406400203705,1.0,0.2410934716463089,0.5696388483047485,0.3268454372882843,0.25317880511283875,0.20430970191955566
the,0.5003893971443176,0.35928019881248474,0.3282862603664398,0.2750805914402008,-0.01540423184633255,0.27194923162460327,0.29008856415748596,0.6662389636039734,0.29706791043281555,0.733189046382904,0.32044094800949097,0.25796952843666077,0.22068053483963013
united,0.23721055686473846,0.1650896966457367,0.2923206686973572,0.33969607949256897,-0.03853745758533478,0.2020738571882248,0.1998797059059143,0.3938477039337158,0.2210661768913269,0.3187655806541443,0.28376269340515137,0.32892295718193054,0.17266890406608582
states,0.24649012088775635,0.18093830347061157,0.29004350304603577,0.3858724534511566,-0.004298824816942215,0.19889913499355316,0.20632316172122955,0.3977442979812622,0.24709321558475494,0.30884552001953125,0.3036004900932312,0.2970081865787506,0.16272737085819244
",",0.3149496018886566,0.28617382049560547,0.2795628309249878,0.2704589068889618,-0.0016132977325469255,0.2634066045284271,0.2593318521976471,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.2967977225780487,0.20801188051700592,0.31091248989105225
after,0.31753596663475037,0.18596531450748444,0.21340322494506836,0.21467946469783783,-0.055672239512205124,0.11801083385944366,0.10745198279619217,0.44050168991088867,0.15116918087005615,0.3867455720901489,0.16538463532924652,0.2649438977241516,0.16608688235282898
the,0.5003893971443176,0.35928019881248474,0.3282862603664398,0.2750805914402008,-0.01540423184633255,0.27194923162460327,0.29008856415748596,0.6662389636039734,0.29706791043281555,0.733189046382904,0.32044094800949097,0.25796952843666077,0.22068053483963013
great,0.17954127490520477,0.1330372840166092,0.22840449213981628,0.05011150240898132,-0.014279589988291264,0.2509097158908844,0.12998701632022858,0.23348836600780487,0.12201114743947983,0.3168134391307831,0.13108108937740326,0.06674690544605255,0.13135133683681488
lakes,0.220427468419075,0.16938108205795288,0.27772921323776245,0.1871759295463562,0.056080516427755356,0.21358327567577362,0.10133641958236694,0.28098371624946594,0.13116741180419922,0.3004763126373291,0.25905102491378784,0.11757709085941315,0.12022668123245239
megalopolis,0.19070470333099365,0.15460604429244995,0.1582077145576477,0.1811758577823639,0.03952711075544357,1.0,0.08439956605434418,0.2270088940858841,0.20533080399036407,0.29268690943717957,0.19844584167003632,0.18627667427062988,0.17331048846244812
and,0.43859338760375977,0.3461615741252899,0.24232792854309082,0.2441616654396057,0.06895173341035843,0.2181626558303833,0.24117660522460938,0.4954058527946472,0.26477551460266113,0.5116966962814331,0.23080337047576904,0.1662532538175583,0.20544172823429108
the,0.5003893971443176,0.35928019881248474,0.3282862603664398,0.2750805914402008,-0.01540423184633255,0.27194923162460327,0.29008856415748596,0.6662389636039734,0.29706791043281555,0.733189046382904,0.32044094800949097,0.25796952843666077,0.22068053483963013
northeastern,0.2575090229511261,0.08618791401386261,0.6295136213302612,0.26292484998703003,-0.02930080145597458,0.2347092628479004,0.16312602162361145,0.370404452085495,0.06887933611869812,0.3235054314136505,0.4541902542114258,0.234307661652565,0.1524854451417923
megalopolis,0.19070470333099365,0.15460604429244995,0.1582077145576477,0.1811758577823639,0.03952711075544357,1.0,0.08439956605434418,0.2270088940858841,0.20533080399036407,0.29268690943717957,0.19844584167003632,0.18627667427062988,0.17331048846244812
.,0.41390106081962585,0.3022993505001068,0.26629969477653503,0.2870451807975769,-0.003708066651597619,0.28412795066833496,0.2521037757396698,0.5591574311256409,0.24108539521694183,0.5352458953857422,0.26950228214263916,0.22671940922737122,0.4130953550338745
