,how,many,vice,presidents,are,in,the,board,of,trustees,?
directly,0.38373512029647827,0.32856667041778564,0.17281770706176758,0.189790740609169,0.322107195854187,0.25104159116744995,0.4502958655357361,0.26189664006233215,0.2998887896537781,0.2469056397676468,0.2187996357679367
beneath,0.1349889039993286,0.16251914203166962,0.06330540031194687,0.12315307557582855,0.2592780590057373,0.2530617415904999,0.33674344420433044,0.14652596414089203,0.31467050313949585,0.13080225884914398,0.16626206040382385
the,0.33890387415885925,0.4335206151008606,0.2412198781967163,0.29295453429222107,0.40399202704429626,0.6662389636039734,1.0,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
president,0.1342112123966217,0.15858104825019836,0.7407976388931274,0.8352377414703369,0.06442158669233322,0.18811661005020142,0.24330610036849976,0.26718464493751526,0.21610750257968903,0.32546761631965637,0.14148259162902832
are,0.311818927526474,0.5655534863471985,0.13484255969524384,0.21267004311084747,1.0,0.3841303884983063,0.40399202704429626,0.1998358964920044,0.39081433415412903,0.19564402103424072,0.24591213464736938
the,0.33890387415885925,0.4335206151008606,0.2412198781967163,0.29295453429222107,0.40399202704429626,0.6662389636039734,1.0,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
provost,0.11269277334213257,0.14891527593135834,0.3922889232635498,0.33847635984420776,0.160169318318367,0.19382263720035553,0.24716104567050934,0.21798355877399445,0.2888787090778351,0.397686630487442,0.12816457450389862
",",0.22659391164779663,0.40610817074775696,0.2756725251674652,0.27774885296821594,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.25734269618988037,0.4946078956127167,0.24503383040428162,0.31091248989105225
fourteen,0.12846346199512482,0.27689671516418457,0.11212220042943954,0.19489213824272156,0.23976008594036102,0.2813277244567871,0.31443583965301514,0.22298268973827362,0.3137205243110657,0.2619446814060211,0.10843432694673538
vice,0.13988451659679413,0.17897461354732513,0.9999999403953552,0.6368407011032104,0.13484255969524384,0.14977192878723145,0.2412198781967163,0.21979273855686188,0.21141734719276428,0.3140850067138672,0.1369185745716095
presidents,0.1566009819507599,0.2673695385456085,0.6368407011032104,1.0000001192092896,0.21267004311084747,0.2235916703939438,0.29295453429222107,0.22974541783332825,0.2828550338745117,0.31069067120552063,0.16843600571155548
(,0.1676948219537735,0.1455259770154953,0.2118174284696579,0.19612877070903778,0.23263892531394958,0.3087427020072937,0.33289089798927307,0.08325070887804031,0.35032153129577637,0.16812975704669952,0.40561532974243164
including,0.20270724594593048,0.6119236350059509,0.12169034034013748,0.23710323870182037,0.45025435090065,0.35857823491096497,0.3738902807235718,0.21112796664237976,0.44195112586021423,0.19004492461681366,0.1633303165435791
the,0.33890387415885925,0.4335206151008606,0.2412198781967163,0.29295453429222107,0.40399202704429626,0.6662389636039734,1.0,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
chief,0.11594951897859573,0.13955704867839813,0.3924943804740906,0.26513925194740295,0.09394203871488571,0.17961405217647552,0.2586921751499176,0.1886606365442276,0.26361605525016785,0.2559162974357605,0.09466830641031265
financial,0.20090524852275848,0.27747851610183716,0.2662448287010193,0.2462184578180313,0.1316729336977005,0.23881284892559052,0.29952070116996765,0.25156694650650024,0.30178552865982056,0.3874572813510895,0.06444920599460602
officer,0.1377885937690735,0.12142262607812881,0.36165308952331543,0.23915927112102509,0.05922366678714752,0.24015754461288452,0.25777485966682434,0.2396695613861084,0.23883900046348572,0.23994600772857666,0.119948610663414
",",0.22659391164779663,0.40610817074775696,0.2756725251674652,0.27774885296821594,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.25734269618988037,0.4946078956127167,0.24503383040428162,0.31091248989105225
chief,0.11594951897859573,0.13955704867839813,0.3924943804740906,0.26513925194740295,0.09394203871488571,0.17961405217647552,0.2586921751499176,0.1886606365442276,0.26361605525016785,0.2559162974357605,0.09466830641031265
investment,0.20220409333705902,0.21287743747234344,0.2993665337562561,0.2687431275844574,0.15820907056331635,0.19176560640335083,0.20950904488563538,0.22690008580684662,0.24637944996356964,0.40033093094825745,0.17811161279678345
officer,0.1377885937690735,0.12142262607812881,0.36165308952331543,0.23915927112102509,0.05922366678714752,0.24015754461288452,0.25777485966682434,0.2396695613861084,0.23883900046348572,0.23994600772857666,0.119948610663414
",",0.22659391164779663,0.40610817074775696,0.2756725251674652,0.27774885296821594,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.25734269618988037,0.4946078956127167,0.24503383040428162,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.24808862805366516,0.2590823471546173,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.24616685509681702,0.5116966962814331,0.258476585149765,0.20544172823429108
dean,0.13204102218151093,0.16189119219779968,0.2634022533893585,0.28618693351745605,0.07289515435695648,0.21489942073822021,0.20016886293888092,0.1380218118429184,0.18306459486484528,0.29560601711273193,0.13287632167339325
of,0.2480744868516922,0.37253960967063904,0.21141734719276428,0.2828550338745117,0.39081433415412903,0.5696388483047485,0.733189046382904,0.23488809168338776,1.0,0.3031838834285736,0.1826142966747284
students,0.25370386242866516,0.2713872492313385,0.23474635183811188,0.34759628772735596,0.2835792899131775,0.2676171064376831,0.25268980860710144,0.19951269030570984,0.25513339042663574,0.33422911167144775,0.18017297983169556
of,0.2480744868516922,0.37253960967063904,0.21141734719276428,0.2828550338745117,0.39081433415412903,0.5696388483047485,0.733189046382904,0.23488809168338776,1.0,0.3031838834285736,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2412198781967163,0.29295453429222107,0.40399202704429626,0.6662389636039734,1.0,0.2871673107147217,0.733189046382904,0.2802223861217499,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.21828298270702362,0.2307261973619461,0.16609783470630646,0.3201795518398285,0.263973206281662,0.21278244256973267,0.30646374821662903,0.3692660927772522,0.11887256056070328
),0.17939934134483337,0.16602720320224762,0.1855180263519287,0.18034420907497406,0.2373749315738678,0.3326910734176636,0.3456730246543884,0.10294788330793381,0.3680361211299896,0.15278303623199463,0.42300865054130554
