,how,many,outputs,are,expected,for,each,input,in,a,function,problem,?
a,0.29312583804130554,0.2872205972671509,0.207633376121521,0.265255331993103,0.309760719537735,0.44038116931915283,0.434999018907547,0.20009170472621918,0.539380669593811,1.0,0.20934805274009705,0.2605542540550232,0.23916715383529663
function,0.2214231640100479,0.15588033199310303,0.4443608224391937,0.22522267699241638,0.20972447097301483,0.22728246450424194,0.2673278748989105,0.4125753343105316,0.1448659598827362,0.20934805274009705,1.0,0.33479827642440796,0.20672395825386047
problem,0.4059199392795563,0.2891656458377838,0.26876145601272583,0.2619974911212921,0.26637083292007446,0.2661307752132416,0.19521000981330872,0.2680823802947998,0.16969570517539978,0.2605542540550232,0.33479827642440796,1.0,0.3762950301170349
is,0.22544461488723755,0.2649032473564148,0.3005733788013458,0.5330929756164551,0.20087631046772003,0.43268078565597534,0.2954041659832001,0.2170686423778534,0.5394441485404968,0.658733606338501,0.17586156725883484,0.23238427937030792,0.22961433231830597
a,0.29312583804130554,0.2872205972671509,0.207633376121521,0.265255331993103,0.309760719537735,0.44038116931915283,0.434999018907547,0.20009170472621918,0.539380669593811,1.0,0.20934805274009705,0.2605542540550232,0.23916715383529663
computational,0.3542470932006836,0.2698468267917633,0.45297476649284363,0.2675340473651886,0.3208858370780945,0.3473072648048401,0.21740178763866425,0.3868173062801361,0.2346334308385849,0.29858994483947754,0.3859413266181946,0.41473615169525146,0.21617397665977478
problem,0.4059199392795563,0.2891656458377838,0.26876145601272583,0.2619974911212921,0.26637083292007446,0.2661307752132416,0.19521000981330872,0.2680823802947998,0.16969570517539978,0.2605542540550232,0.33479827642440796,1.0,0.3762950301170349
where,0.41728174686431885,0.4338301420211792,0.27576443552970886,0.32389864325523376,0.3194408714771271,0.38599511981010437,0.3672003746032715,0.20445843040943146,0.5344807505607605,0.40997210144996643,0.1907852292060852,0.291713684797287,0.24793872237205505
a,0.29312583804130554,0.2872205972671509,0.207633376121521,0.265255331993103,0.309760719537735,0.44038116931915283,0.434999018907547,0.20009170472621918,0.539380669593811,1.0,0.20934805274009705,0.2605542540550232,0.23916715383529663
single,0.19500847160816193,0.20817208290100098,0.21803511679172516,0.2179369032382965,0.17099256813526154,0.247688427567482,0.37368544936180115,0.21091336011886597,0.23017926514148712,0.3884310722351074,0.19066008925437927,0.14734309911727905,0.2151121199131012
output,0.28654277324676514,0.1822388470172882,0.8907508850097656,0.24573048949241638,0.3481872081756592,0.23403237760066986,0.2787311375141144,0.6574379205703735,0.15088461339473724,0.17850732803344727,0.3839699625968933,0.24181972444057465,0.16760045289993286
(,0.1676948219537735,0.1455259770154953,0.1987520009279251,0.23263892531394958,0.14133912324905396,0.3357032239437103,0.17427405714988708,0.27913984656333923,0.3087427020072937,0.3206180930137634,0.25402042269706726,0.1944350153207779,0.40561532974243164
of,0.2480744868516922,0.37253960967063904,0.1748155951499939,0.39081433415412903,0.26944905519485474,0.4185989499092102,0.38460010290145874,0.13291659951210022,0.5696388483047485,0.5052502155303955,0.16667552292346954,0.20464475452899933,0.1826142966747284
a,0.29312583804130554,0.2872205972671509,0.207633376121521,0.265255331993103,0.309760719537735,0.44038116931915283,0.434999018907547,0.20009170472621918,0.539380669593811,1.0,0.20934805274009705,0.2605542540550232,0.23916715383529663
total,0.22199897468090057,0.2912171483039856,0.1814747005701065,0.2363838106393814,0.2206668257713318,0.18924455344676971,0.32807454466819763,0.17306794226169586,0.27667245268821716,0.20922091603279114,0.11704576015472412,0.12327253073453903,0.14396025240421295
function,0.2214231640100479,0.15588033199310303,0.4443608224391937,0.22522267699241638,0.20972447097301483,0.22728246450424194,0.2673278748989105,0.4125753343105316,0.1448659598827362,0.20934805274009705,1.0,0.33479827642440796,0.20672395825386047
),0.17939934134483337,0.16602720320224762,0.2044210284948349,0.2373749315738678,0.13763462007045746,0.3639558255672455,0.18692907691001892,0.30642256140708923,0.3326910734176636,0.3640355169773102,0.24718981981277466,0.20261481404304504,0.42300865054130554
is,0.22544461488723755,0.2649032473564148,0.3005733788013458,0.5330929756164551,0.20087631046772003,0.43268078565597534,0.2954041659832001,0.2170686423778534,0.5394441485404968,0.658733606338501,0.17586156725883484,0.23238427937030792,0.22961433231830597
expected,0.3996654450893402,0.29809391498565674,0.2883895933628082,0.19028612971305847,1.0000001192092896,0.29493558406829834,0.28137436509132385,0.2559634745121002,0.2959997057914734,0.309760719537735,0.20972447097301483,0.26637083292007446,0.19474582374095917
for,0.3308170735836029,0.40972793102264404,0.27169501781463623,0.3895993232727051,0.29493558406829834,0.9999999403953552,0.3044290542602539,0.2638095021247864,0.4322226941585541,0.44038116931915283,0.22728246450424194,0.2661307752132416,0.264628142118454
every,0.31805798411369324,0.3416140377521515,0.23836833238601685,0.3086106479167938,0.2893373966217041,0.35918429493904114,0.5941283702850342,0.17549589276313782,0.31953179836273193,0.43930745124816895,0.25658196210861206,0.2754577696323395,0.24066033959388733
