,where,did,the,earliest,item,in,the,v,&,a,glass,collection,come,from,?
the,0.5003893971443176,0.34736719727516174,1.0,0.32825469970703125,0.24508722126483917,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.20646950602531433,0.25281965732574463,0.36020293831825256,0.40150508284568787,0.22068053483963013
earliest,0.20763324201107025,0.23505623638629913,0.32825469970703125,1.0,0.13183161616325378,0.3064194619655609,0.32825469970703125,0.04415758326649666,0.05560802295804024,0.21276333928108215,0.17320188879966736,0.3120221495628357,0.21980896592140198,0.18898770213127136,0.139415442943573
glassware,0.26741263270378113,0.14816907048225403,0.2211626172065735,0.28343644738197327,0.3162845969200134,0.22855372726917267,0.2211626172065735,0.04675133898854256,0.1797221153974533,0.34040367603302,0.6971760392189026,0.3163294494152069,0.17033623158931732,0.18961201608181,0.16611911356449127
on,0.37630224227905273,0.2670976221561432,0.5107308030128479,0.15331754088401794,0.17866696417331696,0.46853652596473694,0.5107308030128479,0.1826705038547516,0.14816857874393463,0.3848365545272827,0.13102242350578308,0.2131180614233017,0.22001175582408905,0.36926645040512085,0.2714994251728058
display,0.1313602328300476,0.10233704000711441,0.2758708596229553,0.1754421889781952,0.2858443558216095,0.2005489468574524,0.2758708596229553,0.09313943982124329,0.06782480329275131,0.24380744993686676,0.26631978154182434,0.2803758680820465,0.10390318930149078,0.12173791974782944,0.17059175670146942
comes,0.24599599838256836,0.11348431557416916,0.32399529218673706,0.2021716833114624,0.11528736352920532,0.18555757403373718,0.32399529218673706,0.12387008965015411,0.05128590017557144,0.2963891625404358,0.08343418687582016,0.16219553351402283,0.578032374382019,0.31963786482810974,0.15980161726474762
from,0.3713873624801636,0.20248863101005554,0.40150508284568787,0.18898770213127136,0.22565551102161407,0.4274188280105591,0.40150508284568787,0.13980557024478912,0.14301162958145142,0.322764128446579,0.1566731482744217,0.2754948139190674,0.32651904225349426,1.0,0.19969791173934937
ancient,0.29684463143348694,0.14945527911186218,0.28808021545410156,0.4843014180660248,0.11351596564054489,0.27350422739982605,0.28808021545410156,0.1507517248392105,0.10821932554244995,0.2069382220506668,0.1406283676624298,0.21834081411361694,0.24366070330142975,0.22951196134090424,0.12938068807125092
egypt,0.20416465401649475,0.1887594312429428,0.2536296546459198,0.2579224109649658,0.22944417595863342,0.21889975666999817,0.2536296546459198,0.08537863940000534,0.15747129917144775,0.14361631870269775,0.18876908719539642,0.1695772409439087,0.1450212448835373,0.18771670758724213,0.17769601941108704
and,0.43859338760375977,0.34479495882987976,0.5171257257461548,0.2148319035768509,0.18348689377307892,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2681989371776581,0.2379438579082489,0.3412281572818756,0.3601827025413513,0.20544172823429108
continues,0.23521186411380768,0.2685551345348358,0.3452514410018921,0.21964217722415924,0.1694277971982956,0.27680703997612,0.3452514410018921,0.14848951995372772,0.022868694737553596,0.3001008927822113,0.14526110887527466,0.14195340871810913,0.2757515013217926,0.2543621063232422,0.13186512887477875
through,0.331196665763855,0.14190755784511566,0.44071322679519653,0.15582816302776337,0.1573711633682251,0.38533157110214233,0.44071322679519653,0.13655154407024384,0.10141949355602264,0.3399752974510193,0.2416497766971588,0.19666215777397156,0.265237957239151,0.4291878044605255,0.16913433372974396
the,0.5003893971443176,0.34736719727516174,1.0,0.32825469970703125,0.24508722126483917,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.20646950602531433,0.25281965732574463,0.36020293831825256,0.40150508284568787,0.22068053483963013
