,who,invented,a,high-pressure,steam,engine,around,1800,?
around,0.2775672674179077,0.25353026390075684,0.3187784254550934,0.2884232699871063,0.16918978095054626,0.1440555453300476,1.0,0.181332528591156,0.14729668200016022
1800,0.141702339053154,0.00039735910831950605,0.053639091551303864,0.12040320038795471,0.07006735354661942,0.06820642203092575,0.181332528591156,1.0000001192092896,0.12716752290725708
richard,0.27835920453071594,0.17056512832641602,0.243032768368721,0.12872231006622314,0.17245730757713318,0.14558422565460205,0.10364900529384613,0.007675523869693279,0.15003317594528198
trevithick,0.33277788758277893,0.36336198449134827,0.32823309302330017,0.29199308156967163,0.35976073145866394,0.25889694690704346,0.2707994282245636,0.062145672738552094,0.2125524878501892
and,0.41279885172843933,0.10205988585948944,0.3739250600337982,0.3439241945743561,0.24133789539337158,0.18437977135181427,0.34341543912887573,0.10767865180969238,0.20544172823429108
",",0.3365725874900818,0.21420055627822876,0.427140474319458,0.3143517076969147,0.2264556586742401,0.19789794087409973,0.3298884332180023,0.08221528679132462,0.31091248989105225
separately,0.22830964624881744,0.19857311248779297,0.26157084107398987,0.2554856836795807,0.22051693499088287,0.18106813728809357,0.21698860824108124,-0.02674635872244835,0.13878987729549408
",",0.3365725874900818,0.21420055627822876,0.427140474319458,0.3143517076969147,0.2264556586742401,0.19789794087409973,0.3298884332180023,0.08221528679132462,0.31091248989105225
oliver,0.2527284026145935,0.08172302693128586,0.17395614087581635,0.1804991513490677,0.08224816620349884,0.16719292104244232,0.11915136873722076,-0.01547621376812458,0.20260699093341827
evans,0.2537245452404022,0.16084903478622437,0.2125823050737381,0.13180099427700043,0.11210701614618301,0.14500479400157928,0.10394276678562164,0.002667752793058753,0.1579946130514145
in,0.2792111933231354,0.21565213799476624,0.539380669593811,0.27036017179489136,0.19852672517299652,0.18885408341884613,0.41294145584106445,0.10485468804836273,0.20430970191955566
1801,-0.020194372162222862,0.12845368683338165,0.08436637371778488,0.14359833300113678,0.12273218482732773,0.22442364692687988,0.1150282546877861,-0.01065783016383648,0.11624469608068466
introduced,0.18349657952785492,0.42407530546188354,0.2573881149291992,0.2297191172838211,0.2068471610546112,0.1675797700881958,0.17578794062137604,0.010318904183804989,0.16386865079402924
engines,0.15887244045734406,0.2091362625360489,0.20574161410331726,0.3297230005264282,0.4903687536716461,0.8767010569572449,0.17241020500659943,0.060999467968940735,0.18940703570842743
using,0.24094825983047485,0.4067314863204956,0.32226553559303284,0.2447851449251175,0.250103622674942,0.22176316380500793,0.2690593898296356,0.03526553884148598,0.2804589569568634
high-pressure,0.21241861581802368,0.19622157514095306,0.29845958948135376,1.0,0.37557870149612427,0.32135528326034546,0.2884232699871063,0.12040320038795471,0.23668110370635986
steam,0.1786653995513916,0.3178778886795044,0.2141898274421692,0.37557870149612427,1.0000001192092896,0.4921848475933075,0.16918978095054626,0.07006735354661942,0.113324373960495
;,0.007937713526189327,0.014276293106377125,-0.02122584730386734,0.05102166533470154,-0.0341496504843235,0.0016585135599598289,-0.026605552062392235,0.005397110246121883,0.10349778085947037
trevithick,0.33277788758277893,0.36336198449134827,0.32823309302330017,0.29199308156967163,0.35976073145866394,0.25889694690704346,0.2707994282245636,0.062145672738552094,0.2125524878501892
obtained,0.1461256444454193,0.1808306723833084,0.27235308289527893,0.13776321709156036,0.1121600791811943,0.1059795618057251,0.07304015755653381,0.09885133802890778,0.10347618907690048
his,0.44966956973075867,0.2044477015733719,0.3497250974178314,0.2424830049276352,0.13870766758918762,0.16806639730930328,0.2113194763660431,0.18705569207668304,0.18075084686279297
high-pressure,0.21241861581802368,0.19622157514095306,0.29845958948135376,1.0,0.37557870149612427,0.32135528326034546,0.2884232699871063,0.12040320038795471,0.23668110370635986
engine,0.1543407142162323,0.2357250154018402,0.24768835306167603,0.32135528326034546,0.4921848475933075,1.0,0.1440555453300476,0.06820642203092575,0.17739196121692657
patent,0.21797259151935577,0.49258482456207275,0.23810072243213654,0.22988653182983398,0.2789400815963745,0.3063247501850128,0.2385760396718979,0.09159166365861893,0.13298413157463074
in,0.2792111933231354,0.21565213799476624,0.539380669593811,0.27036017179489136,0.19852672517299652,0.18885408341884613,0.41294145584106445,0.10485468804836273,0.20430970191955566
1802,0.07633370161056519,0.01775341108441353,0.07242826372385025,0.15985292196273804,0.0909886509180069,0.07441574335098267,0.16778093576431274,0.2565913498401642,0.09405338019132614
.,0.3541337847709656,0.2224365919828415,0.50484299659729,0.32098421454429626,0.22855372726917267,0.21814921498298645,0.3712388277053833,0.05344419926404953,0.4130953550338745
