,who,decides,how,land,or,property,is,allowed,to,be,used,?
a,0.36608949303627014,0.2980812191963196,0.29312583804130554,0.247930645942688,0.48853766918182373,0.237611323595047,0.658733606338501,0.275193989276886,0.45503583550453186,0.39883795380592346,0.3864384889602661,0.23916715383529663
further,0.1815619170665741,0.14688178896903992,0.3163740038871765,0.19065821170806885,0.29069530963897705,0.12161258608102798,0.13372796773910522,0.26119258999824524,0.4001762866973877,0.41813594102859497,0.13153591752052307,0.20960763096809387
type,0.1257498413324356,0.10091079026460648,0.23951666057109833,0.06559000164270401,0.38183850049972534,0.217777818441391,0.3053323030471802,0.15518268942832947,0.19930607080459595,0.25716274976730347,0.30943769216537476,0.17536182701587677
of,0.2827862501144409,0.24656741321086884,0.2480744868516922,0.3057127296924591,0.3792596757411957,0.2299845814704895,0.4854315221309662,0.2699741721153259,0.41548454761505127,0.33904364705085754,0.3075267970561981,0.1826142966747284
committee,0.2034623622894287,0.24535812437534332,0.14701566100120544,0.11075925081968307,0.219742551445961,0.14377214014530182,0.1410297304391861,0.21872010827064514,0.24979650974273682,0.17965561151504517,0.17781762778759003,0.12144632637500763
is,0.24293622374534607,0.27412500977516174,0.22544461488723755,0.22457899153232574,0.41870999336242676,0.1944577693939209,1.0,0.14454121887683868,0.42745086550712585,0.4819129705429077,0.3288823366165161,0.22961433231830597
normally,0.27320173382759094,0.21384675800800323,0.3486819565296173,0.15266352891921997,0.5445803999900818,0.21018414199352264,0.39886221289634705,0.38259267807006836,0.3993734121322632,0.4979165494441986,0.4331343472003937,0.20675471425056458
set,0.19352185726165771,0.25219404697418213,0.2561637759208679,0.1505701243877411,0.19129279255867004,0.18438635766506195,0.21148966252803802,0.25276079773902893,0.320547491312027,0.19580282270908356,0.2491818517446518,0.1698019951581955
up,0.26056501269340515,0.34376129508018494,0.2819872200489044,0.22875653207302094,0.28756099939346313,0.11974146962165833,0.2853454053401947,0.2412392497062683,0.40375280380249023,0.27963516116142273,0.2526317238807678,0.1819818764925003
to,0.42656609416007996,0.42171913385391235,0.44169697165489197,0.2885280251502991,0.38921234011650085,0.26292115449905396,0.42745086550712585,0.42967355251312256,1.0,0.4972836375236511,0.40058770775794983,0.29463258385658264
scrutinise,0.3605882227420807,0.33093318343162537,0.4173053801059723,0.22126612067222595,0.3910067677497864,0.29479292035102844,0.28051045536994934,0.3560468554496765,0.4390365183353424,0.42608603835105896,0.2859535813331604,0.4245428442955017
private,0.2552628517150879,0.12891289591789246,0.08935344964265823,0.21752433478832245,0.21888144314289093,0.3199664056301117,0.1420905888080597,0.2225826382637024,0.18892748653888702,0.1834806501865387,0.18543760478496552,0.14389030635356903
bills,0.1645503044128418,0.148988738656044,0.23053446412086487,0.20905214548110962,0.266512006521225,0.2043996900320053,0.13326987624168396,0.2693731188774109,0.24257683753967285,0.2385317087173462,0.17436227202415466,0.12315891683101654
submitted,0.19082039594650269,0.18782413005828857,0.13834938406944275,0.14281153678894043,0.18752263486385345,0.15019167959690094,0.13827726244926453,0.3556153476238251,0.2779480218887329,0.24053779244422913,0.17789585888385773,0.2415507286787033
to,0.42656609416007996,0.42171913385391235,0.44169697165489197,0.2885280251502991,0.38921234011650085,0.26292115449905396,0.42745086550712585,0.42967355251312256,1.0,0.4972836375236511,0.40058770775794983,0.29463258385658264
the,0.3733934462070465,0.32573065161705017,0.33890387415885925,0.28587454557418823,0.4174870550632477,0.2061677873134613,0.5823672413825989,0.2985120713710785,0.535392165184021,0.4248143136501312,0.3718377649784088,0.22068053483963013
scottish,0.27621203660964966,0.16001413762569427,0.10600311309099197,0.13125449419021606,0.18833233416080475,0.08368939161300659,0.16398480534553528,0.15416602790355682,0.1268421709537506,0.13774465024471283,0.16287745535373688,0.06442669779062271
parliament,0.237068772315979,0.2043820470571518,0.13635116815567017,0.19114914536476135,0.209258034825325,0.18316690623760223,0.19676777720451355,0.27032536268234253,0.20290622115135193,0.1534755527973175,0.16101059317588806,0.1586504578590393
by,0.39727845788002014,0.22951313853263855,0.34370526671409607,0.2530721127986908,0.30274316668510437,0.1791124939918518,0.3899846076965332,0.24764572083950043,0.33534231781959534,0.43158695101737976,0.27705541253089905,0.17966607213020325
an,0.2848317325115204,0.18111693859100342,0.2520636022090912,0.15302860736846924,0.3096676766872406,0.1699690967798233,0.4654068350791931,0.17103645205497742,0.3138085603713989,0.33041056990623474,0.25728896260261536,0.19793890416622162
outside,0.2768247425556183,0.20453259348869324,0.2897700369358063,0.12296297401189804,0.34863367676734924,0.17480626702308655,0.2823421061038971,0.2909504473209381,0.3292369544506073,0.3016713261604309,0.28160592913627625,0.14839068055152893
