,what,are,two,factors,that,directly,effect,how,powerful,a,turing,machine,may,or,may,not,be,?
they,0.4431931674480438,0.610666811466217,0.46170496940612793,0.31145957112312317,0.5710820555686951,0.3553805649280548,0.22173674404621124,0.43247655034065247,0.28805986046791077,0.3528250455856323,0.14980727434158325,0.21257051825523376,0.3371005356311798,0.4633304476737976,0.3371005356311798,0.5804335474967957,0.4858434796333313,0.2753053903579712
are,0.29724663496017456,1.0,0.46276170015335083,0.3234047591686249,0.45265161991119385,0.322107195854187,0.20265594124794006,0.311818927526474,0.20714731514453888,0.265255331993103,0.17666763067245483,0.17000128328800201,0.3162533640861511,0.5374364256858826,0.3162533640861511,0.46186959743499756,0.5556803941726685,0.24591213464736938
all,0.41981086134910583,0.5343062281608582,0.4553687274456024,0.23859937489032745,0.53305584192276,0.3776443898677826,0.19967606663703918,0.3725806474685669,0.2298935353755951,0.2696802616119385,0.20868009328842163,0.17549708485603333,0.22570304572582245,0.3321593105792999,0.22570304572582245,0.4974499046802521,0.42151448130607605,0.29575422406196594
equally,0.3545299768447876,0.41497212648391724,0.36787331104278564,0.36414992809295654,0.4427568018436432,0.31492799520492554,0.28193598985671997,0.367428183555603,0.2573370635509491,0.26778465509414673,0.21859385073184967,0.18249867856502533,0.21395812928676605,0.3547631800174713,0.21395812928676605,0.41917747259140015,0.4442092776298523,0.22503766417503357
powerful,0.20215895771980286,0.20714731514453888,0.21976791322231293,0.12221390008926392,0.31185805797576904,0.21195997297763824,0.25193506479263306,0.20779310166835785,1.0,0.2647459805011749,0.1742451936006546,0.24198408424854279,0.13671225309371948,0.20863741636276245,0.13671225309371948,0.2257230579853058,0.23873676359653473,0.12160622328519821
in,0.30808621644973755,0.3841303884983063,0.36463531851768494,0.19490711390972137,0.435920387506485,0.25104159116744995,0.25150683522224426,0.2601168751716614,0.17873525619506836,0.539380669593811,0.26572495698928833,0.16716814041137695,0.3424151837825775,0.3586423695087433,0.3424151837825775,0.3403114080429077,0.3481820821762085,0.20430970191955566
principle,0.3569014072418213,0.19137829542160034,0.1539565771818161,0.33923768997192383,0.3780646324157715,0.27156585454940796,0.3229234218597412,0.31334149837493896,0.13516125082969666,0.1871873140335083,0.307783305644989,0.24050597846508026,0.14376607537269592,0.2552776038646698,0.14376607537269592,0.3059917986392975,0.26358863711357117,0.2002675086259842
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.20595882833003998,0.4137537479400635,0.24953341484069824,0.2150653600692749,0.22659391164779663,0.19557704031467438,0.427140474319458,0.2807261645793915,0.21841607987880707,0.5007920861244202,0.3769497275352478,0.5007920861244202,0.3769696354866028,0.39254459738731384,0.31091248989105225
but,0.5029441118240356,0.47990062832832336,0.39381086826324463,0.25585711002349854,0.7244205474853516,0.3300239145755768,0.30325666069984436,0.43101516366004944,0.2879911959171295,0.44750767946243286,0.23138876259326935,0.210704043507576,0.3862738311290741,0.4733969271183014,0.3862738311290741,0.6553761959075928,0.5764366984367371,0.27921953797340393
when,0.4700249433517456,0.29873907566070557,0.3743424117565155,0.2630941569805145,0.5860282182693481,0.35869741439819336,0.2713961899280548,0.4767928421497345,0.28011631965637207,0.44397395849227905,0.20385152101516724,0.2517889738082886,0.3167054355144501,0.417120099067688,0.3167054355144501,0.4799930453300476,0.4451393485069275,0.22841128706932068
