,what,television,trend,are,charlies,angels,and,three,'s,company,an,example,of,?
charlie,0.13311828672885895,0.245887890458107,0.16986539959907532,0.1541038155555725,0.8778875470161438,0.3455365002155304,0.17036926746368408,0.22333183884620667,0.045070353895425797,0.15629471838474274,0.1594366878271103,0.07965972274541855,0.11434363573789597,0.1200689822435379
's,0.02692362666130066,0.11021530628204346,-0.030595991760492325,-0.008927806280553341,0.0744466632604599,0.029674621298909187,0.06895173341035843,0.03946888819336891,0.9999999403953552,0.003266559913754463,0.025255560874938965,-0.045060764998197556,-0.03817026689648628,-0.023395681753754616
angels,0.164859801530838,0.2645256817340851,0.1619260460138321,0.22143590450286865,0.34836405515670776,1.0,0.23319421708583832,0.16291126608848572,0.029674621298909187,0.11643827706575394,0.17276276648044586,0.2222311645746231,0.1758749932050705,0.1420886367559433
and,0.31309178471565247,0.29514092206954956,0.24407464265823364,0.48576638102531433,0.27213606238365173,0.23319421708583832,1.0,0.3826501965522766,0.06895173341035843,0.23788511753082275,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.20544172823429108
three,0.24888746440410614,0.2175305187702179,0.09216082096099854,0.38895705342292786,0.2896002531051636,0.16291126608848572,0.3826501965522766,1.0,0.03946888819336891,0.15912514925003052,0.1749064028263092,0.2446315735578537,0.3844621181488037,0.20928427577018738
's,0.02692362666130066,0.11021530628204346,-0.030595991760492325,-0.008927806280553341,0.0744466632604599,0.029674621298909187,0.06895173341035843,0.03946888819336891,0.9999999403953552,0.003266559913754463,0.025255560874938965,-0.045060764998197556,-0.03817026689648628,-0.023395681753754616
company,0.2333769053220749,0.25623777508735657,0.18397390842437744,0.13605213165283203,0.1804385483264923,0.11643827706575394,0.23788511753082275,0.15912514925003052,0.003266559913754463,1.0,0.13791987299919128,0.17439007759094238,0.20467796921730042,0.12195809185504913
(,0.2411840260028839,0.27449095249176025,0.11877933144569397,0.23263892531394958,0.21259723603725433,0.19104628264904022,0.4862271547317505,0.2272176295518875,0.0012731997994706035,0.13179703056812286,0.286407470703125,0.23614145815372467,0.35032153129577637,0.40561532974243164
which,0.5261979103088379,0.21160198748111725,0.2863816022872925,0.42922598123550415,0.2300407737493515,0.1933121383190155,0.506277859210968,0.40919098258018494,0.03856118768453598,0.25990763306617737,0.3611921966075897,0.45943138003349304,0.5011631846427917,0.25814583897590637
debuted,0.08543460816144943,0.30273041129112244,0.25055304169654846,0.08366630971431732,0.18653377890586853,0.20827297866344452,0.17266049981117249,0.18459565937519073,0.025340793654322624,0.24551475048065186,0.19938445091247559,0.05771079659461975,0.18094587326049805,0.12089905142784119
in,0.30808621644973755,0.2689782977104187,0.19545964896678925,0.3841303884983063,0.24015597999095917,0.1486874520778656,0.4954058527946472,0.34828072786331177,-0.037580832839012146,0.22141718864440918,0.2605783939361572,0.30483278632164,0.5696388483047485,0.20430970191955566
