,which,sitcom,produced,a,spinoff,for,abc,after,ending,its,run,in,1984,?
as,0.41006597876548767,0.28111162781715393,0.2437988519668579,0.39550232887268066,0.31232771277427673,0.44774648547172546,0.2286096066236496,0.3014480769634247,0.24736341834068298,0.31874480843544006,0.21759064495563507,0.3887844979763031,0.08574230223894119,0.27043893933296204
far,0.26849839091300964,0.11841201782226562,0.12940727174282074,0.21638330817222595,0.15809443593025208,0.22081951797008514,0.0821944996714592,0.1632666438817978,0.18804027140140533,0.2760116159915924,0.23212231695652008,0.2599720060825348,0.05741536244750023,0.2170870453119278
as,0.41006597876548767,0.28111162781715393,0.2437988519668579,0.39550232887268066,0.31232771277427673,0.44774648547172546,0.2286096066236496,0.3014480769634247,0.24736341834068298,0.31874480843544006,0.21759064495563507,0.3887844979763031,0.08574230223894119,0.27043893933296204
programming,0.317421019077301,0.25540363788604736,0.3099062442779541,0.20890353620052338,0.26741600036621094,0.24722188711166382,0.3165910840034485,0.12044191360473633,0.1912895292043686,0.22158177196979523,0.30589762330055237,0.17145347595214844,-0.01223099697381258,0.22249025106430054
is,0.4457404911518097,0.16968832910060883,0.25678005814552307,0.658733606338501,0.18048785626888275,0.43268078565597534,0.16037321090698242,0.2835143506526947,0.2327672839164734,0.4447362422943115,0.20717166364192963,0.5394441485404968,0.024939756840467453,0.22961433231830597
concerned,0.30252736806869507,0.1795528084039688,0.14927156269550323,0.2346540242433548,0.18722330033779144,0.2909458875656128,0.1050947979092598,0.21432095766067505,0.20362089574337006,0.2501554489135742,0.2423788160085678,0.27584534883499146,-0.05622559040784836,0.27800148725509644
",",0.3658004403114319,0.20374301075935364,0.22260788083076477,0.427140474319458,0.33401575684547424,0.4464869201183319,0.2097204476594925,0.38860568404197693,0.2547510862350464,0.33157986402511597,0.2309936285018921,0.5201468467712402,0.1623975932598114,0.31091248989105225
four,0.37497180700302124,0.17495477199554443,0.16724449396133423,0.28236961364746094,0.18881584703922272,0.27783235907554626,0.11602456867694855,0.2891320586204529,0.24632929265499115,0.25624504685401917,0.15621820092201233,0.3085027039051056,0.036852817982435226,0.14532537758350372
of,0.5011631846427917,0.14758242666721344,0.18961067497730255,0.5052502155303955,0.2608235478401184,0.4185989499092102,0.14607268571853638,0.3867455720901489,0.26691535115242004,0.48690423369407654,0.2272813767194748,0.5696388483047485,0.018355052918195724,0.1826142966747284
abc,0.1991286277770996,0.48908531665802,0.2414293736219406,0.21331243216991425,0.34668293595314026,0.22510288655757904,1.0000001192092896,0.20314010977745056,0.21731898188591003,0.19045390188694,0.1768566370010376,0.1697147786617279,0.225337415933609,0.19065172970294952
