,when,did,barton,and,whitfield,demand,climate,research,records,?
on,0.37706470489501953,0.2670976221561432,0.11893081665039062,0.4077630043029785,0.25741681456565857,0.2564358413219452,0.23228000104427338,0.2395089864730835,0.21083123981952667,0.2714994251728058
23,0.0008026579744182527,-0.015436539426445961,-0.0005366274854168296,-0.1634809523820877,-0.024161897599697113,0.0035200275015085936,0.020063377916812897,0.023884382098913193,0.007912982255220413,0.012076443061232567
june,0.2469879388809204,0.26244688034057617,0.13824820518493652,0.2692793905735016,0.24764560163021088,0.21766656637191772,0.15275979042053223,0.18926902115345,0.13768309354782104,0.31416764855384827
2005,0.001997772604227066,0.11135691404342651,0.08941445499658585,0.05766887590289116,0.0033109565265476704,0.01123293861746788,-0.06712905317544937,-0.09782689809799194,0.10335918515920639,0.10709824413061142
",",0.36674630641937256,0.3015086054801941,0.28067484498023987,0.6633074283599854,0.3210216760635376,0.25499746203422546,0.224740669131279,0.2764695882797241,0.17940400540828705,0.31091248989105225
rep.,0.21449215710163116,0.26070496439933777,0.06399302929639816,0.17058995366096497,0.14414530992507935,0.15844090282917023,0.09090710431337357,0.2606693506240845,0.16093525290489197,0.26382210850715637
joe,0.20253486931324005,0.15040837228298187,0.22266854345798492,0.17283421754837036,0.3163279891014099,0.09607471525669098,0.0801696851849556,0.053451504558324814,0.15964899957180023,0.14875642955303192
barton,0.19177335500717163,0.2322513461112976,1.0000001192092896,0.2733054757118225,0.3821754455566406,0.0782695934176445,0.11206281930208206,0.10192124545574188,0.10640839487314224,0.11683724820613861
",",0.36674630641937256,0.3015086054801941,0.28067484498023987,0.6633074283599854,0.3210216760635376,0.25499746203422546,0.224740669131279,0.2764695882797241,0.17940400540828705,0.31091248989105225
chairman,0.1375398188829422,0.10608064383268356,0.2353188693523407,0.2024257630109787,0.22202295064926147,0.1726521998643875,0.17960642278194427,0.18523642420768738,0.14232267439365387,0.08324678242206573
of,0.3757161796092987,0.2513895630836487,0.22543998062610626,0.5116966962814331,0.12382641434669495,0.2345065176486969,0.25840428471565247,0.22573977708816528,0.17885147035121918,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.22094224393367767,0.5171257257461548,0.17659328877925873,0.27194610238075256,0.2693597674369812,0.24391183257102966,0.23809710144996643,0.22068053483963013
house,0.20097142457962036,0.19979237020015717,0.2263120859861374,0.2552875876426697,0.27538934350013733,0.15236850082874298,0.17818467319011688,0.185871422290802,0.17421048879623413,0.13736455142498016
committee,0.1912611424922943,0.19008150696754456,0.21201547980308533,0.22311176359653473,0.13868233561515808,0.1920909285545349,0.21885742247104645,0.22232021391391754,0.14241448044776917,0.12144632637500763
on,0.37706470489501953,0.2670976221561432,0.11893081665039062,0.4077630043029785,0.25741681456565857,0.2564358413219452,0.23228000104427338,0.2395089864730835,0.21083123981952667,0.2714994251728058
energy,0.24666637182235718,0.14123573899269104,0.13867828249931335,0.23934243619441986,0.06337703764438629,0.28922101855278015,0.2738046944141388,0.2667447626590729,0.17277057468891144,0.14860127866268158
and,0.4716290831565857,0.34479495882987976,0.2733054757118225,1.0,0.2908225655555725,0.3240898847579956,0.2292918860912323,0.27611881494522095,0.17576263844966888,0.20544172823429108
