,when,did,luther,return,to,wittenberg,?
luther,0.14516782760620117,0.23667675256729126,1.0,0.06525282561779022,0.18029534816741943,0.42518264055252075,0.1732746809720993
secretly,0.3775559663772583,0.2459244728088379,0.21786732971668243,0.2631343603134155,0.3320714831352234,0.2317136526107788,0.1746927946805954
returned,0.28365370631217957,0.32570260763168335,0.10188031941652298,0.6497189998626709,0.30012887716293335,0.18068605661392212,0.07695316523313522
to,0.5423505902290344,0.4452643394470215,0.18029534816741943,0.3110596537590027,1.0,0.20284001529216766,0.29463258385658264
wittenberg,0.19582515954971313,0.15746602416038513,0.42518264055252075,0.13176433742046356,0.20284001529216766,1.0000001192092896,0.15716047585010529
on,0.37706470489501953,0.2670976221561432,0.19090485572814941,0.16799497604370117,0.41031414270401,0.19844768941402435,0.2714994251728058
6,0.11803975701332092,-0.0043754540383815765,0.011732099577784538,0.09582088142633438,0.14752747118473053,-0.03733082860708237,0.045001473277807236
march,0.22895319759845734,0.27992504835128784,0.21289081871509552,0.1469397097826004,0.2274535447359085,0.20486781001091003,0.2802562415599823
1522,0.10474777966737747,0.01544138789176941,-0.11068334430456161,0.041527558118104935,0.0731317475438118,-0.16625608503818512,0.011624479666352272
.,0.475719153881073,0.35288307070732117,0.24907569587230682,0.25014954805374146,0.4645031690597534,0.30842825770378113,0.4130953550338745
