,the,abolition,of,the,ottoman,caliphate,is,believed,to,have,ended,what,system,?
this,0.6274310946464539,0.2098398655653,0.45148900151252747,0.6274310946464539,0.20257817208766937,0.19877393543720245,0.480927973985672,0.37208282947540283,0.5759071707725525,0.4660032093524933,0.28715285658836365,0.5489566326141357,0.3294329345226288,0.3155723512172699
is,0.5823672413825989,0.13286399841308594,0.4854315221309662,0.5823672413825989,0.10873822122812271,0.1373879760503769,1.0,0.25439924001693726,0.42745086550712585,0.3613572418689728,0.1630723774433136,0.28837618231773376,0.2282046526670456,0.22961433231830597
believed,0.324635773897171,0.20864321291446686,0.2945859134197235,0.324635773897171,0.11302459985017776,0.23444880545139313,0.25439924001693726,1.0,0.35322412848472595,0.37452754378318787,0.20987989008426666,0.32626157999038696,0.1806318759918213,0.17606885731220245
to,0.535392165184021,0.18772712349891663,0.41548454761505127,0.535392165184021,0.19054467976093292,0.20349650084972382,0.42745086550712585,0.35322412848472595,1.0,0.4544740617275238,0.26005783677101135,0.455847829580307,0.26662686467170715,0.29463258385658264
have,0.40389683842658997,0.13683153688907623,0.3802283704280853,0.40389683842658997,0.15345732867717743,0.17383714020252228,0.3613572418689728,0.37452754378318787,0.4544740617275238,0.9999999403953552,0.186550110578537,0.39808809757232666,0.27033093571662903,0.32991164922714233
ended,0.3356485068798065,0.25617629289627075,0.27636510133743286,0.3356485068798065,0.2433203011751175,0.19406436383724213,0.1630723774433136,0.20987989008426666,0.26005783677101135,0.186550110578537,1.0,0.1532270610332489,0.14897899329662323,0.15429291129112244
the,1.0,0.2524787187576294,0.733189046382904,1.0,0.2623080313205719,0.25527113676071167,0.5823672413825989,0.324635773897171,0.535392165184021,0.40389683842658997,0.3356485068798065,0.42745697498321533,0.3233085572719574,0.22068053483963013
true,0.19509610533714294,0.09956367313861847,0.21835467219352722,0.19509610533714294,0.09801552444696426,0.13900575041770935,0.20448307693004608,0.259298175573349,0.22534622251987457,0.27598580718040466,0.05692217871546745,0.34890216588974,0.09050802886486053,0.22515304386615753
islamic,0.27231070399284363,0.29453131556510925,0.25656506419181824,0.27231070399284363,0.43947115540504456,0.5823772549629211,0.17644661664962769,0.2757934629917145,0.1969100832939148,0.19037410616874695,0.19197405874729156,0.2204568088054657,0.17546045780181885,0.1692383587360382
system,0.3233085572719574,0.2734736502170563,0.25597915053367615,0.3233085572719574,0.157945454120636,0.18301625549793243,0.2282046526670456,0.1806318759918213,0.26662686467170715,0.27033093571662903,0.14897899329662323,0.23557309806346893,1.0000001192092896,0.15556083619594574
