,what,is,the,largest,city,the,rhine,runs,through,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.35769423842430115,1.0,0.30735138058662415,0.30832576751708984,0.44071322679519653,0.22068053483963013
biggest,0.1501782387495041,0.3216690123081207,0.3799763321876526,0.737842857837677,0.34649425745010376,0.3799763321876526,0.167947918176651,0.18271155655384064,0.15373094379901886,0.11438456177711487
city,0.17493832111358643,0.3186660706996918,0.35769423842430115,0.3647192716598511,1.0,0.35769423842430115,0.26540544629096985,0.1882292479276657,0.2258801907300949,0.13423943519592285
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.16868500411510468,0.2549738585948944,0.5107308030128479,0.20067645609378815,0.2395537942647934,0.32785001397132874,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.35769423842430115,1.0,0.30735138058662415,0.30832576751708984,0.44071322679519653,0.22068053483963013
river,0.13815869390964508,0.20670881867408752,0.2894456386566162,0.2491404414176941,0.3428632318973541,0.2894456386566162,0.3672541379928589,0.26861149072647095,0.27566906809806824,0.15390869975090027
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.1578357070684433,0.26540544629096985,0.30735138058662415,1.0,0.24514833092689514,0.23343999683856964,0.13754533231258392
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.3186660706996918,0.5823672413825989,0.15617261826992035,0.30176323652267456,0.27805060148239136,0.22961433231830597
cologne,0.13229849934577942,0.1849222332239151,0.1949973702430725,0.13780982792377472,0.2505735754966736,0.1949973702430725,0.47460702061653137,0.12194664031267166,0.11351361870765686,0.12676802277565002
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.35839709639549255,0.4933079481124878,0.167837992310524,0.22710935771465302,0.3060276508331299,0.31091248989105225
germany,0.21690446138381958,0.2201172411441803,0.3181285262107849,0.19323766231536865,0.2274949848651886,0.3181285262107849,0.5801170468330383,0.15611723065376282,0.17170296609401703,0.1388660967350006
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.16282805800437927,0.19554263353347778,0.4223487675189972,0.18184249103069305,0.14759975671768188,0.26801666617393494,0.2433311939239502
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.24042341113090515,0.2349124401807785,0.5829201340675354,0.1823403388261795,0.23921579122543335,0.3399752974510193,0.23916715383529663
population,0.2000674307346344,0.2727566361427307,0.32044094800949097,0.41943269968032837,0.4607829749584198,0.32044094800949097,0.15819542109966278,0.13888846337795258,0.15261656045913696,0.14449454843997955
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.32503411173820496,0.733189046382904,0.2548927664756775,0.22292760014533997,0.3647414743900299,0.1826142966747284
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.20770767331123352,0.12291889637708664,0.39758381247520447,0.14227862656116486,0.15385980904102325,0.2341902107000351,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.2178453952074051,0.12447118014097214,0.3227543234825134,0.15938840806484222,0.20802836120128632,0.18151995539665222,0.24917294085025787
"1,050,000",0.07383590191602707,0.07133950293064117,0.058409854769706726,0.054570142179727554,0.04749663174152374,0.058409854769706726,0.07279910892248154,0.008003413677215576,0.1435837745666504,-0.09350375831127167
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.2494339793920517,0.34653446078300476,0.36838498711586,0.16379645466804504,0.19306504726409912,0.23612326383590698,0.23739641904830933
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.29856356978416443,0.5934505462646484,0.2089352011680603,0.2379940003156662,0.3174465596675873,0.4130953550338745
