,what,tax,rate,has,a,direct,relationship,with,income,inequality,?
in,0.30808621644973755,0.20513993501663208,0.24951417744159698,0.4173259735107422,0.539380669593811,0.1965816169977188,0.20233847200870514,0.4080928862094879,0.1795814335346222,0.19402410089969635,0.20430970191955566
a,0.3320399522781372,0.23702840507030487,0.24373900890350342,0.4670248031616211,1.0,0.27544090151786804,0.25691166520118713,0.3783375024795532,0.2084353119134903,0.1783585250377655,0.23916715383529663
progressive,0.20924389362335205,0.26907187700271606,0.2211216539144516,0.210675448179245,0.2718779742717743,0.19906306266784668,0.16768231987953186,0.2187327891588211,0.22840788960456848,0.35330379009246826,0.12022990733385086
tax,0.21278929710388184,0.9999999403953552,0.33589982986450195,0.15139874815940857,0.23702840507030487,0.2701147794723511,0.16181272268295288,0.20174698531627655,0.61326003074646,0.3682924807071686,0.2097984105348587
system,0.23557309806346893,0.20841825008392334,0.23756901919841766,0.17706717550754547,0.2589043080806732,0.2532082200050354,0.1515016108751297,0.14296101033687592,0.17890077829360962,0.23671649396419525,0.15556083619594574
",",0.3087472915649414,0.140306293964386,0.18156792223453522,0.3734780251979828,0.427140474319458,0.20868940651416779,0.23936419188976288,0.4120737314224243,0.19703416526317596,0.21822890639305115,0.31091248989105225
the,0.42745697498321533,0.19507044553756714,0.24881242215633392,0.4177538752555847,0.5829201340675354,0.3262479901313782,0.21018025279045105,0.4223487675189972,0.23699946701526642,0.23508106172084808,0.22068053483963013
level,0.27376922965049744,0.25494831800460815,0.26853781938552856,0.24420753121376038,0.21346178650856018,0.11581585556268692,0.18009760975837708,0.23348768055438995,0.24777935445308685,0.24342113733291626,0.20528386533260345
of,0.33290785551071167,0.2403477430343628,0.24132871627807617,0.3909035325050354,0.5052502155303955,0.2533726394176483,0.22000651061534882,0.41827285289764404,0.2581324577331543,0.27910974621772766,0.1826142966747284
the,0.42745697498321533,0.19507044553756714,0.24881242215633392,0.4177538752555847,0.5829201340675354,0.3262479901313782,0.21018025279045105,0.4223487675189972,0.23699946701526642,0.23508106172084808,0.22068053483963013
top,0.21232028305530548,0.15296106040477753,0.17392663657665253,0.2552115321159363,0.2422690987586975,0.09979347884654999,0.06482971459627151,0.23125949501991272,0.19648851454257965,0.13098469376564026,0.17265194654464722
tax,0.21278929710388184,0.9999999403953552,0.33589982986450195,0.15139874815940857,0.23702840507030487,0.2701147794723511,0.16181272268295288,0.20174698531627655,0.61326003074646,0.3682924807071686,0.2097984105348587
rate,0.21845893561840057,0.33589982986450195,1.0000001192092896,0.18859195709228516,0.24373900890350342,0.25966936349868774,0.1286206841468811,0.12391091138124466,0.435928612947464,0.31061500310897827,0.1308269053697586
will,0.3510494530200958,0.21885080635547638,0.25261035561561584,0.3418941795825958,0.3401327431201935,0.2300918847322464,0.19562877714633942,0.33888739347457886,0.19403384625911713,0.2407531589269638,0.35046905279159546
often,0.3849453330039978,0.17076770961284637,0.23132023215293884,0.32416751980781555,0.3930865228176117,0.17732234299182892,0.22172841429710388,0.41081544756889343,0.2028384655714035,0.28257402777671814,0.23748154938220978
have,0.39808809757232666,0.2380584478378296,0.22157570719718933,0.6353569626808167,0.338716596364975,0.2788701355457306,0.2631465792655945,0.48046383261680603,0.21030287444591522,0.2617298364639282,0.32991164922714233
a,0.3320399522781372,0.23702840507030487,0.24373900890350342,0.4670248031616211,1.0,0.27544090151786804,0.25691166520118713,0.3783375024795532,0.2084353119134903,0.1783585250377655,0.23916715383529663
direct,0.26271191239356995,0.2701147794723511,0.25966936349868774,0.15923023223876953,0.27544090151786804,1.0,0.18698430061340332,0.19408144056797028,0.258579283952713,0.2488977313041687,0.18476411700248718
impact,0.25162962079048157,0.25085070729255676,0.20735208690166473,0.20220687985420227,0.24985632300376892,0.25195828080177307,0.17358238995075226,0.23490789532661438,0.25017058849334717,0.27267858386039734,0.18429921567440033
on,0.34226128458976746,0.15417660772800446,0.19178344309329987,0.34604379534721375,0.3848365545272827,0.20648783445358276,0.13926656544208527,0.40749499201774597,0.12938405573368073,0.16136983036994934,0.2714994251728058
the,0.42745697498321533,0.19507044553756714,0.24881242215633392,0.4177538752555847,0.5829201340675354,0.3262479901313782,0.21018025279045105,0.4223487675189972,0.23699946701526642,0.23508106172084808,0.22068053483963013
level,0.27376922965049744,0.25494831800460815,0.26853781938552856,0.24420753121376038,0.21346178650856018,0.11581585556268692,0.18009760975837708,0.23348768055438995,0.24777935445308685,0.24342113733291626,0.20528386533260345
of,0.33290785551071167,0.2403477430343628,0.24132871627807617,0.3909035325050354,0.5052502155303955,0.2533726394176483,0.22000651061534882,0.41827285289764404,0.2581324577331543,0.27910974621772766,0.1826142966747284
inequality,0.30072227120399475,0.3682924807071686,0.31061500310897827,0.16442200541496277,0.1783585250377655,0.2488977313041687,0.37350666522979736,0.2160445749759674,0.46967795491218567,1.0000001192092896,0.23619021475315094
within,0.2498195916414261,0.20175263285636902,0.23076383769512177,0.30466988682746887,0.3858051896095276,0.21978597342967987,0.19858920574188232,0.2915107011795044,0.23654690384864807,0.1734551042318344,0.1870293766260147
a,0.3320399522781372,0.23702840507030487,0.24373900890350342,0.4670248031616211,1.0,0.27544090151786804,0.25691166520118713,0.3783375024795532,0.2084353119134903,0.1783585250377655,0.23916715383529663
society,0.23231269419193268,0.21770979464054108,0.1955094337463379,0.11762072145938873,0.22652459144592285,0.16739308834075928,0.24379314482212067,0.1061180979013443,0.2488999217748642,0.3808777630329132,0.1373005360364914
",",0.3087472915649414,0.140306293964386,0.18156792223453522,0.3734780251979828,0.427140474319458,0.20868940651416779,0.23936419188976288,0.4120737314224243,0.19703416526317596,0.21822890639305115,0.31091248989105225
