,what,was,the,civil,disobedience,performed,at,the,test,site,?
when,0.4700249433517456,0.37326499819755554,0.5091903209686279,0.14899945259094238,0.2761690020561218,0.19703203439712524,0.38876327872276306,0.5091903209686279,0.2440095990896225,0.15652912855148315,0.22841128706932068
the,0.42745697498321533,0.48711544275283813,1.0,0.2477465271949768,0.30963727831840515,0.239950031042099,0.457212895154953,1.0,0.19235259294509888,0.288954496383667,0.22068053483963013
committee,0.18195343017578125,0.25449851155281067,0.24322165548801422,0.24035537242889404,0.27660366892814636,0.11423414200544357,0.21561488509178162,0.24322165548801422,0.11543082445859909,0.25319159030914307,0.12144632637500763
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.1685788929462433,0.23370130360126495,0.26222237944602966,0.34237727522850037,0.4739971458911896,0.2297848016023636,0.26506415009498596,0.264628142118454
non-violent,0.25295090675354004,0.25566768646240234,0.294251412153244,0.28569117188453674,0.48103633522987366,0.19242748618125916,0.21167737245559692,0.294251412153244,0.15424874424934387,0.1646028310060501,0.21288378536701202
action,0.30170392990112305,0.17610664665699005,0.28415048122406006,0.20109690725803375,0.31685182452201843,0.1627412736415863,0.1435478776693344,0.28415048122406006,0.12026163190603256,0.12618450820446014,0.250188946723938
sponsored,0.11231818050146103,0.26169130206108093,0.2539086937904358,0.10345104336738586,0.20933279395103455,0.17780286073684692,0.21387073397636414,0.2539086937904358,0.16347070038318634,0.21141646802425385,0.12262218445539474
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.21693918108940125,0.25352153182029724,0.18003734946250916,0.3095070421695709,0.5829201340675354,0.2521366477012634,0.21085289120674133,0.23916715383529663
protest,0.20248152315616608,0.274395227432251,0.25126034021377563,0.29364001750946045,0.5334797501564026,0.19700221717357635,0.21989403665065765,0.25126034021377563,0.21616433560848236,0.13595819473266602,0.1878921240568161
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.26466667652130127,0.3054615259170532,0.27994897961616516,0.4374977946281433,0.6662389636039734,0.1630522608757019,0.20704983174800873,0.20430970191955566
august,0.2305731326341629,0.42620858550071716,0.22689028084278107,0.21880744397640228,0.16296613216400146,0.15048781037330627,0.31226685643196106,0.22689028084278107,0.14591310918331146,0.17576566338539124,0.3006744682788849
1957,-0.006660523824393749,-0.17015549540519714,-0.091727614402771,-0.06485632061958313,-0.15266633033752441,-0.12505750358104706,-0.13408952951431274,-0.091727614402771,-0.1626090258359909,0.005700643174350262,-0.11977791041135788
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24795588850975037,0.2878543734550476,0.2933148443698883,0.38314947485923767,0.4933079481124878,0.17614826560020447,0.2036259025335312,0.31091248989105225
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.1977793425321579,0.1749800592660904,0.2366236299276352,1.0,0.457212895154953,0.1877070963382721,0.27583423256874084,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,1.0,0.2477465271949768,0.30963727831840515,0.239950031042099,0.457212895154953,1.0,0.19235259294509888,0.288954496383667,0.22068053483963013
camp,0.17394784092903137,0.22106777131557465,0.22520290315151215,0.11180373281240463,0.24189157783985138,0.1069081574678421,0.203860804438591,0.22520290315151215,0.10895735025405884,0.274162620306015,0.13359582424163818
mercury,0.15752404928207397,0.2121867835521698,0.2059478461742401,0.10816964507102966,0.11381227523088455,0.15247870981693268,0.2365017980337143,0.2059478461742401,0.2592344582080841,0.16178284585475922,0.10977116972208023
nuclear,0.23862333595752716,0.16506333649158478,0.23911187052726746,0.21626056730747223,0.26883620023727417,0.10180053114891052,0.1934584230184555,0.23911187052726746,0.30596083402633667,0.19558307528495789,0.1865687519311905
test,0.2596650719642639,0.13941486179828644,0.19235259294509888,0.13831187784671783,0.20443956553936005,0.22413843870162964,0.1877070963382721,0.19235259294509888,1.0000001192092896,0.17509596049785614,0.19832737743854523
site,0.21561308205127716,0.24460934102535248,0.288954496383667,0.16075068712234497,0.11523351818323135,0.13318349421024323,0.27583423256874084,0.288954496383667,0.17509596049785614,1.0000001192092896,0.2014765441417694
near,0.19414293766021729,0.1933041363954544,0.2879819869995117,0.15355485677719116,0.10289318859577179,0.12661321461200714,0.4118472635746002,0.2879819869995117,0.09245336055755615,0.24022218585014343,0.10734958201646805
las,0.09016381949186325,0.17434439063072205,0.1904275119304657,0.13129784166812897,0.11422811448574066,0.09059809893369675,0.2213706374168396,0.1904275119304657,0.10788959264755249,0.15736401081085205,0.14319516718387604
vegas,0.1308882087469101,0.20325374603271484,0.17570072412490845,0.1105508878827095,0.11949899047613144,0.14302676916122437,0.25564634799957275,0.17570072412490845,0.13348349928855896,0.16154195368289948,0.16835808753967285
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24795588850975037,0.2878543734550476,0.2933148443698883,0.38314947485923767,0.4933079481124878,0.17614826560020447,0.2036259025335312,0.31091248989105225
nevada,0.13643212616443634,0.20915456116199493,0.22916007041931152,0.18734706938266754,0.11204078793525696,0.07701724767684937,0.2543949484825134,0.22916007041931152,0.2538752853870392,0.2633602023124695,0.14885103702545166
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.24795588850975037,0.2878543734550476,0.2933148443698883,0.38314947485923767,0.4933079481124878,0.17614826560020447,0.2036259025335312,0.31091248989105225
13,-0.0796622633934021,0.020193999633193016,-0.007407139986753464,0.023861367255449295,0.06192437931895256,0.027471721172332764,-0.0434831939637661,-0.007407139986753464,0.06625034660100937,0.004713316448032856,-0.11384815722703934
