,who,was,mueller,replaced,as,associate,administrator,?
on,0.2340552806854248,0.3909217119216919,0.20331783592700958,0.2418564409017563,0.36047765612602234,0.15960651636123657,0.18246042728424072,0.2714994251728058
july,0.2606464624404907,0.40724116563796997,0.2546052038669586,0.11629732698202133,0.2291463315486908,0.17302808165550232,0.3018175959587097,0.2897891402244568
23,0.014098330400884151,-0.04668274149298668,0.019673645496368408,-0.027754660695791245,-0.09471752494573593,0.015138817019760609,0.0002075096854241565,0.012076443061232567
",",0.3365725874900818,0.45456063747406006,0.3152562379837036,0.21472671627998352,0.48816442489624023,0.27230769395828247,0.30028748512268066,0.31091248989105225
1963,-0.045281361788511276,0.0005160232540220022,-0.012559624388813972,0.021983984857797623,0.08566320687532425,-0.0032535677310079336,-0.046355411410331726,0.03411978855729103
",",0.3365725874900818,0.45456063747406006,0.3152562379837036,0.21472671627998352,0.48816442489624023,0.27230769395828247,0.30028748512268066,0.31091248989105225
webb,0.27205929160118103,0.2562257945537567,0.3302505910396576,0.13305704295635223,0.262567400932312,0.23520846664905548,0.21940287947654724,0.11173157393932343
announced,0.11685211956501007,0.34205326437950134,0.17923860251903534,0.3609418272972107,0.2025703489780426,0.19278880953788757,0.149154931306839,0.17416009306907654
mueller,0.25541362166404724,0.21837088465690613,1.0,0.1521996259689331,0.25766482949256897,0.1873054802417755,0.18323931097984314,0.1575169712305069
's,0.05599616840481758,0.008974763564765453,0.08853936195373535,-0.04029102623462677,-0.05775856226682663,-0.07350879162549973,0.00012216161121614277,-0.023395681753754616
appointment,0.26856571435928345,0.28364044427871704,0.15072083473205566,0.1872384399175644,0.30412113666534424,0.37928760051727295,0.36052122712135315,0.16662907600402832
as,0.3923053741455078,0.3677520453929901,0.25766482949256897,0.33300021290779114,1.0,0.2852577567100525,0.24365711212158203,0.27043893933296204
deputy,0.24006639420986176,0.25765955448150635,0.16557739675045013,0.2527586817741394,0.28702637553215027,0.33435049653053284,0.3770735263824463,0.08738585561513901
associate,0.26234617829322815,0.1991092562675476,0.1873054802417755,0.17847728729248047,0.2852577567100525,1.0,0.3368593752384186,0.15745846927165985
administrator,0.29738950729370117,0.26034414768218994,0.18323931097984314,0.12115614861249924,0.24365711212158203,0.3368593752384186,0.9999999403953552,0.2915230691432953
for,0.37110671401023865,0.3863949179649353,0.16679444909095764,0.1929672509431839,0.44774648547172546,0.22388826310634613,0.22280412912368774,0.264628142118454
