,what,title,do,both,doctor,who,and,the,master,share,?
the,0.42745697498321533,0.27465343475341797,0.30239659547805786,0.4931981563568115,0.2820442318916321,0.3733934462070465,0.5171257257461548,1.0,0.19769129157066345,0.249948650598526,0.22068053483963013
master,0.16430073976516724,0.21236732602119446,0.17347586154937744,0.16101165115833282,0.2937511205673218,0.3010654151439667,0.19895130395889282,0.19769129157066345,0.9999999403953552,0.13792741298675537,0.11915034055709839
is,0.28837618231773376,0.17983698844909668,0.30895981192588806,0.31409940123558044,0.19875872135162354,0.24293622374534607,0.3859752118587494,0.5823672413825989,0.16117574274539948,0.2221677452325821,0.22961433231830597
the,0.42745697498321533,0.27465343475341797,0.30239659547805786,0.4931981563568115,0.2820442318916321,0.3733934462070465,0.5171257257461548,1.0,0.19769129157066345,0.249948650598526,0.22068053483963013
doctor,0.20870667695999146,0.20280343294143677,0.18265344202518463,0.17321419715881348,0.9999999403953552,0.3504868149757385,0.21673844754695892,0.2820442318916321,0.2937511205673218,0.08300356566905975,0.1462511420249939
's,0.02692362666130066,-0.01928652636706829,-0.01994597539305687,0.03109198436141014,0.031664930284023285,0.05599616840481758,0.06895173341035843,-0.01540423184633255,0.025999123230576515,0.10465416312217712,-0.023395681753754616
archenemy,0.20195569097995758,0.16866949200630188,0.09607495367527008,0.22662821412086487,0.2224920243024826,0.3453819453716278,0.2951301336288452,0.3205271363258362,0.2226477712392807,0.09233070909976959,0.15289229154586792
",",0.3087472915649414,0.2202284336090088,0.3283645510673523,0.38080528378486633,0.20407600700855255,0.3365725874900818,0.6633074283599854,0.4933079481124878,0.21451058983802795,0.29725754261016846,0.31091248989105225
a,0.3320399522781372,0.23181948065757751,0.26237669587135315,0.3171786069869995,0.22883038222789764,0.36608949303627014,0.3739250600337982,0.5829201340675354,0.2078990340232849,0.18168987333774567,0.23916715383529663
renegade,0.16908787190914154,0.15256667137145996,0.1698543131351471,0.20061072707176208,0.1939004361629486,0.2630472779273987,0.20749309659004211,0.26798734068870544,0.2114855796098709,0.1926400512456894,0.16466641426086426
time,0.36319252848625183,0.2169196903705597,0.27283716201782227,0.30886179208755493,0.22827142477035522,0.36634087562561035,0.3025408685207367,0.43061500787734985,0.1853819340467453,0.16803762316703796,0.27391523122787476
lord,0.15077504515647888,0.2222566455602646,0.15117111802101135,0.1417819857597351,0.18648956716060638,0.25294241309165955,0.22902889549732208,0.2489406019449234,0.2418607622385025,0.13135236501693726,0.09544310718774796
who,0.40942975878715515,0.18150031566619873,0.2662210166454315,0.31663915514945984,0.3504868149757385,0.9999998807907104,0.41279885172843933,0.3733934462070465,0.3010654151439667,0.22441379725933075,0.26220351457595825
desires,0.35233137011528015,0.21421189606189728,0.26842156052589417,0.23276200890541077,0.1487763673067093,0.27459049224853516,0.24604415893554688,0.23224017024040222,0.23535718023777008,0.19228462874889374,0.3067745268344879
to,0.455847829580307,0.24913249909877777,0.38876664638519287,0.3897709250450134,0.22950075566768646,0.42656609416007996,0.48971283435821533,0.535392165184021,0.20949430763721466,0.27366065979003906,0.29463258385658264
rule,0.30539435148239136,0.20508241653442383,0.21530622243881226,0.19719597697257996,0.05726228281855583,0.31803420186042786,0.22522340714931488,0.29894936084747314,0.11295163631439209,0.12547443807125092,0.1955260932445526
the,0.42745697498321533,0.27465343475341797,0.30239659547805786,0.4931981563568115,0.2820442318916321,0.3733934462070465,0.5171257257461548,1.0,0.19769129157066345,0.249948650598526,0.22068053483963013
universe,0.2486504465341568,0.19933219254016876,0.15263399481773376,0.16090606153011322,0.2906842529773712,0.20283301174640656,0.18351790308952332,0.23688684403896332,0.19469495117664337,0.15266357362270355,0.22314924001693726
.,0.3567904531955719,0.26782113313674927,0.3613996207714081,0.42281273007392883,0.22361043095588684,0.3541337847709656,0.588965117931366,0.5934505462646484,0.16851933300495148,0.24849677085876465,0.4130953550338745
