,what,chemist,managed,to,make,enough,liquid,oxygen,to,use,for,study,?
in,0.30808621644973755,0.22143128514289856,0.28584665060043335,0.45010748505592346,0.268858402967453,0.24705477058887482,0.19967526197433472,0.1672476977109909,0.45010748505592346,0.2715643048286438,0.4322226941585541,0.2875489294528961,0.20430970191955566
1891,0.16301026940345764,0.13905814290046692,0.1733652651309967,0.12991809844970703,0.03524993360042572,0.14377062022686005,-0.0026817815378308296,0.02186286821961403,0.12991809844970703,-0.0026910477317869663,0.22634971141815186,0.03528396785259247,0.17882704734802246
scottish,0.13777151703834534,0.1917538195848465,0.19473117589950562,0.1268421709537506,0.12373443692922592,0.12498980760574341,0.11516710370779037,0.13974861800670624,0.1268421709537506,0.18392275273799896,0.15676887333393097,0.10137096792459488,0.06442669779062271
chemist,0.1775139421224594,0.9999998807907104,0.09883923083543777,0.13821417093276978,0.18100324273109436,0.1623391956090927,0.21811600029468536,0.2541825771331787,0.13821417093276978,0.11595239490270615,0.13090090453624725,0.2106700986623764,0.14970816671848297
james,0.20536290109157562,0.2057715803384781,0.10499001294374466,0.22204333543777466,0.21281811594963074,0.15169291198253632,0.08911734819412231,0.159803107380867,0.22204333543777466,0.1340511441230774,0.2054290771484375,0.16386930644512177,0.12139993160963058
dewar,0.13632149994373322,0.27545785903930664,0.11881392449140549,0.2181328684091568,0.14865733683109283,0.14162534475326538,0.27420470118522644,0.14364176988601685,0.2181328684091568,0.14630639553070068,0.28422802686691284,0.16439995169639587,0.061871692538261414
was,0.22111038863658905,0.25914710760116577,0.2671484351158142,0.3636345863342285,0.20205417275428772,0.18723952770233154,0.1491771787405014,0.16070082783699036,0.3636345863342285,0.17744606733322144,0.3863949179649353,0.18420368432998657,0.18412111699581146
able,0.3404487371444702,0.15145576000213623,0.400180846452713,0.529755175113678,0.4362586736679077,0.5570130348205566,0.25029778480529785,0.2293449342250824,0.529755175113678,0.3786222040653229,0.2947812080383301,0.15578214824199677,0.260649710893631
to,0.455847829580307,0.13821417093276978,0.29769739508628845,1.0,0.497876912355423,0.43150144815444946,0.24009785056114197,0.24193501472473145,1.0,0.47261837124824524,0.4451248347759247,0.3326032757759094,0.29463258385658264
produce,0.1685742735862732,0.16393673419952393,0.06143711879849434,0.30018290877342224,0.5219249129295349,0.29551905393600464,0.3205275535583496,0.2946869134902954,0.30018290877342224,0.419823557138443,0.24403390288352966,0.2436061054468155,0.19229066371917725
enough,0.3944990336894989,0.1623391956090927,0.229012131690979,0.43150144815444946,0.44205233454704285,1.0,0.2824100852012634,0.3534805178642273,0.43150144815444946,0.3887885510921478,0.35648372769355774,0.14722390472888947,0.3526461720466614
liquid,0.24017377197742462,0.21811600029468536,0.12750592827796936,0.24009785056114197,0.32115817070007324,0.2824100852012634,1.0,0.4322830140590668,0.24009785056114197,0.2779702842235565,0.1839100569486618,0.1686554104089737,0.18412289023399353
oxygen,0.16781960427761078,0.2541825771331787,0.11513867974281311,0.24193501472473145,0.26924630999565125,0.3534805178642273,0.4322830140590668,0.9999999403953552,0.24193501472473145,0.2547725737094879,0.22718772292137146,0.17462868988513947,0.16786395013332367
to,0.455847829580307,0.13821417093276978,0.29769739508628845,1.0,0.497876912355423,0.43150144815444946,0.24009785056114197,0.24193501472473145,1.0,0.47261837124824524,0.4451248347759247,0.3326032757759094,0.29463258385658264
study,0.3123835027217865,0.2106700986623764,0.06209571287035942,0.3326032757759094,0.2528262734413147,0.14722390472888947,0.1686554104089737,0.17462868988513947,0.3326032757759094,0.20468193292617798,0.18700449168682098,1.0,0.15902167558670044
.,0.3567904531955719,0.21494202315807343,0.2603258192539215,0.4645031690597534,0.3547073304653168,0.3491275906562805,0.2470431923866272,0.2554275095462799,0.4645031690597534,0.3711656630039215,0.4726039469242096,0.23432257771492004,0.4130953550338745
