,when,was,the,suspension,by,fifa,lifted,?
however,0.5574322938919067,0.37327632308006287,0.49814513325691223,0.20510470867156982,0.34889668226242065,0.189853236079216,0.32485318183898926,0.2152075469493866
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.1453205645084381,0.3680937886238098,0.21536333858966827,0.20780536532402039,0.31091248989105225
its,0.34032323956489563,0.3518870174884796,0.559237003326416,0.20173969864845276,0.24398943781852722,0.1568913757801056,0.2146012783050537,0.15103481709957123
dominance,0.23594610393047333,0.2191644161939621,0.3841419219970703,0.2378760427236557,0.20267850160598755,0.13420899212360382,0.22243475914001465,0.08315658569335938
has,0.34538573026657104,0.40313825011253357,0.4177538752555847,0.13353769481182098,0.3254803419113159,0.1806802749633789,0.25026044249534607,0.15994466841220856
been,0.3339833617210388,0.518218457698822,0.3563927710056305,0.18134628236293793,0.39107078313827515,0.1688098907470703,0.2893332839012146,0.24354910850524902
eroded,0.20859573781490326,0.1953451782464981,0.27606603503227234,0.2879526615142822,0.18613967299461365,0.06226825714111328,0.36048680543899536,0.1318357139825821
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.19347086548805237,1.0000001192092896,0.2314552366733551,0.2090899646282196,0.17966607213020325
wrangles,0.23889851570129395,0.22073791921138763,0.3160499334335327,0.2782341539859772,0.21204335987567902,0.12096280604600906,0.20267589390277863,0.22574099898338318
within,0.3464125096797943,0.19280311465263367,0.39827480912208557,0.1568993479013443,0.28621017932891846,0.14714831113815308,0.19215629994869232,0.1870293766260147
the,0.5091903209686279,0.48711544275283813,1.0,0.279620885848999,0.4408751428127289,0.27282437682151794,0.26200422644615173,0.22068053483963013
now,0.38253819942474365,0.35876134037971497,0.38266420364379883,0.16749873757362366,0.20949482917785645,0.12277168780565262,0.1963161826133728,0.29641881585121155
defunct,0.1323229968547821,0.20068663358688354,0.28716084361076355,0.0983651876449585,0.1762092560529709,0.19437351822853088,0.048280566930770874,0.1643490195274353
kenya,0.11853623390197754,0.17758844792842865,0.21657514572143555,0.09126913547515869,0.1010202169418335,0.2268519103527069,0.10424578934907913,0.17197901010513306
football,0.17074745893478394,0.23601193726062775,0.18794101476669312,0.11150218546390533,0.13458865880966187,0.5062945485115051,0.1895640343427658,0.14957410097122192
federation,0.17201045155525208,0.22425635159015656,0.273436576128006,0.2222777158021927,0.17241230607032776,0.27557262778282166,0.1733376383781433,0.1376609206199646
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.1453205645084381,0.3680937886238098,0.21536333858966827,0.20780536532402039,0.31091248989105225
leading,0.23494918644428253,0.27386704087257385,0.3809107840061188,0.1642545461654663,0.2575812041759491,0.21361280977725983,0.17978918552398682,0.1360926628112793
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.22713440656661987,0.33534231781959534,0.19108393788337708,0.2826937735080719,0.29463258385658264
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.24738124012947083,0.32094135880470276,0.14559882879257202,0.27001067996025085,0.23916715383529663
suspension,0.2148524671792984,0.20420148968696594,0.279620885848999,1.0000001192092896,0.19347086548805237,0.07542874664068222,0.34635835886001587,0.16699327528476715
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.19347086548805237,1.0000001192092896,0.2314552366733551,0.2090899646282196,0.17966607213020325
fifa,0.1804252564907074,0.1716075837612152,0.27282437682151794,0.07542874664068222,0.2314552366733551,1.0,0.13839417695999146,0.1907474845647812
which,0.572554349899292,0.2830964922904968,0.6521818041801453,0.2843148112297058,0.40543368458747864,0.21692626178264618,0.31083065271377563,0.25814583897590637
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.20420148968696594,0.4752357602119446,0.1716075837612152,0.2625134587287903,0.18412111699581146
lifted,0.36138206720352173,0.2625134587287903,0.26200422644615173,0.34635835886001587,0.2090899646282196,0.13839417695999146,0.9999998807907104,0.17788587510585785
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.17704683542251587,0.370934396982193,0.23472116887569427,0.1817176192998886,0.20430970191955566
march,0.22895319759845734,0.4297752380371094,0.2680487632751465,0.15507563948631287,0.20701591670513153,0.21835820376873016,0.15544165670871735,0.2802562415599823
2007,-0.1582726538181305,-0.29168957471847534,-0.23657195270061493,-0.023509318009018898,-0.14437821507453918,-0.11155269294977188,-0.18955735862255096,-0.1664225310087204
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.22476492822170258,0.3936232924461365,0.25509554147720337,0.20740054547786713,0.4130953550338745
