,along,with,the,congregation,of,christian,brothers,",",what,is,a,notable,religious,group,that,runs,fee-paying,schools,in,ireland,?
the,0.39495137333869934,0.4223487675189972,1.0,0.2882172167301178,0.733189046382904,0.19930796325206757,0.2150324583053589,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.20948168635368347,0.22950971126556396,0.30795547366142273,0.5473989248275757,0.30832576751708984,0.2727442979812622,0.22905772924423218,0.6662389636039734,0.2573983073234558,0.22068053483963013
fee-paying,0.24370288848876953,0.29280439019203186,0.2727442979812622,0.2673409879207611,0.24557237327098846,0.1713942289352417,0.15911023318767548,0.2464849054813385,0.3864109516143799,0.2023199200630188,0.2747824490070343,0.22477291524410248,0.22793498635292053,0.19002564251422882,0.42722541093826294,0.19857880473136902,1.0,0.25693243741989136,0.24017971754074097,0.23230516910552979,0.2790212333202362
schools,0.19221381843090057,0.13740696012973785,0.22905772924423218,0.34871599078178406,0.265506386756897,0.18196630477905273,0.25612398982048035,0.2760516405105591,0.1820785105228424,0.2022145688533783,0.2118925303220749,0.1942712515592575,0.3179125487804413,0.17403405904769897,0.2649109661579132,0.18934756517410278,0.25693243741989136,1.0,0.2632134258747101,0.17011353373527527,0.18349280953407288
are,0.28655800223350525,0.38996943831443787,0.40399202704429626,0.1911555528640747,0.39081433415412903,0.13086310029029846,0.20622918009757996,0.4062570035457611,0.29724663496017456,0.5330929756164551,0.265255331993103,0.2350337952375412,0.20633597671985626,0.35980498790740967,0.45265161991119385,0.22761638462543488,0.30180567502975464,0.30816179513931274,0.3841303884983063,0.15786117315292358,0.24591213464736938
usually,0.23308713734149933,0.3430865705013275,0.36782920360565186,0.23101359605789185,0.33931583166122437,0.1033591628074646,0.17566552758216858,0.21946179866790771,0.32521089911460876,0.4230746626853943,0.46690207719802856,0.13815917074680328,0.22730550169944763,0.2762543261051178,0.43660464882850647,0.22237643599510193,0.33671194314956665,0.19859975576400757,0.28848564624786377,0.1966901421546936,0.19435347616672516
run,0.20148341357707977,0.16277898848056793,0.27883726358413696,0.17567573487758636,0.2272813767194748,0.10322413593530655,0.15787096321582794,0.2309936285018921,0.2294815480709076,0.20717166364192963,0.2607046067714691,0.1677720844745636,0.0925811231136322,0.13644221425056458,0.32061445713043213,0.6555101275444031,0.2589281499385834,0.20951882004737854,0.26368704438209534,0.15179343521595,0.17904110252857208
by,0.34227433800697327,0.39731505513191223,0.4408751428127289,0.1507270336151123,0.3646814823150635,0.1705523282289505,0.3191544711589813,0.3680937886238098,0.2455483376979828,0.3899846076965332,0.32094135880470276,0.16601009666919708,0.19244135916233063,0.2915726900100708,0.37496164441108704,0.14847011864185333,0.23950378596782684,0.1415957361459732,0.370934396982193,0.15041139721870422,0.17966607213020325
a,0.24426962435245514,0.3783375024795532,0.5829201340675354,0.2073277086019516,0.5052502155303955,0.1843954622745514,0.19716104865074158,0.427140474319458,0.3320399522781372,0.658733606338501,1.0,0.21731382608413696,0.23162008821964264,0.2594761848449707,0.47537946701049805,0.23921579122543335,0.2747824490070343,0.2118925303220749,0.539380669593811,0.18418891727924347,0.23916715383529663
religious,0.1579800248146057,0.16567319631576538,0.22950971126556396,0.4961225092411041,0.2958606779575348,0.4956040382385254,0.15729942917823792,0.2753547728061676,0.26794421672821045,0.1584658920764923,0.23162008821964264,0.18504588305950165,0.9999998807907104,0.19478711485862732,0.2569219172000885,0.04682163521647453,0.22793498635292053,0.3179125487804413,0.24099457263946533,0.22855544090270996,0.15727058053016663
order,0.09137330204248428,0.16471563279628754,0.3284194767475128,0.22795645892620087,0.31287699937820435,0.08798901736736298,0.08906719833612442,0.22478096187114716,0.16634008288383484,0.19403748214244843,0.24138490855693817,0.09583305567502975,0.20387974381446838,0.2930731177330017,0.2761181890964508,0.10423629730939865,0.200376957654953,0.17616014182567596,0.24184700846672058,0.16904158890247345,0.13725648820400238
",",0.29824912548065186,0.4120737314224243,0.4933079481124878,0.2149576097726822,0.4946078956127167,0.23595517873764038,0.24914874136447906,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.31026551127433777,0.2753547728061676,0.2809832692146301,0.4137537479400635,0.22710935771465302,0.2464849054813385,0.2760516405105591,0.5201468467712402,0.24259544909000397,0.31091248989105225
i.e.,-0.10158434510231018,-0.06738202273845673,0.0029698489233851433,0.06639830768108368,0.04800353944301605,0.04035879299044609,-0.018818862736225128,0.01921485923230648,0.012638997286558151,0.005189675372093916,0.03616265580058098,0.035565879195928574,0.08635329455137253,-0.022206686437129974,-0.003975445870310068,-0.1645721048116684,-0.031065434217453003,-0.019525738433003426,0.08286412060260773,0.008826651610434055,-0.022609230130910873
",",0.29824912548065186,0.4120737314224243,0.4933079481124878,0.2149576097726822,0.4946078956127167,0.23595517873764038,0.24914874136447906,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.31026551127433777,0.2753547728061676,0.2809832692146301,0.4137537479400635,0.22710935771465302,0.2464849054813385,0.2760516405105591,0.5201468467712402,0.24259544909000397,0.31091248989105225
the,0.39495137333869934,0.4223487675189972,1.0,0.2882172167301178,0.733189046382904,0.19930796325206757,0.2150324583053589,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.20948168635368347,0.22950971126556396,0.30795547366142273,0.5473989248275757,0.30832576751708984,0.2727442979812622,0.22905772924423218,0.6662389636039734,0.2573983073234558,0.22068053483963013
society,0.0917162299156189,0.1061180979013443,0.2789285480976105,0.3018088936805725,0.23646748065948486,0.16354767978191376,0.13570758700370789,0.20629194378852844,0.23231269419193268,0.15995073318481445,0.22652459144592285,0.09155219048261642,0.284730464220047,0.2653784453868866,0.23252169787883759,0.08145763725042343,0.2021128535270691,0.27500683069229126,0.21229879558086395,0.18669308722019196,0.1373005360364914
of,0.34889817237854004,0.41827285289764404,0.733189046382904,0.28139111399650574,1.0,0.23494116961956024,0.1853860318660736,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.1985267549753189,0.2958606779575348,0.25542253255844116,0.41498205065727234,0.22292760014533997,0.24557237327098846,0.265506386756897,0.5696388483047485,0.2551186680793762,0.1826142966747284
jesus,0.07587887346744537,0.1810581088066101,0.23073002696037292,0.45260947942733765,0.21039734780788422,0.42768052220344543,0.2084791362285614,0.19633327424526215,0.307744562625885,0.18866516649723053,0.19707651436328888,0.1708517223596573,0.36564141511917114,0.11789726465940475,0.2912577986717224,0.09701076149940491,0.25646281242370605,0.1364625245332718,0.13815179467201233,0.19401893019676208,0.19975169003009796
or,0.2587498426437378,0.38158315420150757,0.4174870550632477,0.237057164311409,0.3792596757411957,0.13909734785556793,0.12436796724796295,0.3769497275352478,0.33867141604423523,0.41870999336242676,0.48853766918182373,0.2401418685913086,0.2404305636882782,0.30503612756729126,0.4729836881160736,0.23629164695739746,0.37735715508461,0.23524631559848785,0.3586423695087433,0.2324395477771759,0.32389625906944275
congregation,0.12202613055706024,0.17370855808258057,0.2882172167301178,1.0000001192092896,0.28139111399650574,0.3909984529018402,0.14838312566280365,0.2149576097726822,0.16460371017456055,0.15025809407234192,0.2073277086019516,0.08454356342554092,0.4961225092411041,0.24518267810344696,0.22610151767730713,0.17215295135974884,0.2673409879207611,0.34871599078178406,0.21616820991039276,0.21894040703773499,0.1875634491443634
of,0.34889817237854004,0.41827285289764404,0.733189046382904,0.28139111399650574,1.0,0.23494116961956024,0.1853860318660736,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.1985267549753189,0.2958606779575348,0.25542253255844116,0.41498205065727234,0.22292760014533997,0.24557237327098846,0.265506386756897,0.5696388483047485,0.2551186680793762,0.1826142966747284
christian,0.10900803655385971,0.14147578179836273,0.19930796325206757,0.3909984529018402,0.23494116961956024,1.0,0.09186981618404388,0.23595517873764038,0.17849333584308624,0.1473853588104248,0.1843954622745514,0.1835692673921585,0.4956040382385254,0.19350281357765198,0.18580004572868347,0.08328055590391159,0.1713942289352417,0.18196630477905273,0.17218929529190063,0.19380709528923035,0.1508396863937378
