,how,long,did,project,apollo,run,?
apollo,0.13699254393577576,0.12500014901161194,0.1976410299539566,0.27027878165245056,0.9999999403953552,0.13203123211860657,0.191528782248497
ran,0.15077020227909088,0.2224140465259552,0.31891340017318726,0.1286715567111969,0.161783367395401,0.5550625920295715,0.11304427683353424
from,0.22939439117908478,0.3109167516231537,0.20248863101005554,0.17965814471244812,0.14872027933597565,0.23495638370513916,0.19969791173934937
1961,0.07563319057226181,-0.020335616543889046,-0.07450946420431137,0.07071986794471741,0.10053390264511108,-0.004227463621646166,0.009729373268783092
to,0.44169697165489197,0.30218687653541565,0.4452643394470215,0.28750085830688477,0.23190522193908691,0.2691870927810669,0.29463258385658264
1972,-0.2524491846561432,-0.121771439909935,-0.09581880271434784,-0.05219770222902298,-0.08200765401124954,-0.06383179128170013,-0.13323214650154114
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.24875426292419434,0.19808128476142883,0.2309936285018921,0.31091248989105225
and,0.33647966384887695,0.3395216166973114,0.34479495882987976,0.23249590396881104,0.15251155197620392,0.2711782455444336,0.20544172823429108
was,0.16678167879581451,0.1968146562576294,0.41399896144866943,0.17915812134742737,0.2306441366672516,0.18548552691936493,0.18412111699581146
supported,0.18413317203521729,0.12755683064460754,0.3048703968524933,0.1927732527256012,0.09045872092247009,0.2684924602508545,0.11593948304653168
by,0.34370526671409607,0.17269869148731232,0.18574509024620056,0.2110227346420288,0.1803566962480545,0.1807866394519806,0.17966607213020325
the,0.33890387415885925,0.3075225353240967,0.34736719727516174,0.2027820199728012,0.2169172167778015,0.27883726358413696,0.22068053483963013
two-man,0.2570098042488098,0.12847214937210083,0.2248302847146988,0.255190908908844,0.3008404076099396,0.2243516594171524,0.2768731713294983
gemini,0.11478795111179352,0.12993060052394867,0.1480763703584671,0.33019912242889404,0.5220452547073364,0.10193978995084763,0.14296509325504303
program,0.29295584559440613,0.13413052260875702,0.18915289640426636,0.361106812953949,0.3344622850418091,0.36022239923477173,0.1440187245607376
which,0.4852597713470459,0.34186381101608276,0.2750149369239807,0.21453826129436493,0.19047300517559052,0.32898253202438354,0.25814583897590637
ran,0.15077020227909088,0.2224140465259552,0.31891340017318726,0.1286715567111969,0.161783367395401,0.5550625920295715,0.11304427683353424
concurrently,0.2565055191516876,0.18079739809036255,0.2511823773384094,0.24197259545326233,0.0675617977976799,0.31473416090011597,0.20470915734767914
with,0.3525622487068176,0.289187490940094,0.25472134351730347,0.19682161509990692,0.1249200850725174,0.16277898848056793,0.2433311939239502
it,0.36714982986450195,0.34568047523498535,0.2993364930152893,0.20858211815357208,0.18655648827552795,0.28241392970085144,0.25732165575027466
from,0.22939439117908478,0.3109167516231537,0.20248863101005554,0.17965814471244812,0.14872027933597565,0.23495638370513916,0.19969791173934937
1962,-0.059855807572603226,-0.04752646014094353,-0.08857343345880508,-0.03337012603878975,-0.018328063189983368,-0.016002237796783447,-0.008269774727523327
to,0.44169697165489197,0.30218687653541565,0.4452643394470215,0.28750085830688477,0.23190522193908691,0.2691870927810669,0.29463258385658264
1966,0.0437101274728775,0.006385599263012409,-0.07348516583442688,0.04346967488527298,0.07825193554162979,-0.018654022365808487,0.08956238627433777
.,0.3287222981452942,0.3247973620891571,0.35288307070732117,0.23938670754432678,0.22384987771511078,0.2739698588848114,0.4130953550338745
