,in,what,year,did,newcomen,'s,engine,pump,in,a,mine,?
thomas,0.21133768558502197,0.1806955188512802,0.1567562371492386,0.20728807151317596,0.15077191591262817,0.0326034352183342,0.15047331154346466,0.008246990852057934,0.21133768558502197,0.19268037378787994,0.07631206512451172,0.16133050620555878
newcomen,0.20474155247211456,0.2247587889432907,0.27687060832977295,0.26893195509910583,1.0,0.02899864688515663,0.3742743134498596,0.27542614936828613,0.20474155247211456,0.24331505596637726,0.16224347054958344,0.2543369233608246
's,-0.037580832839012146,0.02692362666130066,-0.04087831452488899,0.05069678649306297,0.02899864688515663,0.9999999403953552,0.044662050902843475,0.0777183473110199,-0.037580832839012146,0.04866964742541313,-0.01876705139875412,-0.023395681753754616
atmospheric,0.17850768566131592,0.2079145908355713,0.19990569353103638,0.1384841650724411,0.1420164257287979,-0.016899242997169495,0.2417989820241928,0.18961946666240692,0.17850768566131592,0.17021165788173676,0.11849366873502731,0.11404281854629517
engine,0.18885408341884613,0.18463268876075745,0.18775227665901184,0.1357124000787735,0.3742743134498596,0.044662050902843475,1.0,0.3582029640674591,0.18885408341884613,0.24768835306167603,0.16382412612438202,0.17739196121692657
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,0.41399896144866943,0.1923932433128357,0.008974763564765453,0.205611914396286,0.1084531843662262,0.45514053106307983,0.4508470594882965,0.2033626288175583,0.18412111699581146
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.2645798325538635,-0.01540423184633255,0.21651263535022736,0.21872945129871368,0.6662389636039734,0.5829201340675354,0.22275936603546143,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.3099139928817749,0.33691170811653137,0.22283807396888733,-0.014458609744906425,0.16088122129440308,0.1356024146080017,0.4127444326877594,0.4287874400615692,0.17299118638038635,0.18701928853988647
commercial,0.2615188956260681,0.12070754915475845,0.12610527873039246,0.17984269559383392,0.18533049523830414,0.03145602345466614,0.25091269612312317,0.15990684926509857,0.2615188956260681,0.2696971893310547,0.19631285965442657,0.04216946288943291
true,0.18334577977657318,0.34890216588974,0.12528468668460846,0.23050670325756073,0.17419591546058655,0.06421387195587158,0.0787951722741127,0.10074566304683685,0.18334577977657318,0.18508830666542053,0.1321951299905777,0.22515304386615753
steam,0.19852672517299652,0.15672586858272552,0.12807929515838623,0.19902050495147705,0.3589044511318207,0.03992457315325737,0.4921848475933075,0.47990959882736206,0.19852672517299652,0.2141898274421692,0.23542653024196625,0.113324373960495
engine,0.18885408341884613,0.18463268876075745,0.18775227665901184,0.1357124000787735,0.3742743134498596,0.044662050902843475,1.0,0.3582029640674591,0.18885408341884613,0.24768835306167603,0.16382412612438202,0.17739196121692657
using,0.2717311978340149,0.27984681725502014,0.13926532864570618,0.25429773330688477,0.1517505943775177,-0.029558077454566956,0.22176316380500793,0.2709358334541321,0.2717311978340149,0.32226553559303284,0.21107520163059235,0.2804589569568634
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.24331505596637726,0.04866964742541313,0.24768835306167603,0.25026795268058777,0.539380669593811,1.0,0.2397979497909546,0.23916715383529663
piston,0.21022552251815796,0.13301563262939453,0.13324764370918274,0.15795958042144775,0.2514341473579407,0.010737897828221321,0.4761192500591278,0.4923129379749298,0.21022552251815796,0.2788951098918915,0.13594713807106018,0.17207856476306915
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.29110631346702576,-0.0016132977325469255,0.19789794087409973,0.22363486886024475,0.5201468467712402,0.427140474319458,0.2596069574356079,0.31091248989105225
and,0.4954058527946472,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.2528444230556488,0.06895173341035843,0.18437977135181427,0.20642828941345215,0.4954058527946472,0.3739250600337982,0.15282778441905975,0.20544172823429108
was,0.45514053106307983,0.22111038863658905,0.3209837079048157,0.41399896144866943,0.1923932433128357,0.008974763564765453,0.205611914396286,0.1084531843662262,0.45514053106307983,0.4508470594882965,0.2033626288175583,0.18412111699581146
used,0.3090210556983948,0.27546408772468567,0.1307803839445114,0.30443844199180603,0.16627375781536102,0.00600846204906702,0.21100758016109467,0.2589336335659027,0.3090210556983948,0.3864384889602661,0.20855967700481415,0.22430120408535004
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.20474155247211456,-0.037580832839012146,0.18885408341884613,0.14753441512584686,1.0,0.539380669593811,0.21556489169597626,0.20430970191955566
1712,0.21861238777637482,0.11513113230466843,0.16538922488689423,0.06310781836509705,0.1428103744983673,-0.03432713821530342,0.11641373485326767,0.14698363840579987,0.21861238777637482,0.12208770960569382,0.13699322938919067,0.1953098028898239
for,0.4322226941585541,0.3017193675041199,0.29294124245643616,0.318512886762619,0.25549593567848206,-0.07241261005401611,0.17779722809791565,0.1653498113155365,0.4322226941585541,0.44038116931915283,0.18944746255874634,0.264628142118454
pumping,0.20604990422725677,0.19585782289505005,0.07095777988433838,0.12398502975702286,0.2238694727420807,0.027236297726631165,0.31430891156196594,0.6736142039299011,0.20604990422725677,0.20395612716674805,0.24290961027145386,0.19188620150089264
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.20474155247211456,-0.037580832839012146,0.18885408341884613,0.14753441512584686,1.0,0.539380669593811,0.21556489169597626,0.20430970191955566
a,0.539380669593811,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.24331505596637726,0.04866964742541313,0.24768835306167603,0.25026795268058777,0.539380669593811,1.0,0.2397979497909546,0.23916715383529663
mine,0.21556489169597626,0.27901384234428406,0.08736769109964371,0.1395113468170166,0.16224347054958344,-0.01876705139875412,0.16382412612438202,0.25144949555397034,0.21556489169597626,0.2397979497909546,1.0000001192092896,0.22904449701309204
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.2567371726036072,-0.003708066651597619,0.21814921498298645,0.2474096715450287,0.5591574311256409,0.50484299659729,0.22984492778778076,0.4130953550338745
