,as,of,february,2011,",",how,many,numbers,has,goldbach,'s,conjecture,been,proven,to,?
as,1.0,0.3886612355709076,0.2597405016422272,0.10110048204660416,0.48816442489624023,0.33782753348350525,0.4070141911506653,0.2396276444196701,0.351646363735199,0.2164699137210846,-0.05775856226682663,0.19035784900188446,0.3975982367992401,0.2509443759918213,0.42092081904411316,0.27043893933296204
of,0.3886612355709076,1.0,0.20366249978542328,0.09709474444389343,0.4946078956127167,0.2480744868516922,0.37253960967063904,0.228018656373024,0.3909035325050354,0.19600863754749298,-0.03817026689648628,0.21028703451156616,0.31685134768486023,0.20935744047164917,0.41548454761505127,0.1826142966747284
february,0.2597405016422272,0.20366249978542328,1.0,-0.041422635316848755,0.43470194935798645,0.1331711709499359,0.13121047616004944,0.10415931046009064,0.19113484025001526,0.23723934590816498,-0.056284528225660324,0.19670730829238892,0.2148434817790985,0.16577927768230438,0.20325583219528198,0.29594847559928894
2011,0.10110048204660416,0.09709474444389343,-0.041422635316848755,1.0,0.08851227909326553,0.05300373584032059,0.17145752906799316,0.12710843980312347,0.037375278770923615,-0.06998812407255173,-0.07039705663919449,0.07101189345121384,0.036697834730148315,0.05001339688897133,0.03410811722278595,0.005212190095335245
[,0.018050309270620346,0.010817250236868858,0.039724551141262054,0.060132965445518494,0.08049847930669785,0.03530287742614746,0.1508627086877823,0.04377663508057594,0.02594355121254921,0.038533952087163925,0.01083834283053875,0.0009702870156615973,0.04369209334254265,-0.06686432659626007,0.07649242132902145,0.011015460826456547
update,0.17943543195724487,0.12521608173847198,0.22868230938911438,-0.021538997069001198,0.22589418292045593,0.2694169878959656,0.18542030453681946,0.1596873551607132,0.17713303864002228,0.2005510777235031,-0.11348000913858414,0.1926717758178711,0.25504741072654724,0.15832601487636566,0.295511931180954,0.38474005460739136
],-0.03319411352276802,-0.035044461488723755,-0.07324068248271942,0.07146730273962021,-0.10209845006465912,0.06738625466823578,-0.016180947422981262,-0.021388616412878036,-0.004850034601986408,-0.0024718609638512135,-0.10493394732475281,0.053148359060287476,-0.028810862451791763,0.07956340909004211,-0.04249158129096031,-0.0022520492784678936
",",0.48816442489624023,0.4946078956127167,0.43470194935798645,0.08851227909326553,1.0000001192092896,0.22659391164779663,0.40610817074775696,0.26479464769363403,0.3734780251979828,0.3101939260959625,-0.0016132977325469255,0.2302503138780594,0.34873589873313904,0.21999844908714294,0.44245919585227966,0.31091248989105225
this,0.43993282318115234,0.45148900151252747,0.257377564907074,0.0691872388124466,0.4316047728061676,0.45272302627563477,0.43532639741897583,0.30999889969825745,0.4198763072490692,0.24787527322769165,0.02106832154095173,0.24834617972373962,0.3736515939235687,0.31715065240859985,0.5759071707725525,0.3155723512172699
conjecture,0.19035784900188446,0.21028703451156616,0.19670730829238892,0.07101189345121384,0.2302503138780594,0.26287841796875,0.20091752707958221,0.27368149161338806,0.20477525889873505,0.4831385612487793,-0.03307415544986725,1.0,0.2061055600643158,0.44340986013412476,0.17337487637996674,0.23591084778308868
