,what,other,english,towns,were,sites,of,huguenot,settlement,?
they,0.4431931674480438,0.5182796120643616,0.23481109738349915,0.21457254886627197,0.5580583214759827,0.244936004281044,0.3426007330417633,0.21709397435188293,0.19268058240413666,0.2753053903579712
also,0.42747777700424194,0.5326101183891296,0.2739046514034271,0.1913125067949295,0.31877249479293823,0.2708362638950348,0.4924938678741455,0.19632644951343536,0.14422433078289032,0.21848613023757935
settled,0.23502321541309357,0.18675661087036133,0.1571391373872757,0.3163958191871643,0.344638466835022,0.20294618606567383,0.28296858072280884,0.28613531589508057,0.6203674674034119,0.09694210439920425
elsewhere,0.40968769788742065,0.34936967492103577,0.3065105080604553,0.23522759974002838,0.2798686921596527,0.28767502307891846,0.2288905382156372,0.21755355596542358,0.24334964156150818,0.33915433287620544
in,0.30808621644973755,0.39989137649536133,0.19623121619224548,0.2862590253353119,0.3815755248069763,0.2618137300014496,0.5696388483047485,0.26198551058769226,0.26083990931510925,0.20430970191955566
kent,0.1471550464630127,0.14040730893611908,0.2696039080619812,0.2128102034330368,0.18745467066764832,0.027670592069625854,0.2205689400434494,0.22953985631465912,0.16170093417167664,0.14343582093715668
",",0.3087472915649414,0.4446498453617096,0.3339248597621918,0.29025155305862427,0.36755475401878357,0.20830219984054565,0.4946078956127167,0.24752236902713776,0.25103551149368286,0.31091248989105225
particularly,0.33027681708335876,0.4511936902999878,0.19646713137626648,0.20184500515460968,0.29172655940055847,0.3105899393558502,0.30258041620254517,0.23690475523471832,0.1747961938381195,0.2644225060939789
sandwich,0.18170912563800812,0.1708962470293045,0.195455402135849,0.14495141804218292,0.11925056576728821,0.07516521960496902,0.20262180268764496,0.13807041943073273,0.13558001816272736,0.1477418690919876
",",0.3087472915649414,0.4446498453617096,0.3339248597621918,0.29025155305862427,0.36755475401878357,0.20830219984054565,0.4946078956127167,0.24752236902713776,0.25103551149368286,0.31091248989105225
faversham,0.19143040478229523,0.14040005207061768,0.25637078285217285,0.3468094766139984,0.1902192234992981,0.16948620975017548,0.23525740206241608,0.26312655210494995,0.21932534873485565,0.17971348762512207
and,0.31309178471565247,0.5504306554794312,0.3409043252468109,0.25961095094680786,0.42175528407096863,0.25660696625709534,0.5116966962814331,0.2762077748775482,0.24081379175186157,0.20544172823429108
maidstone—towns,0.18646079301834106,0.29867300391197205,0.2790086567401886,0.6200019717216492,0.32193997502326965,0.30407479405403137,0.3507959246635437,0.33809757232666016,0.44021716713905334,0.13647261261940002
in,0.30808621644973755,0.39989137649536133,0.19623121619224548,0.2862590253353119,0.3815755248069763,0.2618137300014496,0.5696388483047485,0.26198551058769226,0.26083990931510925,0.20430970191955566
which,0.5261979103088379,0.50507652759552,0.19168700277805328,0.2139109969139099,0.2807837128639221,0.3036808371543884,0.5011631846427917,0.22239398956298828,0.21023687720298767,0.25814583897590637
there,0.35085538029670715,0.5342466235160828,0.21066930890083313,0.31258949637413025,0.4359818994998932,0.2503165006637573,0.44397735595703125,0.18001434206962585,0.2509072422981262,0.29405656456947327
used,0.27546408772468567,0.3574926257133484,0.18405529856681824,0.1362784206867218,0.27636459469795227,0.23290011286735535,0.3075267970561981,0.1293259710073471,0.14521904289722443,0.22430120408535004
to,0.455847829580307,0.4193183183670044,0.21984367072582245,0.19498857855796814,0.31913647055625916,0.2365284264087677,0.41548454761505127,0.24496324360370636,0.2762512266635895,0.29463258385658264
be,0.3929833769798279,0.4629868268966675,0.20368270576000214,0.14136402308940887,0.4064064621925354,0.21782228350639343,0.33904364705085754,0.13099677860736847,0.16629090905189514,0.3324260413646698
refugee,0.22125062346458435,0.14218923449516296,0.14655911922454834,0.2149670422077179,0.16516727209091187,0.19570255279541016,0.15047593414783478,0.26251181960105896,0.28663599491119385,0.18287397921085358
churches,0.17877253890037537,0.3005709648132324,0.17043274641036987,0.3396865427494049,0.28445062041282654,0.3084283173084259,0.29080384969711304,0.38530874252319336,0.22017841041088104,0.19824735820293427
.,0.3567904531955719,0.41511186957359314,0.2881386876106262,0.22038580477237701,0.3378238379955292,0.2081114798784256,0.5352458953857422,0.2060975730419159,0.233600914478302,0.4130953550338745
