,who,is,the,publisher,of,the,doctor,who,adventures,magazine,?
this,0.3345087468624115,0.480927973985672,0.6274310946464539,0.17630381882190704,0.45148900151252747,0.6274310946464539,0.16758373379707336,0.3345087468624115,0.061691951006650925,0.18042977154254913,0.3155723512172699
is,0.24293622374534607,1.0,0.5823672413825989,0.14548759162425995,0.4854315221309662,0.5823672413825989,0.19875872135162354,0.24293622374534607,0.12602633237838745,0.16479767858982086,0.22961433231830597
published,0.16961833834648132,0.17880885303020477,0.22017472982406616,0.6560319662094116,0.23023100197315216,0.22017472982406616,0.1912035495042801,0.16961833834648132,0.3023427724838257,0.46629855036735535,0.16280238330364227
by,0.39727845788002014,0.3899846076965332,0.4408751428127289,0.27510249614715576,0.3646814823150635,0.4408751428127289,0.13681447505950928,0.39727845788002014,0.14275753498077393,0.1424487978219986,0.17966607213020325
panini,0.22899867594242096,0.06324716657400131,0.13956433534622192,0.17167161405086517,0.10853393375873566,0.13956433534622192,0.17299678921699524,0.22899867594242096,0.1578163206577301,0.08766503632068634,0.18086564540863037
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.32065555453300476,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.17147807776927948,0.2281705141067505,0.31091248989105225
as,0.3923053741455078,0.43216490745544434,0.48381632566452026,0.1926649957895279,0.3886612355709076,0.48381632566452026,0.17422905564308167,0.3923053741455078,0.2297765165567398,0.15971580147743225,0.27043893933296204
is,0.24293622374534607,1.0,0.5823672413825989,0.14548759162425995,0.4854315221309662,0.5823672413825989,0.19875872135162354,0.24293622374534607,0.12602633237838745,0.16479767858982086,0.22961433231830597
the,0.3733934462070465,0.5823672413825989,1.0,0.1735687404870987,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.2034815400838852,0.19931171834468842,0.22068053483963013
doctor,0.3504868149757385,0.19875872135162354,0.2820442318916321,0.1704115867614746,0.16895952820777893,0.2820442318916321,0.9999999403953552,0.3504868149757385,0.283301442861557,0.17507511377334595,0.1462511420249939
who,0.9999998807907104,0.24293622374534607,0.3733934462070465,0.1661309450864792,0.2827862501144409,0.3733934462070465,0.3504868149757385,0.9999998807907104,0.2170078009366989,0.21138475835323334,0.26220351457595825
adventures,0.2170078009366989,0.12602633237838745,0.2034815400838852,0.2067217081785202,0.2105356603860855,0.2034815400838852,0.283301442861557,0.2170078009366989,1.0,0.23977984488010406,0.15214234590530396
magazine,0.21138475835323334,0.16479767858982086,0.19931171834468842,0.414677232503891,0.16736742854118347,0.19931171834468842,0.17507511377334595,0.21138475835323334,0.23977984488010406,1.0000001192092896,0.15570664405822754
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.20866940915584564,0.4185989499092102,0.4739971458911896,0.1556548923254013,0.37110671401023865,0.1875346302986145,0.1829415112733841,0.264628142118454
younger,0.42752861976623535,0.1445060670375824,0.19571860134601593,0.07278481870889664,0.23100069165229797,0.19571860134601593,0.12506848573684692,0.42752861976623535,0.21028685569763184,0.15197940170764923,0.12709127366542816
fans,0.2800639271736145,0.18379665911197662,0.2338283360004425,0.14834432303905487,0.14162687957286835,0.2338283360004425,0.1643674075603485,0.2800639271736145,0.2019227296113968,0.23757396638393402,0.09329766035079956
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.26279816031455994,0.5352458953857422,0.5934505462646484,0.22361043095588684,0.3541337847709656,0.18703678250312805,0.1843809336423874,0.4130953550338745
