,on,what,day,was,super,bowl,opening,night,held,?
the,0.5107308030128479,0.42745697498321533,0.3062323033809662,0.48711544275283813,0.21959073841571808,0.21576224267482758,0.37298497557640076,0.2817382514476776,0.32185450196266174,0.22068053483963013
game,0.22967135906219482,0.2246788740158081,0.19963723421096802,0.2568269371986389,0.3480181396007538,0.2413962334394455,0.2588692605495453,0.23222734034061432,0.172162726521492,0.1829071193933487
's,0.0026888418942689896,0.02692362666130066,0.03448042273521423,0.008974763564765453,0.09726737439632416,-0.02838491089642048,0.03635485842823982,0.023643653839826584,0.02657921425998211,-0.023395681753754616
media,0.19591841101646423,0.18292108178138733,0.06667249649763107,0.17841780185699463,0.2023422122001648,0.10416857153177261,0.11797843873500824,0.05729071423411369,0.16542178392410278,0.1571006178855896
day,0.3332281708717346,0.2990210950374603,1.0,0.24314451217651367,0.12438684701919556,0.17859336733818054,0.20668262243270874,0.41238686442375183,0.26760637760162354,0.2141837179660797
",",0.49057599902153015,0.3087472915649414,0.30821847915649414,0.45456063747406006,0.22322475910186768,0.1810409277677536,0.24495157599449158,0.24717365205287933,0.2880980372428894,0.31091248989105225
which,0.4245251417160034,0.5261979103088379,0.2760511040687561,0.2830964922904968,0.25759580731391907,0.23468568921089172,0.3592540919780731,0.24596846103668213,0.2626747488975525,0.25814583897590637
was,0.3909217119216919,0.22111038863658905,0.24314451217651367,1.0000001192092896,0.21420986950397491,0.21915455162525177,0.20817555487155914,0.21724213659763336,0.30231067538261414,0.18412111699581146
typically,0.22215910255908966,0.2460547685623169,0.1290440857410431,0.15949344635009766,0.19588299095630646,0.20918312668800354,0.21625952422618866,0.16760514676570892,0.19831152260303497,0.14485043287277222
held,0.2410694807767868,0.0974166989326477,0.26760637760162354,0.30231067538261414,0.1602509617805481,0.1913566142320633,0.29831939935684204,0.20320139825344086,1.0,0.14103956520557404
on,0.9999999403953552,0.34226128458976746,0.3332281708717346,0.3909217119216919,0.1569211632013321,0.1334993690252304,0.2229088544845581,0.28230446577072144,0.2410694807767868,0.2714994251728058
