,approximately,how,many,objects,comprise,the,museum,'s,collections,of,south,and,south-east,asian,art,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.24716724455356598,0.30294761061668396,1.0,0.24861779808998108,-0.01540423184633255,0.27174001932144165,0.733189046382904,0.3129390776157379,0.5171257257461548,0.36915671825408936,0.2710895538330078,0.20297785103321075,0.22068053483963013
museum,0.16942159831523895,0.08534817397594452,0.16926175355911255,0.15663208067417145,0.13515688478946686,0.24861779808998108,1.0000001192092896,-0.011753248050808907,0.447247713804245,0.23314370214939117,0.20254011452198029,0.21554097533226013,0.22661010921001434,0.18215787410736084,0.5128974318504333,0.14128351211547852
's,0.017990030348300934,-0.026164190843701363,0.01698932610452175,0.013840041123330593,0.014575175009667873,-0.01540423184633255,-0.011753248050808907,0.9999999403953552,0.006817140616476536,-0.03817026689648628,0.06268392503261566,0.06895173341035843,0.025410659611225128,0.08406947553157806,-0.0026162867434322834,-0.023395681753754616
collections,0.17409399151802063,0.1600850522518158,0.3478132486343384,0.39037197828292847,0.34690308570861816,0.27174001932144165,0.447247713804245,0.006817140616476536,0.9999998807907104,0.3185039758682251,0.137657031416893,0.2914140522480011,0.24735863506793976,0.20994189381599426,0.3595452308654785,0.1873358190059662
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.23814009130001068,0.37900012731552124,0.733189046382904,0.23314370214939117,-0.03817026689648628,0.3185039758682251,1.0,0.33382371068000793,0.5116966962814331,0.34269678592681885,0.24605733156204224,0.22648051381111145,0.1826142966747284
south,0.23965829610824585,0.11786635220050812,0.2319321483373642,0.11880341917276382,0.2122362107038498,0.3129390776157379,0.20254011452198029,0.06268392503261566,0.137657031416893,0.33382371068000793,1.0000001192092896,0.3140619993209839,0.7615905404090881,0.33223503828048706,0.14114420115947723,0.12336621433496475
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2794862985610962,0.24621130526065826,0.5171257257461548,0.21554097533226013,0.06895173341035843,0.2914140522480011,0.5116966962814331,0.3140619993209839,1.0,0.3241608142852783,0.20807486772537231,0.2631918787956238,0.20544172823429108
south-east,0.3457021713256836,0.2218286395072937,0.25180336833000183,0.21528828144073486,0.2743549942970276,0.36915671825408936,0.22661010921001434,0.025410659611225128,0.24735863506793976,0.34269678592681885,0.7615905404090881,0.3241608142852783,1.0,0.3661639094352722,0.21045663952827454,0.25255709886550903
asian,0.13749632239341736,0.09642928838729858,0.2485659420490265,0.17300575971603394,0.2268950492143631,0.2710895538330078,0.18215787410736084,0.08406947553157806,0.20994189381599426,0.24605733156204224,0.33223503828048706,0.20807486772537231,0.3661639094352722,0.9999999403953552,0.21324142813682556,0.10526347905397415
art,0.11824912577867508,0.17110610008239746,0.24921295046806335,0.27836379408836365,0.11422863602638245,0.20297785103321075,0.5128974318504333,-0.0026162867434322834,0.3595452308654785,0.22648051381111145,0.14114420115947723,0.2631918787956238,0.21045663952827454,0.21324142813682556,1.0,0.138971745967865
are,0.28388988971710205,0.311818927526474,0.5655534863471985,0.3614059388637543,0.3744918406009674,0.40399202704429626,0.12469582259654999,-0.008927806280553341,0.3220110833644867,0.39081433415412903,0.21281804144382477,0.48576638102531433,0.27319467067718506,0.2008780688047409,0.15355311334133148,0.24591213464736938
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.24716724455356598,0.30294761061668396,1.0,0.24861779808998108,-0.01540423184633255,0.27174001932144165,0.733189046382904,0.3129390776157379,0.5171257257461548,0.36915671825408936,0.2710895538330078,0.20297785103321075,0.22068053483963013
most,0.27906009554862976,0.311336874961853,0.6236066222190857,0.2199428677558899,0.218792125582695,0.47635307908058167,0.15799327194690704,0.024445664137601852,0.269905686378479,0.4178851246833801,0.24453285336494446,0.4309377074241638,0.26605337858200073,0.22791703045368195,0.18962311744689941,0.2107497900724411
comprehensive,0.1698753982782364,0.22440095245838165,0.2004193216562271,0.1526699662208557,0.37790149450302124,0.24314838647842407,0.21553246676921844,0.003690342651680112,0.3090156018733978,0.2892167866230011,0.16930854320526123,0.20577757060527802,0.2260245978832245,0.1743895709514618,0.2614225745201111,0.28184229135513306
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2794862985610962,0.24621130526065826,0.5171257257461548,0.21554097533226013,0.06895173341035843,0.2914140522480011,0.5116966962814331,0.3140619993209839,1.0,0.3241608142852783,0.20807486772537231,0.2631918787956238,0.20544172823429108
important,0.1353406012058258,0.3054346442222595,0.4643375277519226,0.23764613270759583,0.12846678495407104,0.39348116517066956,0.1695975959300995,-0.0359678789973259,0.24212771654129028,0.43301743268966675,0.18041245639324188,0.37549954652786255,0.19972825050354004,0.1308908760547638,0.1735275238752365,0.17812499403953552
in,0.3145860731601715,0.2601168751716614,0.41474202275276184,0.23406893014907837,0.26302969455718994,0.6662389636039734,0.2407650351524353,-0.037580832839012146,0.2719179093837738,0.5696388483047485,0.33642083406448364,0.4954058527946472,0.3717368543148041,0.18836280703544617,0.2282189577817917,0.20430970191955566
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.24716724455356598,0.30294761061668396,1.0,0.24861779808998108,-0.01540423184633255,0.27174001932144165,0.733189046382904,0.3129390776157379,0.5171257257461548,0.36915671825408936,0.2710895538330078,0.20297785103321075,0.22068053483963013
west,0.21089047193527222,0.13549664616584778,0.1819247007369995,0.08310337364673615,0.23909808695316315,0.32918402552604675,0.16574057936668396,0.05081431567668915,0.142525777220726,0.2891985774040222,0.6137221455574036,0.273951917886734,0.6210447549819946,0.2153477519750595,0.17023754119873047,0.12088293582201004
comprising,0.35883232951164246,0.12358041852712631,0.260195255279541,0.19079317152500153,0.8296661972999573,0.3166780471801758,0.16040289402008057,-0.013385751284658909,0.3726814389228821,0.4173128008842468,0.21417899429798126,0.30059969425201416,0.24417494237422943,0.2053065001964569,0.14527550339698792,0.043617378920316696
nearly,0.5179670453071594,0.23273618519306183,0.4278171956539154,0.23920415341854095,0.2840229868888855,0.3409946858882904,0.1502990871667862,0.03258245810866356,0.23678086698055267,0.3455437123775482,0.2424008697271347,0.380725234746933,0.2998165190219879,0.14164511859416962,0.18466521799564362,0.11670064926147461
"60,000",-0.11499352008104324,-0.03585689514875412,-0.17347410321235657,-0.12998610734939575,-0.21096879243850708,0.04733072593808174,-0.033921778202056885,-0.04772862046957016,-0.17029093205928802,-0.022378627210855484,0.02955451048910618,-0.023831376805901527,0.002795912092551589,-0.1625378429889679,-0.030197270214557648,0.017969369888305664
objects,0.21734820306301117,0.36155834794044495,0.28860995173454285,1.0000001192092896,0.19192834198474884,0.24716724455356598,0.15663208067417145,0.013840041123330593,0.39037197828292847,0.23814009130001068,0.11880341917276382,0.2794862985610962,0.21528828144073486,0.17300575971603394,0.27836379408836365,0.15479016304016113
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21213118731975555,0.24136890470981598,0.4933079481124878,0.20741747319698334,-0.0016132977325469255,0.2696824073791504,0.4946078956127167,0.3256652057170868,0.6633074283599854,0.3828257918357849,0.21664521098136902,0.2700960636138916,0.31091248989105225
including,0.3290342688560486,0.20270724594593048,0.6119236350059509,0.18146122992038727,0.3691959083080292,0.3738902807235718,0.21556918323040009,0.0074059427715837955,0.3948662579059601,0.44195112586021423,0.19527210295200348,0.5144438743591309,0.2570432126522064,0.26420748233795166,0.2187773436307907,0.1633303165435791
about,0.4354960322380066,0.44264400005340576,0.3800397515296936,0.20916332304477692,0.2711707353591919,0.37995871901512146,0.19708289206027985,-0.020936643704771996,0.2179010957479477,0.40939709544181824,0.25164610147476196,0.3875081241130829,0.31914472579956055,0.16116470098495483,0.18744216859340668,0.302409827709198
"10,000",-0.08985824137926102,-0.08011393249034882,-0.13516037166118622,-0.17628321051597595,-0.0971011370420456,-0.07657112926244736,-0.002772406442090869,0.021436097100377083,-0.06445752829313278,-0.024864796549081802,-0.0597953200340271,-0.05527769401669502,-0.01469599362462759,-0.11191258579492569,-0.08818835020065308,0.10342991352081299
textiles,0.24027153849601746,0.18378855288028717,0.36255353689193726,0.33857232332229614,0.20659436285495758,0.26939645409584045,0.2731649577617645,0.010513336397707462,0.3245461583137512,0.2785990536212921,0.1991497129201889,0.3158003091812134,0.32180240750312805,0.1513689011335373,0.2970336079597473,0.06833552569150925
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.2794862985610962,0.24621130526065826,0.5171257257461548,0.21554097533226013,0.06895173341035843,0.2914140522480011,0.5116966962814331,0.3140619993209839,1.0,0.3241608142852783,0.20807486772537231,0.2631918787956238,0.20544172823429108
