,what,does,the,ctenophora,use,to,swim,?
their,0.35142919421195984,0.29094186425209045,0.516537070274353,0.24688750505447388,0.3415622115135193,0.44619059562683105,0.24520879983901978,0.1898253709077835
most,0.3219912350177765,0.30044323205947876,0.47635307908058167,0.23040354251861572,0.3331718146800995,0.321603000164032,0.18311776220798492,0.2107497900724411
distinctive,0.25436970591545105,0.19526974856853485,0.2618619501590729,0.4005446135997772,0.2990395426750183,0.20251458883285522,0.1583925187587738,0.07970129698514938
feature,0.23320603370666504,0.199274480342865,0.3053930699825287,0.24518732726573944,0.3357365131378174,0.25759002566337585,0.2207861989736557,0.2893312871456146
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.20774365961551666,0.3357410430908203,0.42745086550712585,0.1920640468597412,0.22961433231830597
the,0.42745697498321533,0.35928019881248474,1.0,0.2430446892976761,0.34342584013938904,0.535392165184021,0.2316722571849823,0.22068053483963013
‘,0.16325587034225464,0.12109178304672241,0.2720426023006439,0.13618996739387512,0.1388455033302307,0.17299921810626984,0.06864939630031586,0.1448942869901657
combs,0.16265150904655457,0.15549354255199432,0.2017894983291626,0.18287192285060883,0.2571667432785034,0.17389018833637238,0.18786227703094482,0.24039559066295624
’,-0.01733604073524475,0.08878262341022491,-0.04090067744255066,-0.010908820666372776,0.023544762283563614,0.00253736088052392,0.0871630609035492,0.045561522245407104
–,0.13008765876293182,0.13794226944446564,0.2607575058937073,0.18402348458766937,0.1377696543931961,0.19410304725170135,0.12165170162916183,0.2714554965496063
groups,0.23137421905994415,0.1172703430056572,0.27790749073028564,0.28752627968788147,0.2616036832332611,0.24181967973709106,0.1257369965314865,0.14349548518657684
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.241486594080925,0.2750902473926544,0.41548454761505127,0.1506327986717224,0.1826142966747284
cilia,0.17923450469970703,0.21396709978580475,0.18933437764644623,0.5823903679847717,0.18583528697490692,0.23659655451774597,0.24502751231193542,0.15204964578151703
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.31720638275146484,0.39254313707351685,0.5345056653022766,0.2563098669052124,0.25814583897590637
they,0.4431931674480438,0.34390902519226074,0.49925389885902405,0.3040826618671417,0.39895978569984436,0.5452046394348145,0.3236228823661804,0.2753053903579712
use,0.3453877568244934,0.39963871240615845,0.34342584013938904,0.2054765224456787,1.0,0.47261837124824524,0.2431209236383438,0.32795652747154236
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.12714889645576477,0.47655582427978516,0.4451248347759247,0.1811382919549942,0.264628142118454
swimming,0.1676294207572937,0.12805837392807007,0.2695217430591583,0.2550787925720215,0.17638790607452393,0.22489437460899353,0.6322494149208069,0.10991594195365906
–,0.13008765876293182,0.13794226944446564,0.2607575058937073,0.18402348458766937,0.1377696543931961,0.19410304725170135,0.12165170162916183,0.2714554965496063
they,0.4431931674480438,0.34390902519226074,0.49925389885902405,0.3040826618671417,0.39895978569984436,0.5452046394348145,0.3236228823661804,0.2753053903579712
are,0.29724663496017456,0.3126322329044342,0.40399202704429626,0.27107423543930054,0.4174068570137024,0.3504326641559601,0.19527322053909302,0.24591213464736938
the,0.42745697498321533,0.35928019881248474,1.0,0.2430446892976761,0.34342584013938904,0.535392165184021,0.2316722571849823,0.22068053483963013
largest,0.13463157415390015,0.18477381765842438,0.3757036626338959,0.23668429255485535,0.15764375030994415,0.18687231838703156,0.08905059099197388,0.12401245534420013
animals,0.26212990283966064,0.2269369661808014,0.2939487397670746,0.4381978213787079,0.3208281993865967,0.28293174505233765,0.3173535168170929,0.16430135071277618
that,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.2257128357887268,0.3939064145088196,0.5436353087425232,0.25804808735847473,0.32716336846351624
swim,0.17765571177005768,0.19743181765079498,0.2316722571849823,0.2043388932943344,0.2431209236383438,0.3092407286167145,1.0,0.122484490275383
by,0.2455483376979828,0.143477201461792,0.4408751428127289,0.10170978307723999,0.21048003435134888,0.33534231781959534,0.10893981903791428,0.17966607213020325
means,0.2553325295448303,0.3901011645793915,0.32225894927978516,0.23704978823661804,0.33659112453460693,0.2301892638206482,0.1627572625875473,0.21233566105365753
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.241486594080925,0.2750902473926544,0.41548454761505127,0.1506327986717224,0.1826142966747284
cilia,0.17923450469970703,0.21396709978580475,0.18933437764644623,0.5823903679847717,0.18583528697490692,0.23659655451774597,0.24502751231193542,0.15204964578151703
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.24174925684928894,0.3711656630039215,0.4645031690597534,0.2804950177669525,0.4130953550338745
