,who,was,appointed,to,head,a,team,to,find,the,problems,north,america,had,regarding,manned,space,flight,?
the,0.3733934462070465,0.48711544275283813,0.2626524269580841,0.535392165184021,0.3079071640968323,0.5829201340675354,0.22564226388931274,0.535392165184021,0.2696352005004883,1.0,0.2659202516078949,0.36298373341560364,0.37090015411376953,0.3875846862792969,0.29280903935432434,0.2392944097518921,0.24495907127857208,0.2498224973678589,0.22068053483963013
problems,0.25277501344680786,0.1851695030927658,0.18222874402999878,0.28989166021347046,0.1446625143289566,0.21523453295230865,0.098353810608387,0.28989166021347046,0.29659050703048706,0.2659202516078949,1.0,0.06453061103820801,0.16768378019332886,0.29386842250823975,0.3356267511844635,0.16584967076778412,0.23476585745811462,0.1438106894493103,0.2638136148452759
with,0.3282766342163086,0.27411898970603943,0.13655053079128265,0.4239959120750427,0.2096976488828659,0.3783375024795532,0.21111343801021576,0.4239959120750427,0.24964970350265503,0.4223487675189972,0.3139011859893799,0.185934916138649,0.21664398908615112,0.4739086329936981,0.2674638032913208,0.19048453867435455,0.1992894560098648,0.12763038277626038,0.2433311939239502
north,0.11026738584041595,0.29020047187805176,0.1401587575674057,0.2743184268474579,0.15931591391563416,0.25008413195610046,0.13787305355072021,0.2743184268474579,0.12651664018630981,0.36298373341560364,0.06453061103820801,1.0,0.4837384521961212,0.18847866356372833,0.06084499508142471,0.1967613399028778,0.09438390284776688,0.18431659042835236,0.11829731613397598
american,0.3093835413455963,0.31632548570632935,0.22847925126552582,0.16338081657886505,0.12813374400138855,0.22026167809963226,0.11424583196640015,0.16338081657886505,0.16049824655056,0.24562937021255493,0.1841093897819519,0.2107747346162796,0.3915616571903229,0.20283499360084534,0.14006221294403076,0.18112444877624512,0.17944064736366272,0.1697535216808319,0.18877598643302917
were,0.3188014328479767,0.590133786201477,0.19441884756088257,0.31913647055625916,0.17579707503318787,0.17203083634376526,0.16634012758731842,0.31913647055625916,0.17437532544136047,0.3906462490558624,0.2077484428882599,0.22497540712356567,0.22683310508728027,0.6150832772254944,0.26288607716560364,0.2570171356201172,0.15497688949108124,0.1577250212430954,0.17890112102031708
severe,0.16587743163108826,0.1709052473306656,0.1289706975221634,0.24130137264728546,0.20352259278297424,0.28676658868789673,0.08233492076396942,0.24130137264728546,0.13927426934242249,0.2465558648109436,0.4107398986816406,0.13989633321762085,0.11286407709121704,0.28664901852607727,0.2083505541086197,0.17563496530056,0.10414781421422958,0.2137482911348343,0.19589418172836304
enough,0.29920142889022827,0.18723952770233154,0.10280530154705048,0.43150144815444946,0.12770605087280273,0.36969423294067383,0.10586954653263092,0.43150144815444946,0.3564949333667755,0.304282009601593,0.34964343905448914,0.1279713213443756,0.17184193432331085,0.3470923900604248,0.2511477470397949,0.1924717128276825,0.24072661995887756,0.16550326347351074,0.3526461720466614
in,0.2792111933231354,0.45514053106307983,0.23088723421096802,0.45010748505592346,0.21927717328071594,0.539380669593811,0.18841172754764557,0.45010748505592346,0.2040027230978012,0.6662389636039734,0.21061907708644867,0.39050599932670593,0.3098583221435547,0.385026752948761,0.2634240984916687,0.1528020054101944,0.17648501694202423,0.24918575584888458,0.20430970191955566
late,0.19296042621135712,0.4393066465854645,0.15920594334602356,0.25809016823768616,0.12885667383670807,0.22989967465400696,0.151384636759758,0.25809016823768616,0.1380627155303955,0.31481194496154785,0.19357097148895264,0.23832857608795166,0.3036288619041443,0.3722578287124634,0.135132297873497,0.1890779584646225,0.0906224176287651,0.13957476615905762,0.11339222639799118
