,what,was,the,result,of,the,2007,election,?
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.21787862479686737,0.41827285289764404,0.4223487675189972,-0.10512185841798782,0.13579119741916656,0.2433311939239502
international,0.10870302468538284,0.22185437381267548,0.23719607293605804,0.1253475695848465,0.23367412388324738,0.23719607293605804,-0.1164100393652916,0.09394959360361099,0.15335838496685028
criminal,0.21020962297916412,0.197371244430542,0.25219881534576416,0.12673483788967133,0.22688241302967072,0.25219881534576416,-0.17904223501682281,0.20514968037605286,0.17345646023750305
court,0.23440583050251007,0.2737988233566284,0.2812081575393677,0.13948562741279602,0.28835242986679077,0.2812081575393677,-0.25508373975753784,0.29923468828201294,0.17100423574447632
trial,0.2327587604522705,0.2414487898349762,0.20843634009361267,0.12465234845876694,0.18292099237442017,0.20843634009361267,-0.19888445734977722,0.28019967675209045,0.16902455687522888
dates,0.2078574001789093,0.23610089719295502,0.3088380992412567,0.15213750302791595,0.2547506093978882,0.3088380992412567,-0.13736815750598907,0.19742272794246674,0.2331625074148178
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25670310854911804,0.5696388483047485,0.6662389636039734,-0.2201838344335556,0.2450414001941681,0.20430970191955566
2013,-0.3886653184890747,-0.16685336828231812,-0.38509321212768555,-0.27005791664123535,-0.2904720902442932,-0.38509321212768555,0.07222895324230194,-0.11445125192403793,-0.2969330847263336
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2445775717496872,0.4185989499092102,0.4739971458911896,-0.15897968411445618,0.22673793137073517,0.264628142118454
both,0.3361809551715851,0.2990766167640686,0.4931981563568115,0.28149038553237915,0.3565710783004761,0.4931981563568115,-0.18542563915252686,0.1781088262796402,0.19455738365650177
president,0.1870913952589035,0.2505730390548706,0.24330610036849976,0.11034660786390305,0.21610750257968903,0.24330610036849976,-0.2631103992462158,0.48490437865257263,0.14148259162902832
