,how,long,does,it,take,for,the,effects,to,manifest,as,changes,to,economic,growth,?
analyses,0.24652399122714996,0.1446925401687622,0.16566573083400726,0.19430682063102722,0.22215551137924194,0.17664691805839539,0.23002441227436066,0.17605802416801453,0.2242041677236557,0.20594422519207,0.20061121881008148,0.26571422815322876,0.2242041677236557,0.2645152807235718,0.15149334073066711,0.17589309811592102
based,0.29692843556404114,0.15060380101203918,0.22036892175674438,0.304902046918869,0.13807745277881622,0.2761107087135315,0.29860720038414,0.18545107543468475,0.19629007577896118,0.1674472838640213,0.2264380156993866,0.18232843279838562,0.19629007577896118,0.22521087527275085,0.1813904345035553,0.134929820895195
on,0.32655060291290283,0.3373977243900299,0.2568802833557129,0.4529881477355957,0.27423644065856934,0.36199691891670227,0.5107308030128479,0.2429601550102234,0.41031414270401,0.18767036497592926,0.36047765612602234,0.30173325538635254,0.41031414270401,0.20757777988910675,0.11376523971557617,0.2714994251728058
comparing,0.40394729375839233,0.23641350865364075,0.2633247375488281,0.2232791632413864,0.2757791578769684,0.3360401391983032,0.27811378240585327,0.29475948214530945,0.26591500639915466,0.24048636853694916,0.32906121015548706,0.33721864223480225,0.26591500639915466,0.21681173145771027,0.2269459217786789,0.26404500007629395
yearly,0.22656600177288055,0.22128728032112122,0.21246258914470673,0.23860441148281097,0.18211022019386292,0.30041900277137756,0.3435767889022827,0.1328469216823578,0.23069515824317932,0.17945118248462677,0.17595475912094116,0.16337177157402039,0.23069515824317932,0.21319806575775146,0.24686139822006226,0.18205775320529938
equality,0.29053255915641785,0.13573412597179413,0.22799581289291382,0.16534200310707092,0.20686796307563782,0.26320788264274597,0.2277037352323532,0.23680391907691956,0.24343636631965637,0.35254353284835815,0.22893013060092926,0.1713705062866211,0.24343636631965637,0.3753475844860077,0.2416180670261383,0.19821703433990479
figures,0.22975820302963257,0.13203628361225128,0.19213521480560303,0.20137687027454376,0.1513732671737671,0.20523646473884583,0.2664589285850525,0.23500199615955353,0.21176555752754211,0.1270008236169815,0.29444578289985657,0.19370979070663452,0.21176555752754211,0.2373351901769638,0.21589508652687073,0.15584851801395416
to,0.44169697165489197,0.30218687653541565,0.4391997456550598,0.513711154460907,0.4075521230697632,0.4451248347759247,0.535392165184021,0.2419324368238449,1.0,0.21002426743507385,0.42092081904411316,0.32918253540992737,1.0,0.26856908202171326,0.2701800763607025,0.29463258385658264
yearly,0.22656600177288055,0.22128728032112122,0.21246258914470673,0.23860441148281097,0.18211022019386292,0.30041900277137756,0.3435767889022827,0.1328469216823578,0.23069515824317932,0.17945118248462677,0.17595475912094116,0.16337177157402039,0.23069515824317932,0.21319806575775146,0.24686139822006226,0.18205775320529938
growth,0.20989903807640076,0.14879955351352692,0.18474416434764862,0.2740481495857239,0.1944890171289444,0.24965375661849976,0.2912366986274719,0.2771943509578705,0.2701800763607025,0.17752933502197266,0.2124733328819275,0.2565518319606781,0.2701800763607025,0.4732155203819275,1.0000001192092896,0.07547862827777863
rates,0.28929662704467773,0.15105769038200378,0.27952635288238525,0.20320101082324982,0.20936855673789978,0.24851617217063904,0.25867342948913574,0.37442609667778015,0.25232431292533875,0.17757916450500488,0.18154078722000122,0.25984859466552734,0.25232431292533875,0.26850640773773193,0.4353044331073761,0.13808594644069672
were,0.2082374095916748,0.18442559242248535,0.046230707317590714,0.25487732887268066,0.2094898670911789,0.33592689037323,0.3906462490558624,0.18522967398166656,0.31913647055625916,0.09078032523393631,0.3025437891483307,0.17880092561244965,0.31913647055625916,0.19314044713974,0.12751753628253937,0.17890112102031708
misleading,0.320156991481781,0.21950224041938782,0.35888493061065674,0.2947774827480316,0.24220305681228638,0.3369070291519165,0.26428714394569397,0.2534216344356537,0.3551556468009949,0.22464117407798767,0.2672104239463806,0.2920481562614441,0.3551556468009949,0.2005014568567276,0.1874276101589203,0.3808867335319519
because,0.48179173469543457,0.3296152949333191,0.4424310624599457,0.4849289059638977,0.3395400643348694,0.4676002562046051,0.44596394896507263,0.3319046199321747,0.5166091918945312,0.19012680649757385,0.42073941230773926,0.3143962323665619,0.5166091918945312,0.24202382564544678,0.2663889527320862,0.2528740465641022
it,0.36714982986450195,0.34568047523498535,0.34188351035118103,0.9999999403953552,0.27032700181007385,0.32171204686164856,0.6251175999641418,0.2284449189901352,0.513711154460907,0.23836010694503784,0.4461488723754883,0.29838016629219055,0.513711154460907,0.2075573205947876,0.2740481495857239,0.25732165575027466
takes,0.2325095534324646,0.24175415933132172,0.38490039110183716,0.26257115602493286,0.6401001811027527,0.2826521694660187,0.33578023314476013,0.23705193400382996,0.29472896456718445,0.2113223522901535,0.1749710589647293,0.21262525022029877,0.29472896456718445,0.11317893862724304,0.20169678330421448,0.10935472697019577
