,in,what,kind,of,system,of,particles,are,there,no,unbalanced,iinternal,forces,?
this,0.45205554366111755,0.5489566326141357,0.4221852123737335,0.45148900151252747,0.3294329345226288,0.45148900151252747,0.3291524350643158,0.35762670636177063,0.47775381803512573,0.47783583402633667,0.41972866654396057,0.2868455648422241,0.24922366440296173,0.3155723512172699
means,0.1979396492242813,0.2553325295448303,0.3910038471221924,0.29942914843559265,0.2465360313653946,0.29942914843559265,0.24397291243076324,0.36549869179725647,0.3290526270866394,0.2990174889564514,0.2337707281112671,0.19874584674835205,0.17210298776626587,0.21233566105365753
that,0.435920387506485,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3088737428188324,0.41498205065727234,0.34902381896972656,0.45265161991119385,0.6006520986557007,0.41830796003341675,0.4464709460735321,0.24681757390499115,0.24199660122394562,0.32716336846351624
in,1.0,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.21978288888931274,0.5696388483047485,0.19249457120895386,0.3841303884983063,0.5361666083335876,0.24372287094593048,0.17655445635318756,0.26745736598968506,0.2565164566040039,0.20430970191955566
a,0.539380669593811,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2589043080806732,0.5052502155303955,0.2659933865070343,0.265255331993103,0.4214206337928772,0.26280897855758667,0.34070929884910583,0.2789473831653595,0.17848460376262665,0.23916715383529663
closed,0.21606552600860596,0.1689339131116867,0.17581437528133392,0.15899594128131866,0.24776631593704224,0.15899594128131866,0.12566329538822174,0.16469426453113556,0.2992648780345917,0.22213932871818542,0.22496558725833893,0.18521979451179504,0.15826721489429474,0.15595348179340363
system,0.21978288888931274,0.23557309806346893,0.22309651970863342,0.25597915053367615,1.0000001192092896,0.25597915053367615,0.19044268131256104,0.21917270123958588,0.19495093822479248,0.18671563267707825,0.294358491897583,0.23609976470470428,0.17889748513698578,0.15556083619594574
of,0.5696388483047485,0.33290785551071167,0.2285657674074173,1.0,0.25597915053367615,1.0,0.2280140221118927,0.39081433415412903,0.44397735595703125,0.24809792637825012,0.2506867051124573,0.298775315284729,0.3090144991874695,0.1826142966747284
particles,0.19249457120895386,0.26094838976860046,0.26188579201698303,0.2280140221118927,0.19044268131256104,0.2280140221118927,1.0,0.34996259212493896,0.2442091405391693,0.21801766753196716,0.3803975284099579,0.1767071634531021,0.3396289646625519,0.22255320847034454
",",0.5201468467712402,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18439900875091553,0.4946078956127167,0.22192497551441193,0.4062570035457611,0.4587128460407257,0.29972612857818604,0.18549475073814392,0.2808549702167511,0.2544684410095215,0.31091248989105225
there,0.5361666083335876,0.35085538029670715,0.29799365997314453,0.44397735595703125,0.19495093822479248,0.44397735595703125,0.2442091405391693,0.5433560013771057,1.0,0.40644893050193787,0.2725043296813965,0.22064077854156494,0.19712094962596893,0.29405656456947327
are,0.3841303884983063,0.29724663496017456,0.296465665102005,0.39081433415412903,0.21917270123958588,0.39081433415412903,0.34996259212493896,1.0,0.5433560013771057,0.2432553917169571,0.26916077733039856,0.21529002487659454,0.22039441764354706,0.24591213464736938
no,0.24372287094593048,0.339326947927475,0.2838113009929657,0.24809792637825012,0.18671563267707825,0.24809792637825012,0.21801766753196716,0.2432553917169571,0.40644893050193787,1.0,0.26746848225593567,0.20009037852287292,0.14628413319587708,0.32165053486824036
internal,0.20769467949867249,0.2065390944480896,0.18872638046741486,0.273920476436615,0.2739976644515991,0.273920476436615,0.19889889657497406,0.22819802165031433,0.21783411502838135,0.19523011147975922,0.35040298104286194,0.9223977327346802,0.2586841881275177,0.1665428727865219
forces,0.2565164566040039,0.2112482488155365,0.126530721783638,0.3090144991874695,0.17889748513698578,0.3090144991874695,0.3396289646625519,0.22039441764354706,0.19712094962596893,0.14628413319587708,0.26115769147872925,0.2778012454509735,1.0,0.16984491050243378
that,0.435920387506485,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3088737428188324,0.41498205065727234,0.34902381896972656,0.45265161991119385,0.6006520986557007,0.41830796003341675,0.4464709460735321,0.24681757390499115,0.24199660122394562,0.32716336846351624
are,0.3841303884983063,0.29724663496017456,0.296465665102005,0.39081433415412903,0.21917270123958588,0.39081433415412903,0.34996259212493896,1.0,0.5433560013771057,0.2432553917169571,0.26916077733039856,0.21529002487659454,0.22039441764354706,0.24591213464736938
unbalanced,0.17655445635318756,0.36308881640434265,0.33016496896743774,0.2506867051124573,0.294358491897583,0.2506867051124573,0.3803975284099579,0.26916077733039856,0.2725043296813965,0.26746848225593567,1.0000001192092896,0.31192898750305176,0.26115769147872925,0.32915836572647095
.,0.5591574311256409,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2277725487947464,0.5352458953857422,0.23612672090530396,0.3452940285205841,0.43897318840026855,0.35224834084510803,0.2605323791503906,0.2699635326862335,0.21802116930484772,0.4130953550338745
