,where,are,issues,like,abortion,and,drug,policy,legislated,on,?
the,0.5003893971443176,0.40399202704429626,0.2638932764530182,0.32912567257881165,0.1901487559080124,0.5171257257461548,0.22177673876285553,0.2358427494764328,0.2782687544822693,0.5107308030128479,0.22068053483963013
scottish,0.16515733301639557,0.15686963498592377,0.12836690247058868,0.12501730024814606,0.16027463972568512,0.2972351908683777,0.14592495560646057,0.09728797525167465,0.13261227309703827,0.14497309923171997,0.06442669779062271
parliament,0.14109039306640625,0.09480422735214233,0.186220183968544,0.16568589210510254,0.2806917130947113,0.26227831840515137,0.17280781269073486,0.30663374066352844,0.5870884656906128,0.2047569900751114,0.1586504578590393
is,0.3586711287498474,0.5330929756164551,0.17773117125034332,0.29710376262664795,0.17696097493171692,0.3859752118587494,0.1868302971124649,0.15952111780643463,0.1404632329940796,0.3635730445384979,0.22961433231830597
unable,0.30927541851997375,0.13948975503444672,0.273208886384964,0.20383509993553162,0.20060570538043976,0.2742411196231842,0.16340582072734833,0.1738751232624054,0.2230086326599121,0.24035683274269104,0.1804998219013214
to,0.47735077142715454,0.3504326641559601,0.27458062767982483,0.35482415556907654,0.21990805864334106,0.48971283435821533,0.2615036964416504,0.26804789900779724,0.21511948108673096,0.41031414270401,0.29463258385658264
legislate,0.1858031153678894,0.19854818284511566,0.33852410316467285,0.20630282163619995,0.31642401218414307,0.2602018713951111,0.20066194236278534,0.3930404782295227,0.9229946732521057,0.21477140486240387,0.24869191646575928
on,0.37630224227905273,0.268924742937088,0.2723107933998108,0.3318610191345215,0.21034489572048187,0.4077630043029785,0.1748170703649521,0.2777305543422699,0.18646009266376495,0.9999999403953552,0.2714994251728058
such,0.3198639750480652,0.4654397666454315,0.2208937108516693,0.5378953218460083,0.19013328850269318,0.44540345668792725,0.21693548560142517,0.18322822451591492,0.1945773959159851,0.3181164264678955,0.17851735651493073
issues,0.19282740354537964,0.2136288285255432,1.0,0.20611195266246796,0.3091696500778198,0.2817770540714264,0.198393315076828,0.4348756968975067,0.3166583776473999,0.2723107933998108,0.320565789937973
that,0.4876193106174469,0.45265161991119385,0.326042115688324,0.5397313237190247,0.2741369307041168,0.4731321930885315,0.24784554541110992,0.34090733528137207,0.25840699672698975,0.42569106817245483,0.32716336846351624
are,0.32389864325523376,1.0,0.2136288285255432,0.4686352014541626,0.24256646633148193,0.48576638102531433,0.18132726848125458,0.160745769739151,0.18257518112659454,0.268924742937088,0.24591213464736938
reserved,0.19266849756240845,0.22219422459602356,0.13999664783477783,0.19139929115772247,0.14118428528308868,0.19763082265853882,0.05349276214838028,0.21089020371437073,0.26786547899246216,0.1498943418264389,0.1177138090133667
to,0.47735077142715454,0.3504326641559601,0.27458062767982483,0.35482415556907654,0.21990805864334106,0.48971283435821533,0.2615036964416504,0.26804789900779724,0.21511948108673096,0.41031414270401,0.29463258385658264
",",0.3149496018886566,0.4062570035457611,0.2560703754425049,0.4085598886013031,0.19684121012687683,0.6633074283599854,0.1941215842962265,0.2903050184249878,0.2547365128993988,0.49057599902153015,0.31091248989105225
and,0.43859338760375977,0.48576638102531433,0.2817770540714264,0.46997135877609253,0.17692211270332336,1.0,0.23028631508350372,0.2148873209953308,0.2737967073917389,0.4077630043029785,0.20544172823429108
dealt,0.2665649652481079,0.22751621901988983,0.4352542757987976,0.2701024115085602,0.20734477043151855,0.24801099300384521,0.2603687047958374,0.3204948306083679,0.2713265120983124,0.25009170174598694,0.3251160979270935
