,what,kind,of,water,body,is,rumored,to,be,obscuring,genghis,khan,'s,burial,site,?
folklore,0.2009405791759491,0.17808373272418976,0.28353768587112427,0.1972399652004242,0.19024120271205902,0.2800338864326477,0.22794055938720703,0.18812407553195953,0.18115167319774628,0.33502939343452454,0.26245102286338806,0.03599037230014801,0.10589122027158737,0.21507534384727478,0.150969997048378,0.1787348985671997
says,0.43107321858406067,0.2983872890472412,0.29148387908935547,0.22708673775196075,0.18322403728961945,0.3092086911201477,0.2934291362762451,0.31942060589790344,0.2873125374317169,0.17429611086845398,0.16727732121944427,0.08824360370635986,-0.06714938580989838,0.13132227957248688,0.1639246791601181,0.2869862914085388
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.3326379060745239,0.32291916012763977,0.3995479643344879,0.33852246403694153,0.5436353087425232,0.6036020517349243,0.3832613527774811,0.21352417767047882,0.14077997207641602,0.04397977516055107,0.22629106044769287,0.19933675229549408,0.32716336846351624
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2979097068309784,0.26263290643692017,0.658733606338501,0.2642684876918793,0.45503583550453186,0.39883795380592346,0.30180150270462036,0.194350928068161,0.1743650734424591,0.04866964742541313,0.1811772882938385,0.21085289120674133,0.23916715383529663
river,0.13815869390964508,0.10332924127578735,0.19903257489204407,0.40245044231414795,0.13665254414081573,0.20670881867408752,0.13789919018745422,0.13636653125286102,0.10146314650774002,0.1499011069536209,0.29427242279052734,0.16848056018352509,-0.03599277883768082,0.1240411251783371,0.14744949340820312,0.15390869975090027
was,0.22111038863658905,0.1604125201702118,0.4069072902202606,0.18750394880771637,0.19372783601284027,0.5810302495956421,0.4059232473373413,0.3636345863342285,0.42228707671165466,0.25106021761894226,0.3037589192390442,0.23483267426490784,0.008974763564765453,0.21821482479572296,0.24460934102535248,0.18412111699581146
diverted,0.15211139619350433,0.10495097190141678,0.27397313714027405,0.35389941930770874,0.2560470700263977,0.16201235353946686,0.309424489736557,0.2756052613258362,0.2081296741962433,0.2402818202972412,0.2413753867149353,0.2021699994802475,-0.05739545449614525,0.20042003691196442,0.1420823186635971,0.03732670471072197
over,0.28007611632347107,0.1785270869731903,0.36136594414711,0.27395159006118774,0.2204807549715042,0.2159561663866043,0.20558738708496094,0.38635820150375366,0.27136483788490295,0.3086107075214386,0.2570053040981293,0.12129305303096771,0.016215575858950615,0.17662924528121948,0.18573054671287537,0.25742942094802856
his,0.26976513862609863,0.18263587355613708,0.38364991545677185,0.1462479829788208,0.2533397674560547,0.24372583627700806,0.3789409399032593,0.3715193271636963,0.21738691627979279,0.32115039229393005,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.2313334345817566,0.15587002038955688,0.18075084686279297
grave,0.19387894868850708,0.14773955941200256,0.16525816917419434,0.0943046510219574,0.2611719071865082,0.14448852837085724,0.22604438662528992,0.18462027609348297,0.10697538405656815,0.21757516264915466,0.24420137703418732,0.1328037530183792,0.06285359710454941,0.5689548254013062,0.3544329106807709,0.2043718844652176
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.27858173847198486,0.307265043258667,0.42745086550712585,0.22016596794128418,1.0,0.4972836375236511,0.30329182744026184,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.19511598348617554,0.2310456782579422,0.29463258385658264
make,0.3792211413383484,0.34526747465133667,0.2912110388278961,0.28603053092956543,0.25545647740364075,0.3331545889377594,0.15531282126903534,0.497876912355423,0.4759829044342041,0.30704817175865173,0.12208845466375351,0.14075464010238647,0.09622383862733841,0.1040073037147522,0.20175381004810333,0.28314751386642456
it,0.45803478360176086,0.2979188859462738,0.38761502504348755,0.31979092955589294,0.281975656747818,0.6328473687171936,0.19718192517757416,0.513711154460907,0.5203388929367065,0.2778988480567932,0.2149120718240738,0.13704395294189453,0.06608816236257553,0.16233022511005402,0.25816595554351807,0.25732165575027466
impossible,0.38707461953163147,0.2715694308280945,0.2370135635137558,0.18693730235099792,0.13094687461853027,0.23904062807559967,0.25738537311553955,0.4282679557800293,0.3209625780582428,0.39461007714271545,0.12056838721036911,0.1206897422671318,0.10702382028102875,0.11468721926212311,0.15894165635108948,0.2244972586631775
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.27858173847198486,0.307265043258667,0.42745086550712585,0.22016596794128418,1.0,0.4972836375236511,0.30329182744026184,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.19511598348617554,0.2310456782579422,0.29463258385658264
find,0.3539876639842987,0.2733346223831177,0.2276865392923355,0.19672924280166626,0.18353933095932007,0.25691378116607666,0.2241501361131668,0.42702093720436096,0.3459516167640686,0.3642383813858032,0.1429264396429062,0.12480826675891876,0.08746320754289627,0.2253260463476181,0.23908618092536926,0.30313602089881897
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.16755586862564087,0.1610826849937439,0.35393038392066956,0.10267843306064606,0.30882009863853455,0.2349044382572174,0.16819268465042114,0.2257842868566513,0.1773909628391266,0.0012731997994706035,0.1150897890329361,0.19636771082878113,0.40561532974243164
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.297396719455719,0.31682634353637695,0.5823672413825989,0.24233172833919525,0.535392165184021,0.4248143136501312,0.29117339849472046,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.23356176912784576,0.288954496383667,0.22068053483963013
same,0.3764382302761078,0.29939019680023193,0.3808329105377197,0.2139493227005005,0.23793309926986694,0.31152886152267456,0.14730308949947357,0.3205692768096924,0.3600577712059021,0.21717077493667603,0.15978457033634186,0.13421888649463654,0.0036877936217933893,0.14633029699325562,0.10993056744337082,0.22649677097797394
