,how,did,the,rocks,on,the,moon,compare,to,those,on,earth,?
the,0.33890387415885925,0.34736719727516174,1.0,0.24413059651851654,0.5107308030128479,1.0,0.23613092303276062,0.26994526386260986,0.535392165184021,0.42861196398735046,0.5107308030128479,0.2801888585090637,0.22068053483963013
rocks,0.23148766160011292,0.13425004482269287,0.24413059651851654,0.9999999403953552,0.2381529062986374,0.24413059651851654,0.3166230022907257,0.16972722113132477,0.23520028591156006,0.3123821020126343,0.2381529062986374,0.45692959427833557,0.17394492030143738
collected,0.16378727555274963,0.1972440481185913,0.26241183280944824,0.2965274453163147,0.2159019112586975,0.26241183280944824,0.1973659247159958,0.1887420415878296,0.1847328543663025,0.24204352498054504,0.2159019112586975,0.18890412151813507,0.15899285674095154
from,0.22939439117908478,0.20248863101005554,0.40150508284568787,0.2248125523328781,0.36926645040512085,0.40150508284568787,0.1715833693742752,0.1791253536939621,0.4069952368736267,0.24692396819591522,0.36926645040512085,0.1997482180595398,0.19969791173934937
the,0.33890387415885925,0.34736719727516174,1.0,0.24413059651851654,0.5107308030128479,1.0,0.23613092303276062,0.26994526386260986,0.535392165184021,0.42861196398735046,0.5107308030128479,0.2801888585090637,0.22068053483963013
moon,0.209036186337471,0.1910509169101715,0.23613092303276062,0.3166230022907257,0.20249907672405243,0.23613092303276062,1.0,0.19148361682891846,0.17707908153533936,0.1672954559326172,0.20249907672405243,0.5198023319244385,0.1442703753709793
are,0.311818927526474,0.2159031480550766,0.40399202704429626,0.33511796593666077,0.268924742937088,0.40399202704429626,0.16114117205142975,0.3406890630722046,0.3504326641559601,0.6012985706329346,0.268924742937088,0.22218742966651917,0.24591213464736938
extremely,0.3616102337837219,0.21994607150554657,0.28996992111206055,0.2610280513763428,0.20792809128761292,0.28996992111206055,0.09785094112157822,0.18439723551273346,0.32372695207595825,0.32279640436172485,0.20792809128761292,0.2666064202785492,0.14809079468250275
old,0.1789429783821106,0.19123899936676025,0.31849798560142517,0.19327883422374725,0.21449986100196838,0.31849798560142517,0.10025030374526978,0.17597171664237976,0.2412436157464981,0.24063226580619812,0.21449986100196838,0.12596642971038818,0.20577076077461243
compared,0.2966770529747009,0.29692959785461426,0.28685078024864197,0.18275220692157745,0.27818986773490906,0.28685078024864197,0.17255942523479462,0.7293710112571716,0.2345995306968689,0.36597907543182373,0.27818986773490906,0.23260344564914703,0.21399109065532684
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.23520028591156006,0.41031414270401,0.535392165184021,0.17707908153533936,0.31307893991470337,1.0,0.47350940108299255,0.41031414270401,0.2486501932144165,0.29463258385658264
rocks,0.23148766160011292,0.13425004482269287,0.24413059651851654,0.9999999403953552,0.2381529062986374,0.24413059651851654,0.3166230022907257,0.16972722113132477,0.23520028591156006,0.3123821020126343,0.2381529062986374,0.45692959427833557,0.17394492030143738
found,0.12975606322288513,0.15878844261169434,0.3452354073524475,0.33259448409080505,0.2337699830532074,0.3452354073524475,0.18306861817836761,0.22215114533901215,0.25225648283958435,0.27531328797340393,0.2337699830532074,0.19437134265899658,0.16790300607681274
on,0.32655060291290283,0.2670976221561432,0.5107308030128479,0.2381529062986374,0.9999999403953552,0.5107308030128479,0.20249907672405243,0.23829372227191925,0.41031414270401,0.3098534643650055,0.9999999403953552,0.20645220577716827,0.2714994251728058
earth,0.2756480276584625,0.15510493516921997,0.2801888585090637,0.45692959427833557,0.20645220577716827,0.2801888585090637,0.5198023319244385,0.2096148431301117,0.2486501932144165,0.2484724223613739,0.20645220577716827,1.0,0.17717236280441284
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.30537211894989014,0.49057599902153015,0.4933079481124878,0.18567080795764923,0.22873489558696747,0.44245919585227966,0.39574649930000305,0.49057599902153015,0.23186853528022766,0.31091248989105225
as,0.33782753348350525,0.3596470057964325,0.48381632566452026,0.18145407736301422,0.36047765612602234,0.48381632566452026,0.19401851296424866,0.2571217119693756,0.42092081904411316,0.30178776383399963,0.36047765612602234,0.22570030391216278,0.27043893933296204
measured,0.33367615938186646,0.1593095362186432,0.279002845287323,0.24934527277946472,0.20655377209186554,0.279002845287323,0.21294091641902924,0.3267854154109955,0.20595905184745789,0.24079014360904694,0.20655377209186554,0.3141160309314728,0.17351430654525757
by,0.34370526671409607,0.18574509024620056,0.4408751428127289,0.18714307248592377,0.33887791633605957,0.4408751428127289,0.2189643681049347,0.1664934605360031,0.33534231781959534,0.32841911911964417,0.33887791633605957,0.1861492097377777,0.17966607213020325
radiometric,0.31900373101234436,0.2295634150505066,0.259145587682724,0.4501883089542389,0.20452290773391724,0.259145587682724,0.28634050488471985,0.3342896103858948,0.2808868885040283,0.28098034858703613,0.20452290773391724,0.3682654798030853,0.13896988332271576
dating,0.1927265226840973,0.11552589386701584,0.23401090502738953,0.3408733308315277,0.13376538455486298,0.23401090502738953,0.16590078175067902,0.17075923085212708,0.17611581087112427,0.1535348892211914,0.13376538455486298,0.1928453892469406,0.1135709211230278
techniques,0.30078184604644775,0.21477444469928741,0.18448615074157715,0.2637396454811096,0.1864301860332489,0.18448615074157715,0.08548630774021149,0.29386335611343384,0.2575913667678833,0.2749549150466919,0.1864301860332489,0.12680508196353912,0.1533757448196411
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.26481303572654724,0.49257001280784607,0.5934505462646484,0.2040150910615921,0.24470208585262299,0.4645031690597534,0.33163318037986755,0.49257001280784607,0.2542925775051117,0.4130953550338745
