,who,first,showed,that,newton,'s,theory,of,gravity,was,not,as,correct,as,another,theory,?
when,0.48282691836357117,0.4282494783401489,0.2559407651424408,0.5860282182693481,0.16569024324417114,-0.03368149697780609,0.20727984607219696,0.3757161796092987,0.19679071009159088,0.37326499819755554,0.4799930453300476,0.4437963366508484,0.3141448497772217,0.4437963366508484,0.48569372296333313,0.20727984607219696,0.22841128706932068
albert,0.20950829982757568,0.2075425088405609,0.1785411685705185,0.16770988702774048,0.22549141943454742,-0.02173103578388691,0.22353531420230865,0.19890549778938293,0.22416800260543823,0.240865096449852,0.1358940303325653,0.20756424963474274,0.14080384373664856,0.20756424963474274,0.09779222309589386,0.22353531420230865,0.15350762009620667
einstein,0.23276357352733612,0.219936802983284,0.25447142124176025,0.290509432554245,0.3917362689971924,-0.05429532006382942,0.448373407125473,0.2119363248348236,0.46558359265327454,0.22364866733551025,0.24176359176635742,0.20185308158397675,0.2617419362068176,0.20185308158397675,0.21376939117908478,0.448373407125473,0.2118137627840042
formulated,0.17321036756038666,0.2682153284549713,0.31061726808547974,0.34063124656677246,0.33156055212020874,-0.026666270568966866,0.4175911843776703,0.29343387484550476,0.2507511377334595,0.2657249867916107,0.30063632130622864,0.2633349299430847,0.353198379278183,0.2633349299430847,0.31727156043052673,0.4175911843776703,0.17216148972511292
his,0.44966956973075867,0.3241460621356964,0.2827163338661194,0.3173833191394806,0.2519145607948303,0.047556519508361816,0.2209872305393219,0.38364991545677185,0.21037867665290833,0.4405253231525421,0.2710725963115692,0.3146366477012634,0.1520185023546219,0.3146366477012634,0.349472314119339,0.2209872305393219,0.18075084686279297
theory,0.19210977852344513,0.19488763809204102,0.28772151470184326,0.36183905601501465,0.2634228467941284,-0.0025054612196981907,0.9999999403953552,0.23506702482700348,0.4349239766597748,0.18278326094150543,0.24455146491527557,0.18675357103347778,0.3304538130760193,0.18675357103347778,0.26834559440612793,0.9999999403953552,0.1387292891740799
of,0.2827862501144409,0.3536086082458496,0.31843405961990356,0.41498205065727234,0.18479612469673157,-0.03817026689648628,0.23506702482700348,1.0,0.17525646090507507,0.4069072902202606,0.3307090103626251,0.3886612355709076,0.22131142020225525,0.3886612355709076,0.38147079944610596,0.23506702482700348,0.1826142966747284
general,0.2461782991886139,0.23021191358566284,0.17288674414157867,0.2510950565338135,0.11467793583869934,-0.0757286474108696,0.23614253103733063,0.28352999687194824,0.23165400326251984,0.2445744127035141,0.19737575948238373,0.250458300113678,0.21306587755680084,0.250458300113678,0.19686520099639893,0.23614253103733063,0.1972234547138214
relativity,0.17238733172416687,0.22046050429344177,0.29926085472106934,0.3373055160045624,0.396573007106781,-0.053421780467033386,0.5565682053565979,0.22042350471019745,0.584568977355957,0.2026238590478897,0.22711718082427979,0.24338696897029877,0.3289983570575714,0.24338696897029877,0.22601479291915894,0.5565682053565979,0.26250147819519043
(,0.2443375140428543,0.2450505793094635,0.13833487033843994,0.2264307141304016,0.17499087750911713,0.0012731997994706035,0.15548324584960938,0.35032153129577637,0.13549429178237915,0.2980341613292694,0.2710699737071991,0.32029855251312256,0.25383880734443665,0.32029855251312256,0.2500171959400177,0.15548324584960938,0.40561532974243164
gr,0.06345831602811813,0.07649341225624084,0.11469053477048874,0.09031017124652863,0.12258250266313553,0.06111802160739899,0.13047735393047333,0.19284147024154663,0.24305884540081024,0.12776874005794525,0.037490397691726685,0.08089231699705124,0.10748521238565445,0.08089231699705124,0.1229884997010231,0.13047735393047333,0.20753049850463867
),0.2457384318113327,0.27228695154190063,0.1332089751958847,0.23478686809539795,0.17433513700962067,0.021107977256178856,0.1646711826324463,0.3680361211299896,0.12341998517513275,0.3267642855644226,0.2718011736869812,0.32161882519721985,0.26409587264060974,0.32161882519721985,0.2743632197380066,0.1646711826324463,0.42300865054130554
he,0.5500732064247131,0.3826274573802948,0.24594488739967346,0.36068853735923767,0.22663792967796326,0.024063590914011,0.20341786742210388,0.38706058263778687,0.1370035856962204,0.5410010814666748,0.29440581798553467,0.33787044882774353,0.166769877076149,0.33787044882774353,0.34215036034584045,0.20341786742210388,0.2089974731206894
turned,0.29454195499420166,0.2236493080854416,0.26744893193244934,0.3391176462173462,0.15386201441287994,-0.009065007790923119,0.13553328812122345,0.27018553018569946,0.1610441654920578,0.3994938135147095,0.29489830136299133,0.2937243580818176,0.1508294641971588,0.2937243580818176,0.28057384490966797,0.13553328812122345,0.130948007106781
his,0.44966956973075867,0.3241460621356964,0.2827163338661194,0.3173833191394806,0.2519145607948303,0.047556519508361816,0.2209872305393219,0.38364991545677185,0.21037867665290833,0.4405253231525421,0.2710725963115692,0.3146366477012634,0.1520185023546219,0.3146366477012634,0.349472314119339,0.2209872305393219,0.18075084686279297
attention,0.33245593309402466,0.19821789860725403,0.1909608095884323,0.33067142963409424,0.09146417677402496,0.022576546296477318,0.21174673736095428,0.21725396811962128,0.17384636402130127,0.2052840143442154,0.30993303656578064,0.2153370976448059,0.2504132390022278,0.2153370976448059,0.17813891172409058,0.21174673736095428,0.19994445145130157
to,0.42656609416007996,0.3792489171028137,0.2083204984664917,0.5436353087425232,0.2176830768585205,0.03782717138528824,0.21947365999221802,0.41548454761505127,0.23946231603622437,0.3636345863342285,0.5149973034858704,0.42092081904411316,0.339966356754303,0.42092081904411316,0.48769932985305786,0.21947365999221802,0.29463258385658264
the,0.3733934462070465,0.49448907375335693,0.3101346790790558,0.5473989248275757,0.1876603662967682,-0.01540423184633255,0.2277156263589859,0.733189046382904,0.22609853744506836,0.48711544275283813,0.4310511648654938,0.48381632566452026,0.3107529580593109,0.48381632566452026,0.5019711852073669,0.2277156263589859,0.22068053483963013
problem,0.22970008850097656,0.22670458257198334,0.15144148468971252,0.4416671693325043,0.18095913529396057,-0.02317415177822113,0.32978713512420654,0.20464475452899933,0.21308326721191406,0.17229199409484863,0.3932628929615021,0.2586832344532013,0.4522554278373718,0.2586832344532013,0.279262900352478,0.32978713512420654,0.3762950301170349
